CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,cpptraj_tr1,5.47660207748,5.48852992058,5.53628611565,27.071999073,28.6622369289
unit.000001,cpptraj_tr2,5.47251009941,5.47660207748,5.52624106407,30.3781609535,30.8266921043
unit.000002,cpptraj_tr3,5.49292612076,5.4968290329,5.55610609055,30.6799590588,31.8776891232
unit.000003,cpptraj_tr4,5.57316803932,5.57717299461,5.75286412239,31.5905020237,32.1757969856
unit.000004,cpptraj_tr5,5.49708604813,5.5013320446,5.56584310532,30.6831929684,31.9029150009
unit.000005,cpptraj_tr6,5.51315712929,5.51704907417,5.60697603226,30.2794821262,30.7926211357
unit.000006,cpptraj_tr7,5.52132511139,5.52523994446,5.62614798546,32.2938959599,33.2766721249
unit.000007,cpptraj_tr8,5.52934813499,5.53327703476,5.64655613899,32.8963599205,34.352230072
unit.000008,cpptraj_tr9,5.53722405434,5.54134607315,5.66590809822,31.3861019611,32.0261230469
unit.000009,cpptraj_tr10,5.54526495934,5.54925012589,5.68509197235,31.3889009953,32.0523910522
unit.000010,cpptraj_tr11,5.55334210396,5.55728602409,5.70450496674,31.3916699886,32.0761880875
unit.000011,cpptraj_tr12,5.56126999855,5.56522393227,5.72368502617,32.1930320263,33.2508509159
unit.000012,cpptraj_tr13,5.56905603409,5.57316994667,5.74302506447,34.8005430698,36.4293580055
unit.000013,cpptraj_tr14,5.5771651268,5.58139705658,5.76231908798,35.5035970211,36.5025660992
unit.000014,cpptraj_tr15,5.44443106651,5.45228004456,5.45630693436,26.963269949,28.5122430325
unit.000015,cpptraj_tr16,5.4585340023,5.46309399605,5.49605607986,27.0691959858,28.6381659508
unit.000016,cpptraj_tr17,5.46805500984,5.47247195244,5.5162730217,31.1849439144,32.002712965
unit.000017,cpptraj_tr18,5.48849105835,5.49292993546,5.54596710205,31.08416605,31.9764099121
unit.000018,cpptraj_tr19,5.5252559185,5.5293340683,5.63598108292,34.9012651443,36.4520480633
unit.000019,cpptraj_tr20,5.50132203102,5.50526499748,5.57575511932,26.9662511349,28.5618810654
unit.000020,cpptraj_tr21,5.50528907776,5.50920510292,5.5867331028,30.7817819118,31.9271781445
unit.000021,cpptraj_tr22,5.54136013985,5.54523611069,5.67542409897,31.3972029686,32.125770092
unit.000022,cpptraj_tr23,5.4544069767,5.45851302147,5.47814512253,30.882776022,31.9525210857
unit.000023,cpptraj_tr24,5.5092151165,5.51315999031,5.59723591805,26.9691970348,28.5886099339
unit.000024,cpptraj_tr25,5.55729198456,5.56126093864,5.71407413483,31.4896390438,32.1516470909
unit.000025,cpptraj_tr26,5.58139109612,5.58533501625,5.77200698853,31.9919791222,33.2268650532
unit.000026,cpptraj_tr27,5.56522703171,5.5690779686,5.73335313797,31.3944070339,32.1016609669
unit.000027,cpptraj_tr28,5.54928207397,5.55330491066,5.69450902939,32.7955040932,34.3262310028
unit.000028,cpptraj_tr29,5.53328204155,5.53725409508,5.65636205673,34.9039680958,36.4786651134
unit.000029,cpptraj_tr30,5.51706004143,5.52134799957,5.61646604538,29.5733311176,30.7429459095
unit.000030,cpptraj_tr31,5.44998407364,5.45439100266,5.46802401543,27.0635919571,28.6117150784
unit.000031,cpptraj_tr32,5.46310210228,5.4670419693,5.50611400604,30.2762150764,30.7638731003
