CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Mapper-0-1,N/A,6.69150018692,N/A,24.0967171192,54.6096839905,54.648332119
unit.000001,Mapper-0-2,N/A,10.7709820271,N/A,24.4858181477,53.1367840767,53.1731441021
unit.000002,Mapper-0-3,N/A,9.89604306221,N/A,24.235450983,53.0655679703,53.1035070419
unit.000003,Mapper-0-4,N/A,6.45887613297,N/A,24.0814809799,52.8484179974,52.8836770058
unit.000004,Mapper-0-5,N/A,7.83540606499,N/A,24.8909339905,54.3961801529,54.4328560829
unit.000005,Mapper-0-6,N/A,6.4441280365,N/A,12.1785640717,24.6375150681,24.673402071
unit.000006,Mapper-0-7,N/A,6.58217310905,N/A,24.090542078,54.5393030643,54.5756959915
unit.000007,Mapper-0-8,N/A,6.49504899979,N/A,13.0902180672,30.8966729641,30.9351639748
unit.000008,Mapper-0-9,N/A,6.51755905151,N/A,12.2790141106,53.0651831627,53.1023800373
unit.000009,Mapper-0-10,N/A,6.54342198372,N/A,24.1824390888,52.9929640293,53.030632019
unit.000010,Mapper-0-11,N/A,6.57068705559,N/A,24.0876631737,56.8281750679,56.8667931557
unit.000011,Mapper-0-12,N/A,6.59698414803,N/A,11.2631011009,52.774616003,52.8104991913
unit.000012,Mapper-0-13,N/A,6.62496805191,N/A,13.2939670086,54.6839690208,54.7205450535
unit.000013,Mapper-0-14,N/A,6.65258097649,N/A,24.0934050083,64.1679031849,64.2053091526
unit.000014,Mapper-0-15,N/A,6.67670512199,N/A,13.093296051,52.8461821079,52.882586956
unit.000015,Mapper-0-16,N/A,6.71427297592,N/A,24.0998921394,52.9186170101,52.9580590725
unit.000016,Mapper-0-17,N/A,6.74438500404,N/A,24.2324910164,52.993625164,53.031165123
unit.000017,Mapper-0-18,N/A,8.57136797905,N/A,24.8938441277,54.4670491219,54.5036230087
unit.000018,Mapper-0-19,N/A,6.53031206131,N/A,24.0847430229,52.9173469543,52.9576220512
unit.000019,Mapper-0-20,N/A,12.7885670662,N/A,24.8967370987,54.4678390026,54.5046989918
unit.000020,Mapper-0-21,N/A,6.40643405914,N/A,11.8714091778,54.2502970695,54.2884540558
unit.000021,Mapper-0-22,N/A,6.4260840416,N/A,12.1754620075,52.7769460678,52.8136901855
unit.000022,Mapper-0-23,N/A,6.48133707047,N/A,13.9006111622,54.3253321648,54.3616659641
unit.000023,Mapper-0-24,N/A,6.47306203842,N/A,12.7003111839,53.1374900341,53.1741859913
unit.000024,Mapper-0-25,N/A,6.63761997223,N/A,12.8871440887,54.3959171772,54.433822155
unit.000025,Mapper-0-26,N/A,12.0719139576,N/A,24.5873310566,64.158465147,64.1944169998
unit.000026,Mapper-0-27,N/A,6.55240416527,N/A,23.8764410019,54.3246760368,54.3609511852
unit.000027,Mapper-0-28,N/A,6.72560596466,N/A,24.1028940678,54.6831560135,54.7195441723
unit.000028,Mapper-0-29,N/A,6.41197705269,N/A,24.6878361702,64.0856971741,64.1240210533
unit.000029,Mapper-0-30,N/A,6.61231613159,N/A,24.7896130085,54.2497580051,54.2890660763
unit.000030,Mapper-0-31,N/A,6.50335907936,N/A,11.970965147,54.6101341248,54.6494669914
unit.000031,Mapper-0-32,N/A,6.43212103844,N/A,24.0785529613,54.5382461548,54.5748090744
unit.000032,Reducer-0,N/A,67.9539151192,N/A,70.7594931126,76.6812810898,77.9184670448
unit.000033,Mapper-1-1,N/A,97.7698249817,N/A,104.118056059,128.841820002,128.878571033
unit.000034,Mapper-1-2,N/A,95.6205489635,N/A,105.135727167,127.659218073,127.695363998
unit.000035,Mapper-1-3,N/A,90.3173260689,N/A,95.6539101601,116.64053297,116.678169966
unit.000036,Mapper-1-4,N/A,92.0373940468,N/A,100.591737986,113.299797058,113.336188078
unit.000037,Mapper-1-5,N/A,87.1662940979,N/A,94.0367951393,117.828726053,117.869003057
unit.000038,Mapper-1-6,N/A,92.4624290466,N/A,100.693413973,115.53076005,115.569816113
unit.000039,Mapper-1-7,N/A,93.1918251514,N/A,104.320259094,127.514306068,127.552936077
unit.000040,Mapper-1-8,N/A,82.8726191521,N/A,85.9843490124,116.604962111,116.64195013
unit.000041,Mapper-1-9,N/A,88.8860211372,N/A,95.0456821918,117.791975021,117.830080032
unit.000042,Mapper-1-10,N/A,89.167276144,N/A,95.3548569679,127.443727016,127.479892015
unit.000043,Mapper-1-11,N/A,85.0205819607,N/A,87.9952950478,117.713639021,117.751522064
unit.000044,Mapper-1-12,N/A,88.1738500595,N/A,95.3519861698,113.062324047,113.098683119
unit.000045,Mapper-1-13,N/A,89.8893661499,N/A,95.4524259567,115.496042013,115.532324076
unit.000046,Mapper-1-14,N/A,94.1859300137,N/A,104.52256608,122.062147141,122.108345032
unit.000047,Mapper-1-15,N/A,91.4635961056,N/A,96.0787241459,123.184300184,123.220410109
unit.000048,Mapper-1-16,N/A,98.4911940098,N/A,105.633174181,139.985977173,140.022243977
unit.000049,Mapper-1-17,N/A,95.1922550201,N/A,104.726935148,140.057016134,140.094033003
unit.000050,Mapper-1-18,N/A,82.4926309586,N/A,85.4808709621,108.845693111,108.88285017
unit.000051,Mapper-1-19,N/A,83.4444999695,N/A,86.4876701832,113.133246183,113.169998169
unit.000052,Mapper-1-20,N/A,86.0190141201,N/A,89.5051310062,113.204970121,113.244179964
unit.000053,Mapper-1-21,N/A,87.7457129955,N/A,94.7434539795,115.442417145,115.485485077
unit.000054,Mapper-1-22,N/A,85.592592001,N/A,88.7369630337,113.27900815,113.315603971
unit.000055,Mapper-1-23,N/A,83.8725509644,N/A,86.9907929897,117.748543978,117.792988062
unit.000056,Mapper-1-24,N/A,97.4887139797,N/A,105.532045126,122.101724148,122.148822069
unit.000057,Mapper-1-25,N/A,98.9189231396,N/A,105.734292984,127.587352991,127.624695063
unit.000058,Mapper-1-26,N/A,90.8915300369,N/A,100.490463018,117.867968082,117.905339956
unit.000059,Mapper-1-27,N/A,94.6168661118,N/A,104.624138117,128.917852163,128.963654041
unit.000060,Mapper-1-28,N/A,96.7676451206,N/A,104.067376137,131.547919989,131.584292173
unit.000061,Mapper-1-29,N/A,96.339277029,N/A,105.43069315,131.623803139,131.660608053
unit.000062,Mapper-1-30,N/A,93.4648530483,N/A,104.018095016,123.22709918,123.264119148
unit.000063,Mapper-1-31,N/A,86.736205101,N/A,95.3490681648,115.425274134,115.461663961
unit.000064,Mapper-1-32,N/A,84.5915961266,N/A,87.6934261322,113.227468967,113.26493001
unit.000065,Reducer-1,N/A,143.183469057,N/A,145.970029116,152.579414129,153.844712019
unit.000066,Mapper-2-1,N/A,171.392524958,N/A,174.900071144,192.111222029,192.148216963
unit.000067,Mapper-2-2,N/A,170.80096817,N/A,174.896934986,191.970086098,192.006410122
unit.000068,Mapper-2-3,N/A,161.747483015,N/A,164.921808958,182.309278965,182.350054026
