Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
490000,495000,120,5000,37127.0,7180.00044208
495000,500000,121,5000,37441.0,7199.48616959
500000,505000,122,5000,37755.0,7219.05889072
505000,510000,123,5000,38079.0,7231.41553664
510000,515000,124,5000,38403.0,7269.21348163
515000,520000,125,5000,38706.0,7295.48807496
520000,525000,126,5000,39008.0,7310.3474877
525000,530000,127,5000,39323.0,7328.57084613
530000,535000,128,5000,39637.0,7323.30209678
535000,540000,129,5000,39940.0,7337.72908478
540000,545000,130,5000,40244.0,7353.14795201
545000,550000,131,5000,40557.0,7347.14681415
550000,555000,132,5000,40869.0,7363.57159194
555000,560000,133,5000,41184.0,7357.96731332
560000,565000,134,5000,41499.0,7374.73018638
565000,570000,135,5000,41808.0,7369.28847006
570000,575000,136,5000,42117.0,7384.86744905
575000,580000,137,5000,42427.0,7400.00426689
580000,585000,138,5000,42737.0,7413.44009651
585000,590000,139,5000,43051.0,7427.92783767
590000,595000,140,5000,43365.0,7442.09897592
595000,600000,141,5000,43682.0,7458.18226214
600000,605000,142,5000,43998.0,7446.21605984
605000,610000,143,5000,44306.0,7460.42839718
610000,615000,144,5000,44614.0,7453.14670725
615000,620000,145,5000,44913.0,7466.31902697
620000,625000,146,5000,45213.0,7459.68346332
625000,630000,147,5000,45529.0,7454.94190038
630000,635000,148,5000,45844.0,7484.97302324
635000,640000,149,5000,46147.0,7498.27730353
640000,645000,150,5000,46449.0,7492.05705418
645000,650000,151,5000,46748.0,7504.45658129
650000,655000,152,5000,47048.0,7531.86535929
655000,660000,153,5000,47364.0,7545.13791787
660000,665000,154,5000,47681.0,7566.12952627
665000,670000,155,5000,48004.0,7580.28416727
670000,675000,156,5000,48328.0,7609.86732485
675000,680000,157,5000,48647.0,7636.83779428
680000,685000,158,5000,48966.0,7659.28616052
685000,690000,159,5000,49278.0,7679.75242032
690000,695000,160,5000,49591.0,7700.36656251
695000,700000,161,5000,49897.0,7712.69110439
700000,705000,162,5000,50203.0,7739.48642218
705000,710000,163,5000,50517.0,7752.68495085
710000,715000,164,5000,50831.0,7709.16668848
715000,720000,165,5000,51140.0,7702.85950192
720000,725000,166,5000,51450.0,7696.4339612
725000,730000,167,5000,51752.0,7688.89044382
730000,735000,168,5000,52054.0,7681.24844993
735000,740000,169,5000,52370.0,7675.85804466
740000,745000,170,5000,52686.0,7670.52188634
745000,750000,171,5000,53003.0,7696.04603974
750000,755000,172,5000,53320.0,7716.5204845
755000,760000,173,5000,53634.0,7740.58904594
760000,765000,174,5000,53947.0,7765.74053345
765000,770000,175,5000,54252.0,7785.16980502
770000,775000,176,5000,54556.0,7808.01411189
775000,780000,177,5000,54881.0,7828.87263615
780000,785000,178,5000,55207.0,7855.02490972
785000,790000,179,5000,55512.0,7878.54381801
790000,795000,180,5000,55818.0,7881.95681034
795000,800000,181,5000,56129.0,7892.17740084
800000,805000,182,5000,56439.0,7915.68273752
805000,810000,183,5000,56741.0,7934.39602467
810000,815000,184,5000,57042.0,7959.1363936
815000,820000,185,5000,57358.0,7969.70613944
820000,825000,186,5000,57673.0,7926.5861462
825000,830000,187,5000,57989.0,7950.45977807
830000,835000,188,5000,58305.0,7960.24302759
835000,840000,189,5000,58620.0,7978.37032402
840000,845000,190,5000,58934.0,7996.39082379
845000,850000,191,5000,59244.0,8004.76258263
850000,855000,192,5000,59554.0,8025.35277857
855000,860000,193,5000,59858.0,8041.75624363
860000,865000,194,5000,60162.0,8063.28715934
865000,870000,195,5000,60476.0,8071.96580109
870000,875000,196,5000,60790.0,8090.0873693
875000,880000,197,5000,61107.0,8098.78374559
880000,885000,198,5000,61424.0,8107.75552802
885000,890000,199,5000,61724.0,8119.06208403
890000,895000,200,5000,62025.0,8135.99890866
895000,900000,201,5000,62341.0,8145.23733418
900000,905000,202,5000,62656.0,8163.03561216
905000,910000,203,5000,62972.0,8185.0062934
910000,915000,204,5000,63289.0,8201.92108432
915000,920000,205,5000,63608.0,8219.86454996
920000,925000,206,5000,63926.0,8236.52793191
925000,930000,207,5000,64240.0,8244.03251472
930000,935000,208,5000,64554.0,8260.97154901
935000,940000,209,5000,64859.0,8267.37249341
940000,945000,210,5000,65163.0,8282.21064193
945000,950000,211,5000,65467.0,8296.55347665
950000,955000,212,5000,65772.0,8315.39530107
955000,960000,213,5000,66080.0,8329.62422661
960000,965000,214,5000,66389.0,8344.61528975
965000,970000,215,5000,66697.0,8358.22954435
970000,975000,216,5000,67006.0,8372.12164495
975000,980000,217,5000,67318.0,8386.29733951
980000,985000,218,5000,67629.0,8395.46325843
985000,990000,219,5000,67945.0,8410.62205587
990000,995000,220,5000,68260.0,8418.39500957
995000,1000000,221,5000,68575.0,8433.83846353
0,5000,222,5000,68890.0,7122.36063002
5000,10000,223,5000,69195.0,7059.53716317
10000,15000,224,5000,69500.0,7034.90637324
15000,20000,225,5000,69805.0,7049.71481154
20000,25000,226,5000,70111.0,7047.23470644
25000,30000,227,5000,70416.0,7045.51305033
30000,35000,228,5000,70721.0,7063.71324844
35000,40000,229,5000,71026.0,7081.86989417
40000,45000,230,5000,71332.0,7099.76715843
45000,50000,231,5000,71637.0,7109.26854402
50000,55000,232,5000,71942.0,7118.36386172
55000,60000,233,5000,72247.0,7133.41439044
60000,65000,234,5000,72552.0,7148.30009715
65000,70000,235,5000,72857.0,7166.83871775
70000,75000,236,5000,73162.0,7181.06519595
75000,80000,237,5000,73468.0,7182.83247802
80000,85000,238,5000,73773.0,7200.35625907
85000,90000,239,5000,74078.0,7214.36061464
90000,95000,240,5000,74383.0,7227.94867899
95000,100000,241,5000,74688.0,7235.76771929
100000,105000,242,5000,74993.0,7243.79895244
105000,110000,243,5000,75311.0,7258.78797868
110000,115000,244,5000,75629.0,7267.88344076
115000,120000,245,5000,75947.0,7277.08303275
120000,125000,246,5000,76265.0,7286.7215559
125000,130000,247,5000,76583.0,7296.03365313
130000,135000,248,5000,76900.0,7294.45114228
135000,140000,249,5000,77218.0,7270.81325612
140000,145000,250,5000,77536.0,7288.73476536
145000,150000,251,5000,77854.0,7303.51818495
150000,155000,252,5000,78172.0,7320.64017464
155000,160000,253,5000,78489.0,7337.50247387
160000,165000,254,5000,78807.0,7346.01653747
165000,170000,255,5000,79125.0,7360.83684135
170000,175000,256,5000,79443.0,7372.43018962
175000,180000,257,5000,79760.0,7380.90349864
180000,185000,258,5000,80078.0,7389.95129263
185000,190000,259,5000,80396.0,7404.45128337
190000,195000,260,5000,80714.0,7418.9923724
195000,200000,261,5000,81032.0,7427.15023955
200000,205000,262,5000,81350.0,7444.3925461
205000,210000,263,5000,81672.0,7458.09276283
210000,215000,264,5000,81995.0,7471.91132603
215000,220000,265,5000,82317.0,7486.12525723
220000,225000,266,5000,82640.0,7494.01001086
225000,230000,267,5000,82963.0,7508.25997074
230000,235000,268,5000,83286.0,7516.90367579
235000,240000,269,5000,83608.0,7530.86137272
240000,245000,270,5000,83931.0,7544.24702137
245000,250000,271,5000,84254.0,7552.17862612
250000,255000,272,5000,84576.0,7560.53974175
255000,260000,273,5000,84899.0,7568.83213249
260000,265000,274,5000,85222.0,7582.12624745
265000,270000,275,5000,85544.0,7594.21754738
270000,275000,276,5000,85867.0,7602.26851948
275000,280000,277,5000,86189.0,7610.4681202
280000,285000,278,5000,86512.0,7626.81032096
285000,290000,279,5000,86835.0,7640.40108014
290000,295000,280,5000,87158.0,7656.44368437
295000,300000,281,5000,87480.0,7669.27906864
300000,305000,282,5000,87803.0,7684.96833281
305000,310000,283,5000,88118.0,7700.12997467
310000,315000,284,5000,88433.0,7715.22990851
315000,320000,285,5000,88749.0,7721.88501756
320000,325000,286,5000,89064.0,7729.32977312
