#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c451-603 2.2496 0.1882 19.1257
c453-704 0.6937 0.1208 19.0706
c460-704 0.6937 0.1181 19.0927
c465-203 0.6937 0.1209 19.0599
c478-901 0.6937 0.1209 19.0696
c478-903 0.6937 0.1209 19.0629
c482-001 0.6937 0.1208 19.1627
c483-201 0.6937 0.1182 19.0915
c487-402 0.6937 0.1209 19.0934
c487-404 0.6937 0.1183 19.0942
c487-804 0.6937 0.1209 19.0816
c488-802 0.6937 0.1182 19.0784
c501-401 0.6937 0.1208 19.0831
c501-402 0.6937 0.1208 19.1021
c501-501 0.6937 0.1209 19.1084
c501-502 0.6937 0.1209 19.1575
