BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1511933280000 ms, 2017-11-28T23:28:01, 4, 2871, 0,1_Producer_Count
1511933340000 ms, 2017-11-28T23:29:00, 0, 1521, 0,1_Producer_Count
1511933400000 ms, 2017-11-28T23:30:00, 0, 1388, 0,1_Producer_Count
1511933460000 ms, 2017-11-28T23:31:00, 0, 1406, 0,1_Producer_Count
1511933520000 ms, 2017-11-28T23:32:00, 1, 1327, 0,1_Producer_Count
1511933580000 ms, 2017-11-28T23:33:00, 0, 1262, 0,1_Producer_Count
1511933640000 ms, 2017-11-28T23:34:00, 1, 1399, 0,1_Producer_Count
1511933700000 ms, 2017-11-28T23:35:00, 0, 1469, 0,1_Producer_Count
1511933760000 ms, 2017-11-28T23:36:00, 1, 1266, 0,1_Producer_Count
1511933820000 ms, 2017-11-28T23:37:00, 1, 1349, 0,1_Producer_Count
1511933880000 ms, 2017-11-28T23:38:00, 0, 1242, 0,1_Producer_Count
1511933940000 ms, 2017-11-28T23:39:00, 1, 1244, 0,1_Producer_Count
1511934000000 ms, 2017-11-28T23:40:00, 0, 1440, 0,1_Producer_Count
1511934060000 ms, 2017-11-28T23:41:00, 2, 1241, 0,1_Producer_Count
1511934120000 ms, 2017-11-28T23:42:00, 0, 1235, 0,1_Producer_Count
1511934180000 ms, 2017-11-28T23:43:00, 0, 1231, 0,1_Producer_Count
1511934240000 ms, 2017-11-28T23:44:00, 0, 1209, 0,1_Producer_Count
1511934300000 ms, 2017-11-28T23:45:00, 0, 1216, 0,1_Producer_Count
1511934360000 ms, 2017-11-28T23:46:00, 0, 1239, 0,1_Producer_Count
1511934420000 ms, 2017-11-28T23:47:00, 0, 1227, 0,1_Producer_Count
1511934480000 ms, 2017-11-28T23:48:00, 0, 1231, 0,1_Producer_Count
1511934540000 ms, 2017-11-28T23:49:00, 1, 1267, 0,1_Producer_Count
1511934600000 ms, 2017-11-28T23:50:00, 1, 1229, 0,1_Producer_Count
1511934660000 ms, 2017-11-28T23:51:26, 2, 104051, 10785,1_Producer_Count
1511934720000 ms, 2017-11-28T23:52:50, 19909, 146925, 11104,1_Producer_Count
1511934780000 ms, 2017-11-28T23:53:57, 80069, 244775, 14132,1_Producer_Count
1511934840000 ms, 2017-11-28T23:55:03, 178440, 338971, 13990,1_Producer_Count
1511934900000 ms, 2017-11-28T23:56:02, 279671, 443128, 14079,1_Producer_Count
1511934960000 ms, 2017-11-28T23:56:57, 388186, 492997, 13851,1_Producer_Count
1511935020000 ms, 2017-11-28T23:58:00, 430188, 528287, 13588,1_Producer_Count
1511935080000 ms, 2017-11-28T23:59:07, 461856, 567841, 14861,1_Producer_Count
1511935140000 ms, 2017-11-29T00:00:20, 494398, 612413, 15615,1_Producer_Count
1511935200000 ms, 2017-11-29T00:01:37, 535331, 660509, 17890,1_Producer_Count
1511935260000 ms, 2017-11-29T00:02:56, 581908, 712787, 18589,1_Producer_Count
1511935320000 ms, 2017-11-29T00:03:38, 670971, 743811, 10530,1_Producer_Count
1511935380000 ms, 2017-11-29T00:03:47, 733963, 747019, 1725,1_Producer_Count
1511935440000 ms, 2017-11-29T00:04:02, 732220, 736967, 490,1_Producer_Count
1511935500000 ms, 2017-11-29T00:05:06, 673310, 684286, 1396,1_Producer_Count
1511935560000 ms, 2017-11-29T00:06:07, 623075, 633788, 1321,1_Producer_Count
1511935620000 ms, 2017-11-29T00:07:06, 574803, 584086, 1218,1_Producer_Count
1511935680000 ms, 2017-11-29T00:08:08, 522568, 532755, 1174,1_Producer_Count
1511935740000 ms, 2017-11-29T00:09:06, 474364, 483689, 1247,1_Producer_Count
1511935800000 ms, 2017-11-29T00:10:01, 428405, 430694, 191,1_Producer_Count
1511935860000 ms, 2017-11-29T00:11:00, 372206, 373296, 0,1_Producer_Count
1511935920000 ms, 2017-11-29T00:12:00, 313172, 314376, 0,1_Producer_Count
1511935980000 ms, 2017-11-29T00:13:00, 254459, 255649, 0,1_Producer_Count
1511936040000 ms, 2017-11-29T00:14:00, 195560, 196760, 0,1_Producer_Count
1511936100000 ms, 2017-11-29T00:15:00, 136887, 138057, 0,1_Producer_Count
1511936160000 ms, 2017-11-29T00:16:00, 78087, 79264, 0,1_Producer_Count
1511936220000 ms, 2017-11-29T00:17:00, 19288, 20465, 0,1_Producer_Count
1511936280000 ms, 2017-11-29T00:18:00, 0, 1183, 0,1_Producer_Count
1511936340000 ms, 2017-11-29T00:19:00, 0, 1193, 0,1_Producer_Count
1511936400000 ms, 2017-11-29T00:20:00, 1, 1170, 0,1_Producer_Count
1511936460000 ms, 2017-11-29T00:21:00, 0, 1171, 0,1_Producer_Count
1511936520000 ms, 2017-11-29T00:22:00, 1, 1195, 0,1_Producer_Count
1511936580000 ms, 2017-11-29T00:23:00, 1, 1179, 0,1_Producer_Count
1511936640000 ms, 2017-11-29T00:24:00, 0, 1182, 0,1_Producer_Count
1511936700000 ms, 2017-11-29T00:25:00, 1, 1194, 0,1_Producer_Count
1511936760000 ms, 2017-11-29T00:26:00, 1, 1208, 0,1_Producer_Count
1511936820000 ms, 2017-11-29T00:27:00, 0, 1191, 0,1_Producer_Count
1511936880000 ms, 2017-11-29T00:28:00, 2, 1186, 0,1_Producer_Count
1511936940000 ms, 2017-11-29T00:29:00, 1, 1188, 0,1_Producer_Count
1511937000000 ms, 2017-11-29T00:30:00, 1, 1192, 0,1_Producer_Count
1511937060000 ms, 2017-11-29T00:31:00, 1, 1173, 0,1_Producer_Count
1511937120000 ms, 2017-11-29T00:32:00, 0, 1184, 0,1_Producer_Count
1511937180000 ms, 2017-11-29T00:33:00, 0, 1193, 0,1_Producer_Count
1511937240000 ms, 2017-11-29T00:34:00, 1, 1202, 0,1_Producer_Count
1511937300000 ms, 2017-11-29T00:35:00, 0, 1167, 0,1_Producer_Count
1511937360000 ms, 2017-11-29T00:36:00, 0, 1182, 0,1_Producer_Count
1511937420000 ms, 2017-11-29T00:37:00, 1, 1193, 0,1_Producer_Count
1511937480000 ms, 2017-11-29T00:38:00, 0, 1193, 0,1_Producer_Count
1511937540000 ms, 2017-11-29T00:39:00, 1, 1183, 0,1_Producer_Count
1511937600000 ms, 2017-11-29T00:40:00, 1, 1193, 0,1_Producer_Count
1511937660000 ms, 2017-11-29T00:41:00, 0, 1186, 0,1_Producer_Count
1511937720000 ms, 2017-11-29T00:42:00, 1, 1184, 0,1_Producer_Count
1511937780000 ms, 2017-11-29T00:43:00, 1, 1189, 0,1_Producer_Count
1511937840000 ms, 2017-11-29T00:44:00, 0, 1198, 0,1_Producer_Count
1511937900000 ms, 2017-11-29T00:45:00, 1, 1188, 0,1_Producer_Count
1511937960000 ms, 2017-11-29T00:46:00, 0, 1201, 0,1_Producer_Count
1511938020000 ms, 2017-11-29T00:47:00, 1, 1205, 0,1_Producer_Count
1511938080000 ms, 2017-11-29T00:48:00, 1, 1196, 0,1_Producer_Count
