BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1511934660000 ms,2017-11-28T23:51:26,2,104051,10785,1_node_with_8_Producers_1_spark_node
1511934720000 ms,2017-11-28T23:52:50,19909,146925,11104,1_node_with_8_Producers_1_spark_node
1511934780000 ms,2017-11-28T23:53:57,80069,244775,14132,1_node_with_8_Producers_1_spark_node
1511934840000 ms,2017-11-28T23:55:03,178440,338971,13990,1_node_with_8_Producers_1_spark_node
1511934900000 ms,2017-11-28T23:56:02,279671,443128,14079,1_node_with_8_Producers_1_spark_node
1511934960000 ms,2017-11-28T23:56:57,388186,492997,13851,1_node_with_8_Producers_1_spark_node
1511935020000 ms,2017-11-28T23:58:00,430188,528287,13588,1_node_with_8_Producers_1_spark_node
1511935080000 ms,2017-11-28T23:59:07,461856,567841,14861,1_node_with_8_Producers_1_spark_node
1511935140000 ms,2017-11-29T00:00:20,494398,612413,15615,1_node_with_8_Producers_1_spark_node
1511935200000 ms,2017-11-29T00:01:37,535331,660509,17890,1_node_with_8_Producers_1_spark_node
1511935260000 ms,2017-11-29T00:02:56,581908,712787,18589,1_node_with_8_Producers_1_spark_node
1511935320000 ms,2017-11-29T00:03:38,670971,743811,10530,1_node_with_8_Producers_1_spark_node
