,Nodes,Time_ms,Scaling
0,8,162413.0,WS
1,8,169699.0,WS
2,8,181998.0,WS
3,8,159228.0,WS
4,8,164055.0,WS
5,8,182014.0,WS
6,8,257255.0,WS
7,8,174139.0,WS
8,8,168688.0,WS
9,8,171411.0,WS
10,1,157968.0,W
11,1,151835.0,W
12,1,153147.0,W
13,1,146809.0,W
14,1,151939.0,W
15,1,152485.0,W
16,1,154797.0,W
17,1,167978.0,W
18,1,146841.0,W
19,1,145214.0,W
20,4,146998.0,W
21,4,156091.0,W
22,4,146127.0,W
23,4,145759.0,W
24,4,161527.0,W
25,4,157044.0,W
26,4,153310.0,W
27,4,145796.0,W
28,4,172273.0,W
29,4,154557.0,W
30,2,155534.0,W
31,2,172146.0,W
32,2,147185.0,W
33,2,153539.0,W
34,2,170000.0,W
35,2,146691.0,W
36,2,150154.0,W
37,2,147192.0,W
38,2,157002.0,W
39,2,147154.0,W
40,1,1114243.0,S
41,1,1124920.0,S
42,1,1148603.0,S
43,1,1142382.0,S
44,1,1171560.0,S
45,1,1125931.0,S
46,1,1118986.0,S
47,1,1093795.0,S
48,1,1119706.0,S
49,1,1153008.0,S
50,4,337705.0,S
51,4,311690.0,S
52,4,306420.0,S
53,4,296347.0,S
54,4,315581.0,S
55,4,315747.0,S
56,4,313067.0,S
57,4,303917.0,S
58,4,311953.0,S
59,4,330041.0,S
60,2,587452.0,S
61,2,590254.0,S
62,2,595727.0,S
63,2,584762.0,S
64,2,591638.0,S
65,2,581410.0,S
66,2,583641.0,S
67,2,588366.0,S
68,2,582273.0,S
69,2,604658.0,S
