BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1506026640000 ms, 2017-09-21T15:44:05, 5, 9135, 708,1_Producer_Count
1506026700000 ms, 2017-09-21T15:45:05, 1, 15874, 1514,1_Producer_Count
1506026760000 ms, 2017-09-21T15:46:05, 0, 16382, 1546,1_Producer_Count
1506026820000 ms, 2017-09-21T15:47:05, 1, 18875, 1815,1_Producer_Count
1506026880000 ms, 2017-09-21T15:48:05, 0, 19232, 1874,1_Producer_Count
1506026940000 ms, 2017-09-21T15:49:06, 1, 20136, 2014,1_Producer_Count
1506027000000 ms, 2017-09-21T15:50:06, 0, 19458, 1873,1_Producer_Count
1506027060000 ms, 2017-09-21T15:51:06, 0, 20280, 1936,1_Producer_Count
1506027120000 ms, 2017-09-21T15:52:06, 1, 20333, 1876,1_Producer_Count
1506027180000 ms, 2017-09-21T15:53:06, 0, 19296, 1888,1_Producer_Count
1506027240000 ms, 2017-09-21T15:54:05, 1, 18186, 1813,1_Producer_Count
1506027300000 ms, 2017-09-21T15:55:05, 1, 18407, 1708,1_Producer_Count
1506027360000 ms, 2017-09-21T15:56:05, 1, 16517, 1657,1_Producer_Count
1506027420000 ms, 2017-09-21T15:57:00, 0, 1291, 0,1_Producer_Count
1506027480000 ms, 2017-09-21T15:58:00, 1, 1311, 0,1_Producer_Count
1506027540000 ms, 2017-09-21T15:59:00, 1, 1302, 0,1_Producer_Count
1506027600000 ms, 2017-09-21T16:00:00, 0, 1294, 0,1_Producer_Count
1506027660000 ms, 2017-09-21T16:01:00, 0, 1299, 0,1_Producer_Count
1506027720000 ms, 2017-09-21T16:02:00, 0, 1300, 0,1_Producer_Count
1506027780000 ms, 2017-09-21T16:03:00, 0, 1345, 0,1_Producer_Count
1506027840000 ms, 2017-09-21T16:04:00, 1, 1272, 0,1_Producer_Count
1506027900000 ms, 2017-09-21T16:05:00, 0, 1269, 0,1_Producer_Count
1506027960000 ms, 2017-09-21T16:06:00, 0, 1255, 0,1_Producer_Count
1506028020000 ms, 2017-09-21T16:07:00, 0, 1272, 0,1_Producer_Count
1506028080000 ms, 2017-09-21T16:08:00, 0, 1279, 0,1_Producer_Count
1506028140000 ms, 2017-09-21T16:09:00, 0, 1265, 0,1_Producer_Count
1506028200000 ms, 2017-09-21T16:10:00, 0, 1288, 0,1_Producer_Count
1506028260000 ms, 2017-09-21T16:11:00, 1, 1260, 0,1_Producer_Count
1506028320000 ms, 2017-09-21T16:12:00, 0, 1271, 0,1_Producer_Count
1506028380000 ms, 2017-09-21T16:13:00, 1, 1273, 0,1_Producer_Count
1506028440000 ms, 2017-09-21T16:14:00, 0, 1249, 0,1_Producer_Count
1506028500000 ms, 2017-09-21T16:15:00, 0, 1283, 0,1_Producer_Count
1506028560000 ms, 2017-09-21T16:16:00, 0, 1263, 0,1_Producer_Count
1506028620000 ms, 2017-09-21T16:17:00, 0, 1279, 0,1_Producer_Count
1506028680000 ms, 2017-09-21T16:18:00, 0, 1292, 0,1_Producer_Count
1506028740000 ms, 2017-09-21T16:19:00, 0, 1263, 0,1_Producer_Count
1506028800000 ms, 2017-09-21T16:20:00, 0, 1282, 0,1_Producer_Count
1506028860000 ms, 2017-09-21T16:21:00, 1, 1271, 0,1_Producer_Count
1506028920000 ms, 2017-09-21T16:22:00, 0, 1261, 0,1_Producer_Count
1506028980000 ms, 2017-09-21T16:23:00, 0, 1265, 0,1_Producer_Count
1506029040000 ms, 2017-09-21T16:24:00, 0, 1273, 0,1_Producer_Count
1506029100000 ms, 2017-09-21T16:25:00, 1, 1261, 0,1_Producer_Count
1506029160000 ms, 2017-09-21T16:26:00, 0, 1243, 0,1_Producer_Count
1506029220000 ms, 2017-09-21T16:27:00, 0, 1255, 0,1_Producer_Count
1506029280000 ms, 2017-09-21T16:28:00, 0, 1252, 0,1_Producer_Count
1506029340000 ms, 2017-09-21T16:29:00, 1, 1263, 0,1_Producer_Count
1506029400000 ms, 2017-09-21T16:30:00, 0, 1254, 0,1_Producer_Count
1506029460000 ms, 2017-09-21T16:31:00, 0, 1307, 0,1_Producer_Count
1506029520000 ms, 2017-09-21T16:32:00, 1, 1254, 0,1_Producer_Count
1506029580000 ms, 2017-09-21T16:33:00, 1, 1243, 0,1_Producer_Count
1506029640000 ms, 2017-09-21T16:34:00, 0, 1253, 0,1_Producer_Count
1506029700000 ms, 2017-09-21T16:35:00, 0, 1237, 0,1_Producer_Count
1506029760000 ms, 2017-09-21T16:36:00, 0, 1229, 0,1_Producer_Count
1506029820000 ms, 2017-09-21T16:37:00, 0, 1271, 0,1_Producer_Count
1506029880000 ms, 2017-09-21T16:38:00, 1, 1257, 0,1_Producer_Count
1506029940000 ms, 2017-09-21T16:39:00, 0, 1281, 0,1_Producer_Count
1506030000000 ms, 2017-09-21T16:40:00, 0, 1263, 0,1_Producer_Count
1506030060000 ms, 2017-09-21T16:41:00, 0, 1255, 0,1_Producer_Count
1506030120000 ms, 2017-09-21T16:42:00, 1, 1267, 0,1_Producer_Count
1506030180000 ms, 2017-09-21T16:43:00, 0, 1268, 0,1_Producer_Count
1506030240000 ms, 2017-09-21T16:44:00, 1, 1248, 0,1_Producer_Count
1506030300000 ms, 2017-09-21T16:45:00, 0, 1281, 0,1_Producer_Count
1506030360000 ms, 2017-09-21T16:46:00, 1, 1260, 0,1_Producer_Count
1506030420000 ms, 2017-09-21T16:47:00, 0, 1243, 0,1_Producer_Count
1506030480000 ms, 2017-09-21T16:48:00, 0, 1272, 0,1_Producer_Count
1506030540000 ms, 2017-09-21T16:49:00, 0, 1279, 0,1_Producer_Count
1506030600000 ms, 2017-09-21T16:50:00, 1, 1252, 0,1_Producer_Count
1506030660000 ms, 2017-09-21T16:51:00, 0, 1281, 0,1_Producer_Count
1506030720000 ms, 2017-09-21T16:52:00, 0, 1257, 0,1_Producer_Count
1506030780000 ms, 2017-09-21T16:53:00, 0, 1257, 0,1_Producer_Count
1506030840000 ms, 2017-09-21T16:54:00, 0, 1257, 0,1_Producer_Count
1506030900000 ms, 2017-09-21T16:55:00, 0, 1245, 0,1_Producer_Count
1506030960000 ms, 2017-09-21T16:56:00, 1, 1255, 0,1_Producer_Count
1506031020000 ms, 2017-09-21T16:57:00, 0, 1276, 0,1_Producer_Count
1506031080000 ms, 2017-09-21T16:58:00, 1, 1268, 0,1_Producer_Count
1506031140000 ms, 2017-09-21T16:59:00, 0, 1260, 0,1_Producer_Count
1506031200000 ms, 2017-09-21T17:00:00, 5, 1280, 0,1_Producer_Count
1506031260000 ms, 2017-09-21T17:01:00, 0, 1240, 0,1_Producer_Count
1506031320000 ms, 2017-09-21T17:02:00, 0, 1235, 0,1_Producer_Count
1506031380000 ms, 2017-09-21T17:03:00, 0, 1268, 0,1_Producer_Count
1506031440000 ms, 2017-09-21T17:04:00, 0, 1283, 0,1_Producer_Count
1506031500000 ms, 2017-09-21T17:05:00, 0, 1260, 0,1_Producer_Count
1506031560000 ms, 2017-09-21T17:06:00, 0, 1275, 0,1_Producer_Count
1506031620000 ms, 2017-09-21T17:07:00, 1, 1261, 0,1_Producer_Count
1506031680000 ms, 2017-09-21T17:08:00, 0, 1306, 0,1_Producer_Count
1506031740000 ms, 2017-09-21T17:09:00, 0, 1296, 0,1_Producer_Count
1506031800000 ms, 2017-09-21T17:10:00, 0, 1260, 0,1_Producer_Count
1506031860000 ms, 2017-09-21T17:11:00, 1, 1257, 0,1_Producer_Count
1506031920000 ms, 2017-09-21T17:12:00, 0, 1274, 0,1_Producer_Count
1506031980000 ms, 2017-09-21T17:13:00, 0, 1274, 0,1_Producer_Count
1506032040000 ms, 2017-09-21T17:14:00, 0, 1268, 0,1_Producer_Count
1506032100000 ms, 2017-09-21T17:15:00, 0, 1247, 0,1_Producer_Count
1506032160000 ms, 2017-09-21T17:16:00, 0, 1259, 0,1_Producer_Count
1506032220000 ms, 2017-09-21T17:17:00, 0, 1255, 0,1_Producer_Count
1506032280000 ms, 2017-09-21T17:18:00, 0, 1263, 0,1_Producer_Count
1506032340000 ms, 2017-09-21T17:19:00, 0, 1264, 0,1_Producer_Count
1506032400000 ms, 2017-09-21T17:20:00, 1, 1272, 0,1_Producer_Count
1506032460000 ms, 2017-09-21T17:21:00, 0, 1271, 0,1_Producer_Count
1506032520000 ms, 2017-09-21T17:22:00, 0, 1275, 0,1_Producer_Count
1506032580000 ms, 2017-09-21T17:23:00, 0, 1259, 0,1_Producer_Count
1506032640000 ms, 2017-09-21T17:24:00, 0, 1248, 0,1_Producer_Count
1506032700000 ms, 2017-09-21T17:25:00, 0, 1922, 0,1_Producer_Count
1506032760000 ms, 2017-09-21T17:26:00, 1, 1264, 0,1_Producer_Count
1506032820000 ms, 2017-09-21T17:27:00, 0, 1268, 0,1_Producer_Count
1506032880000 ms, 2017-09-21T17:28:00, 0, 1296, 0,1_Producer_Count
1506032940000 ms, 2017-09-21T17:29:00, 0, 1268, 0,1_Producer_Count
