Image_Dimensions,Image_size(MB),TTC
400,1,0.582516,wrangler
600,2,1.360259,wrangler
800,4,2.320745,wrangler
1050,8,3.893692,wrangler
1450,16,7.463052,wrangler
2050,32,17.279585,wrangler
2900,64,34.335776,wrangler
4100,128,68.203077,wrangler
5800,256,136.767780,wrangler
