,Nodes,Framework,Duration
0,1,Dask,55124.2179871
1,1,Dask,55178.6148548
2,1,Dask,55802.863121
3,1,Dask,55969.7549343
4,1,Dask,56004.7190189
5,1,Dask,56035.9070301
6,1,Dask,56216.1951065
7,1,Dask,56526.6139507
8,1,Dask,56975.7659435
9,1,Dask,57137.3980045
10,1,Dask,57305.2828312
11,1,Dask,57376.4967918
12,1,Dask,57592.1840668
13,1,Dask,57716.6481018
14,1,Dask,57736.3698483
15,1,Dask,58117.1479225
16,1,Dask,59205.7387829
17,1,Dask,61982.0199013
18,1,Dask,65767.7350044
19,1,Dask,68497.3549843
20,1,Dask,68509.0310574
21,1,Dask,68792.7818298
22,1,Dask,68906.3711166
23,1,Dask,71876.5728474
24,1,Dask,55821.8238354
25,1,Dask,57511.1210346
26,1,Dask,58555.0820827
27,1,Dask,65059.4139099
28,1,Dask,68507.8999996
29,1,Dask,69078.1219006
30,1,Dask,69105.2381992
31,1,Dask,69394.0999508
32,1,Dask,69486.0160351
33,1,Dask,69761.1310482
34,1,Dask,70233.7949276
35,1,Dask,70341.4080143
36,1,Dask,70391.0160065
37,1,Dask,70790.8191681
38,1,Dask,71957.244873
39,1,Dask,72110.8188629
40,1,Dask,72216.0620689
41,1,Dask,72273.788929
42,1,Dask,72441.5380955
43,1,Dask,72535.0339413
44,1,Dask,72604.3200493
45,1,Dask,73114.5648956
46,1,Dask,80112.8690243
47,1,Dask,83871.3040352
48,1,Dask,55415.0640965
49,1,Dask,56707.9641819
50,1,Dask,59534.5649719
51,1,Dask,64453.8009167
52,1,Dask,68858.2248688
53,1,Dask,69053.4780025
54,1,Dask,69158.3259106
55,1,Dask,69233.5960865
56,1,Dask,69359.5740795
57,1,Dask,69450.6480694
58,1,Dask,69597.0900059
59,1,Dask,69882.6169968
60,1,Dask,70147.0098495
61,1,Dask,70961.1470699
62,1,Dask,71685.3611469
63,1,Dask,71936.2919331
64,1,Dask,71987.4858856
65,1,Dask,72039.2329693
66,1,Dask,72350.3439426
67,1,Dask,72382.8828335
68,1,Dask,72790.5008793
69,1,Dask,73029.4699669
70,1,Dask,73197.480917
71,1,Dask,92965.9979343
72,1,Dask,55174.1960049
73,1,Dask,55677.71101
74,1,Dask,56852.6990414
75,1,Dask,57170.0241566
76,1,Dask,57646.0459232
77,1,Dask,59609.0040207
78,1,Dask,62131.7119598
79,1,Dask,68661.0701084
80,1,Dask,68681.9050312
81,1,Dask,68728.3229828
82,1,Dask,68863.0700111
83,1,Dask,68952.0640373
84,1,Dask,69307.6398373
85,1,Dask,69698.8351345
86,1,Dask,70409.7750187
