,Duration,Framework,Nodes,Optimization
176,33058300.0,MPIC++,1,2
177,32986700.0,MPIC++,1,2
178,33120400.0,MPIC++,1,2
179,33042200.0,MPIC++,1,2
180,32861700.0,MPIC++,1,2
181,32856100.0,MPIC++,1,2
182,32844300.0,MPIC++,1,2
183,32839600.0,MPIC++,1,2
184,32849900.0,MPIC++,1,2
185,32808200.0,MPIC++,1,2
186,32847300.0,MPIC++,1,2
187,32830100.0,MPIC++,1,2
188,32849700.0,MPIC++,1,2
189,32849300.0,MPIC++,1,2
190,32838400.0,MPIC++,1,2
191,32830800.0,MPIC++,1,2
192,32924200.0,MPIC++,1,2
193,32889100.0,MPIC++,1,2
194,32905700.0,MPIC++,1,2
195,32923900.0,MPIC++,1,2
196,32784800.0,MPIC++,1,2
197,33010900.0,MPIC++,1,2
198,32892500.0,MPIC++,1,2
199,32890600.0,MPIC++,1,2
200,32899300.0,MPIC++,1,2
201,32887600.0,MPIC++,1,2
202,32889600.0,MPIC++,1,2
203,32948500.0,MPIC++,1,2
204,33126100.0,MPIC++,1,2
205,33110500.0,MPIC++,1,2
206,33077000.0,MPIC++,1,2
207,33089100.0,MPIC++,1,2
208,33159600.0,MPIC++,1,2
209,33085000.0,MPIC++,1,2
210,33095100.0,MPIC++,1,2
211,33086900.0,MPIC++,1,2
212,33093100.0,MPIC++,1,2
213,33141900.0,MPIC++,1,2
214,33109900.0,MPIC++,1,2
215,33054200.0,MPIC++,1,2
216,32867900.0,MPIC++,1,2
217,32845200.0,MPIC++,1,2
218,32882700.0,MPIC++,1,2
219,32845800.0,MPIC++,1,2
220,32858100.0,MPIC++,1,2
221,32910100.0,MPIC++,1,2
222,32766200.0,MPIC++,1,2
223,32858200.0,MPIC++,1,2
224,32846400.0,MPIC++,1,2
225,32837000.0,MPIC++,1,2
226,32858800.0,MPIC++,1,2
227,32881000.0,MPIC++,1,2
228,33165100.0,MPIC++,1,2
229,33081800.0,MPIC++,1,2
230,33102600.0,MPIC++,1,2
231,32966400.0,MPIC++,1,2
232,33042800.0,MPIC++,1,2
233,32970400.0,MPIC++,1,2
234,33083900.0,MPIC++,1,2
235,32975600.0,MPIC++,1,2
236,33093100.0,MPIC++,1,2
