Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,48,0.09885
100,1000,3,5000,120,48,0.51498
100,10000,3,5000,120,48,8.19497
100,100000,3,5000,120,48,80.03146
100,1000000,3,5000,120,48,728.00163
