CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000057,Mapper-0-58,N/A,0.806,N/A,1.382,12.487,12.489,0.036733,1.960251,0.003432

unit.000058,Mapper-0-59,N/A,0.81,N/A,1.438,12.49,12.492,0.038234,1.953169,0.003575

unit.000059,Mapper-0-60,N/A,0.815,N/A,1.475,12.493,12.497,0.041305,2.024073,0.003652

unit.000060,Mapper-0-61,N/A,0.821,N/A,1.513,12.5,12.513,0.041041,1.958948,0.004789

unit.000061,Mapper-0-62,N/A,0.826,N/A,1.541,12.514,12.516,0.041351,2.354743,0.003592

unit.000062,Mapper-0-63,N/A,0.829,N/A,1.562,14.667,14.67,0.041052,1.99806,0.003393

unit.000063,Mapper-0-64,N/A,0.832,N/A,1.591,12.52,12.521,0.041882,1.974895,0.003437

unit.000064,Mapper-0-65,N/A,0.853,N/A,1.818,13.603,13.605,0.020938,1.950406,0.003452

unit.000065,Mapper-0-66,N/A,0.838,N/A,1.646,12.523,12.525,0.016344,1.967288,0.003248

unit.000066,Mapper-0-67,N/A,0.841,N/A,1.675,14.673,14.676,0.017196,2.481097,0.003136

unit.000067,Mapper-0-68,N/A,0.843,N/A,1.703,14.677,14.679,0.02149,1.953769,0.003168

unit.000068,Mapper-0-69,N/A,0.845,N/A,1.722,14.679,14.681,0.016261,2.38617,0.003168

unit.000069,Mapper-0-70,N/A,0.849,N/A,1.771,14.682,14.684,0.020987,2.100034,0.003246

unit.000070,Mapper-0-71,N/A,0.775,N/A,1.037,12.449,12.451,0.020131,2.000874,0.003391

unit.000071,Mapper-0-72,N/A,0.793,N/A,1.261,12.459,12.461,0.014001,2.086199,0.003728

unit.000072,Mapper-0-73,N/A,0.814,N/A,1.466,12.493,12.498,0.041306,2.075398,0.00384

unit.000073,Mapper-0-74,N/A,0.836,N/A,1.637,14.67,14.672,0.054139,2.510067,0.00325

unit.000074,Mapper-0-75,N/A,0.776,N/A,1.046,15.745,15.75,0.020225,2.007637,0.004238

