Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,496.0,4.12773368374
8000,16000,2,8000,993.0,4.13142030475
16000,24000,3,8000,1488.0,4.12670657721
24000,32000,4,8000,1981.0,4.11980509652
32000,40000,5,8000,2480.0,4.12610397348
40000,48000,6,8000,2977.0,4.12806311223
48000,56000,7,8000,3478.0,4.13391503697
56000,64000,8,8000,3977.0,4.13596761917
64000,72000,9,8000,4471.0,4.13303428118
72000,80000,10,8000,4966.0,4.13148350544
80000,88000,11,8000,5461.0,4.13036242131
88000,96000,12,8000,5960.0,4.13247790583
0,8000,13,8000,6453.0,4.12937986885
8000,16000,14,8000,6941.0,4.12444705945
16000,24000,15,8000,7437.0,4.12475028763
24000,32000,16,8000,7940.0,4.12833562484
32000,40000,17,8000,8446.0,4.13307616391
40000,48000,18,8000,8947.0,4.13500325784
48000,56000,19,8000,9425.0,4.12674089345
56000,64000,20,8000,9936.0,4.13304059524
64000,72000,21,8000,10446.0,4.13822187783
72000,80000,22,8000,10944.0,4.13847956437
80000,88000,23,8000,11435.0,4.13623983737
88000,96000,24,8000,11930.0,4.13552121886
96000,104000,25,8000,12423.0,4.13411723083
104000,112000,26,8000,12918.0,4.13353273643
112000,120000,27,8000,13414.0,4.13332228551
120000,128000,28,8000,13900.0,4.13001619963
128000,136000,29,8000,14396.0,4.12996228677
136000,144000,30,8000,14878.0,4.12595020002
144000,152000,31,8000,15363.0,4.1230542272
152000,160000,32,8000,15857.0,4.12262937431
160000,168000,33,8000,16352.0,4.12247990453
