#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c486-703 2.2482 0.1854 19.1086
c486-704 0.6937 0.1208 19.1805
c495-001 0.6937 0.1196 19.1761
c495-002 0.6937 0.1181 19.1853
c495-003 0.6937 0.1209 19.1825
c495-004 0.6937 0.1209 19.1872
c495-101 0.6937 0.1208 19.1795
c495-102 0.6937 0.1208 19.1906
c495-103 0.6937 0.1208 19.1872
c495-104 0.6937 0.1181 19.1836
c495-201 0.6937 0.1208 19.1702
c495-202 0.6937 0.1209 19.1747
c495-203 0.6937 0.1209 19.1772
c495-204 0.6937 0.1209 19.1840
c495-301 0.6937 0.1209 19.1793
c495-302 0.6937 0.1209 19.2328
