BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512091380000 ms, 2017-11-30T19:23:07, 4, 17245, 17241, 4738,1_Producer_Count
1512091440000 ms, 2017-11-30T19:24:12, 0, 39012, 39012, 13718,1_Producer_Count
1512091500000 ms, 2017-11-30T19:25:13, 0, 40555, 40555, 13675,1_Producer_Count
1512091560000 ms, 2017-11-30T19:26:12, 0, 39671, 39671, 14189,1_Producer_Count
1512091620000 ms, 2017-11-30T19:27:13, 1, 39876, 39875, 14930,1_Producer_Count
1512091680000 ms, 2017-11-30T19:28:13, 0, 43075, 43075, 15185,1_Producer_Count
1512091740000 ms, 2017-11-30T19:29:09, 0, 31469, 31469, 10542,1_Producer_Count
1512091800000 ms, 2017-11-30T19:30:04, 0, 14577, 14577, 4804,1_Producer_Count
1512091860000 ms, 2017-11-30T19:31:04, 0, 13902, 13902, 4897,1_Producer_Count
1512091920000 ms, 2017-11-30T19:32:03, 1, 11912, 11911, 3779,1_Producer_Count
1512091980000 ms, 2017-11-30T19:33:02, 1, 7822, 7821, 2324,1_Producer_Count
1512092040000 ms, 2017-11-30T19:34:00, 0, 1650, 1650, 0,1_Producer_Count
1512092100000 ms, 2017-11-30T19:35:00, 1, 1530, 1529, 0,1_Producer_Count
1512092160000 ms, 2017-11-30T19:36:00, 1, 1539, 1538, 0,1_Producer_Count
1512092220000 ms, 2017-11-30T19:37:00, 0, 1503, 1503, 0,1_Producer_Count
1512092280000 ms, 2017-11-30T19:38:00, 0, 1526, 1526, 0,1_Producer_Count
1512092340000 ms, 2017-11-30T19:39:00, 1, 1514, 1513, 0,1_Producer_Count
1512092400000 ms, 2017-11-30T19:40:00, 2, 1498, 1496, 0,1_Producer_Count
1512092460000 ms, 2017-11-30T19:41:00, 1, 1527, 1526, 0,1_Producer_Count
1512092520000 ms, 2017-11-30T19:42:00, 1, 1522, 1521, 0,1_Producer_Count
1512092580000 ms, 2017-11-30T19:43:00, 1, 1511, 1510, 0,1_Producer_Count
1512092640000 ms, 2017-11-30T19:44:00, 1, 1529, 1528, 0,1_Producer_Count
1512092700000 ms, 2017-11-30T19:45:00, 1, 1534, 1533, 0,1_Producer_Count
1512092760000 ms, 2017-11-30T19:46:00, 1, 1522, 1521, 0,1_Producer_Count
1512092820000 ms, 2017-11-30T19:47:00, 1, 1520, 1519, 0,1_Producer_Count
1512092880000 ms, 2017-11-30T19:48:00, 2, 1485, 1483, 0,1_Producer_Count
1512092940000 ms, 2017-11-30T19:49:00, 1, 1533, 1532, 0,1_Producer_Count
1512093000000 ms, 2017-11-30T19:50:00, 1, 1527, 1526, 0,1_Producer_Count
1512093060000 ms, 2017-11-30T19:51:00, 1, 1501, 1500, 0,1_Producer_Count
1512093120000 ms, 2017-11-30T19:52:00, 1, 1481, 1480, 0,1_Producer_Count
1512093180000 ms, 2017-11-30T19:53:00, 1, 1505, 1504, 0,1_Producer_Count
1512093240000 ms, 2017-11-30T19:54:00, 1, 1496, 1495, 0,1_Producer_Count
1512093300000 ms, 2017-11-30T19:55:00, 0, 1506, 1506, 0,1_Producer_Count
1512093360000 ms, 2017-11-30T19:56:00, 1, 1529, 1528, 0,1_Producer_Count
1512093420000 ms, 2017-11-30T19:57:00, 1, 1498, 1497, 0,1_Producer_Count
1512093480000 ms, 2017-11-30T19:58:00, 0, 1525, 1525, 0,1_Producer_Count
1512093540000 ms, 2017-11-30T19:59:00, 1, 1498, 1497, 0,1_Producer_Count
1512093600000 ms, 2017-11-30T20:00:00, 1, 1501, 1500, 0,1_Producer_Count
1512093660000 ms, 2017-11-30T20:01:00, 1, 1513, 1512, 0,1_Producer_Count
1512093720000 ms, 2017-11-30T20:02:00, 0, 1491, 1491, 0,1_Producer_Count
1512093780000 ms, 2017-11-30T20:03:00, 1, 1506, 1505, 0,1_Producer_Count
1512093840000 ms, 2017-11-30T20:04:00, 0, 1504, 1504, 0,1_Producer_Count
1512093900000 ms, 2017-11-30T20:05:00, 2, 1544, 1542, 0,1_Producer_Count
