TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1483659695 6280861 23954882246 409004872
1483659696 6280958 23954882690 409004872
1483659697 6281219 23954883356 409004872
1483659698 6281243 23955157688 409004872
1483659699 6281407 24051533561 409022204
1483659700 6281416 24051538751 409022204
1483659702 6281416 24051538751 409022204
1483659703 6281416 24051538751 409022204
1483659704 6281420 24051538751 409022204
1483659705 6281420 24051538751 409022204
1483659706 6281420 24051538751 409022204
1483659707 6281424 24051538751 409022204
1483659708 6281424 24051538751 409022204
1483659709 6281424 24051538751 409022204
1483659710 6281424 24051538751 409022204
1483659712 6281425 24051538751 409022204
1483659713 6281425 24051538751 409022204
1483659714 6281429 24051538751 409022204
1483659715 6281429 24051538751 409022204
1483659716 6281433 24051538751 409022204
1483659717 6281433 24051538751 409022204
1483659718 6281433 24051538751 409022204
1483659719 6281433 24051538751 409022204
1483659721 6281438 24051538751 409022204
1483659722 6281438 24051538751 409022204
1483659723 6281438 24051538751 409022204
1483659724 6281447 24051538751 409022204
1483659725 6281459 24051538751 409022204
1483659726 6281463 24051538751 409022204
1483659727 6281463 24051538751 409022204
1483659728 6281468 24051538751 409022204
1483659730 6281468 24051538751 409022204
1483659731 6281483 24051538751 409022204
1483659732 6281483 24051538751 409022204
1483659733 6281483 24051538751 409022204
1483659734 6281487 24051538751 409022204
1483659735 6281487 24051538751 409022204
1483659736 6281491 24051538751 409022204
1483659737 6281491 24051538751 409022204
1483659739 6281491 24051538751 409022204
1483659740 6281491 24051538751 409022204
1483659741 6281491 24051538751 409022204
1483659742 6281491 24051538751 409022204
1483659743 6281491 24051538751 409022204
1483659744 6281495 24051538751 409022204
1483659745 6281495 24051538751 409022204
1483659747 6281499 24051538751 409022204
1483659748 6281499 24051538751 409022204
1483659749 6281499 24051538751 409022204
1483659750 6281499 24051538751 409022204
1483659751 6281499 24051538751 409022204
1483659752 6281499 24051538751 409022204
1483659753 6281503 24051538751 409022204
1483659755 6281503 24051538751 409022204
1483659756 6281503 24051538751 409022204
1483659757 6281507 24051538751 409022204
1483659758 6281507 24051538751 409022204
1483659759 6281507 24051538751 409022204
1483659760 6281507 24051538751 409022204
1483659761 6281508 24051538751 409022204
1483659762 6281508 24051538751 409022204
1483659764 6281512 24051538751 409022204
1483659765 6281512 24051538751 409022204
1483659766 6281512 24051538751 409022204
1483659767 6281516 24051538751 409022204
1483659768 6281516 24051538751 409022204
1483659769 6281516 24051538751 409022204
1483659770 6281516 24051538751 409022204
1483659772 6281516 24051538751 409022204
1483659773 6281516 24051538751 409022204
1483659774 6281520 24051538751 409022204
1483659775 6281520 24051538751 409022204
1483659776 6281524 24051538751 409022204
1483659777 6281524 24051538751 409022204
1483659778 6281524 24051538751 409022204
1483659780 6281524 24051538751 409022204
1483659781 6281524 24051538751 409022204
1483659782 6281524 24051538751 409022204
1483659783 6281524 24051538751 409022204
1483659784 6281528 24051538751 409022204
1483659785 6281528 24051538751 409022204
