BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, ProcessingDelay, NumberRecords, Scenario
1512452520000 ms, 2017-12-04T23:42:01, 4, 2494, 2490, 0,1_Producer_Count
1512452580000 ms, 2017-12-04T23:43:13, 0, 44571, 44571, 4101,1_Producer_Count
1512452640000 ms, 2017-12-04T23:44:19, 1, 76884, 76883, 5763,1_Producer_Count
1512452700000 ms, 2017-12-04T23:45:47, 0, 173250, 173250, 9225,1_Producer_Count
1512452760000 ms, 2017-12-04T23:47:22, 77928, 445211, 367283, 11726,1_Producer_Count
1512452820000 ms, 2017-12-04T23:49:18, 330064, 793024, 462960, 21734,1_Producer_Count
1512452880000 ms, 2017-12-04T23:52:05, 625888, 1006462, 380574, 37747,1_Producer_Count
1512452940000 ms, 2017-12-04T23:56:13, 758245, 1303058, 544813, 54322,1_Producer_Count
1512453000000 ms, 2017-12-05T00:01:28, 987757, 1620383, 632626, 63119,1_Producer_Count
1512453060000 ms, 2017-12-05T00:03:03, 1525563, 1672784, 147221, 14483,1_Producer_Count
1512453120000 ms, 2017-12-05T00:05:07, 1548409, 1549657, 1248, 0,1_Producer_Count
1512453180000 ms, 2017-12-05T00:05:10, 1547388, 1548685, 1297, 0,1_Producer_Count
1512453240000 ms, 2017-12-05T00:05:12, 1546612, 1547954, 1342, 0,1_Producer_Count
1512453300000 ms, 2017-12-05T00:05:13, 1546449, 1547736, 1287, 0,1_Producer_Count
1512453360000 ms, 2017-12-05T00:05:15, 1546306, 1547637, 1331, 0,1_Producer_Count
1512453420000 ms, 2017-12-05T00:05:16, 1546368, 1547660, 1292, 0,1_Producer_Count
1512453480000 ms, 2017-12-05T00:05:17, 1546865, 1548099, 1234, 0,1_Producer_Count
1512453540000 ms, 2017-12-05T00:05:17, 1547476, 1548747, 1271, 0,1_Producer_Count
1512453600000 ms, 2017-12-05T00:05:18, 1548220, 1549478, 1258, 0,1_Producer_Count
1512453660000 ms, 2017-12-05T00:05:18, 1548978, 1550236, 1258, 0,1_Producer_Count
1512453720000 ms, 2017-12-05T00:05:19, 1549726, 1550977, 1251, 0,1_Producer_Count
1512453780000 ms, 2017-12-05T00:05:19, 1550512, 1551805, 1293, 0,1_Producer_Count
1512453840000 ms, 2017-12-05T00:05:20, 1551362, 1552592, 1230, 0,1_Producer_Count
1512453900000 ms, 2017-12-05T00:05:20, 1552180, 1553469, 1289, 0,1_Producer_Count
1512453960000 ms, 2017-12-05T00:08:27, 1366817, 1368058, 1241, 0,1_Producer_Count
1512454020000 ms, 2017-12-05T00:08:30, 1364904, 1366150, 1246, 0,1_Producer_Count
1512454080000 ms, 2017-12-05T00:08:33, 1363361, 1364603, 1242, 0,1_Producer_Count
1512454140000 ms, 2017-12-05T00:09:06, 1331587, 1332852, 1265, 0,1_Producer_Count
1512454200000 ms, 2017-12-05T00:12:38, 1121136, 1122393, 1257, 0,1_Producer_Count
1512454260000 ms, 2017-12-05T00:12:40, 1119868, 1121119, 1251, 0,1_Producer_Count
1512454320000 ms, 2017-12-05T00:12:41, 1119869, 1121102, 1233, 0,1_Producer_Count
1512454380000 ms, 2017-12-05T00:13:00, 1102767, 1104009, 1242, 0,1_Producer_Count
1512454440000 ms, 2017-12-05T00:17:21, 843014, 844294, 1280, 0,1_Producer_Count
1512454500000 ms, 2017-12-05T00:17:25, 840249, 841511, 1262, 0,1_Producer_Count
1512454560000 ms, 2017-12-05T00:17:28, 838259, 839543, 1284, 0,1_Producer_Count
1512454620000 ms, 2017-12-05T00:17:31, 836827, 838067, 1240, 0,1_Producer_Count
1512454680000 ms, 2017-12-05T00:18:12, 796877, 798341, 1464, 0,1_Producer_Count
1512454740000 ms, 2017-12-05T00:21:52, 578331, 579581, 1250, 0,1_Producer_Count
1512454800000 ms, 2017-12-05T00:21:55, 576274, 577509, 1235, 0,1_Producer_Count
1512454860000 ms, 2017-12-05T00:21:58, 574568, 575844, 1276, 0,1_Producer_Count
1512454920000 ms, 2017-12-05T00:22:02, 571761, 573021, 1260, 0,1_Producer_Count
1512454980000 ms, 2017-12-05T00:27:15, 259962, 261210, 1248, 0,1_Producer_Count
1512455040000 ms, 2017-12-05T00:27:23, 253571, 254820, 1249, 0,1_Producer_Count
1512455100000 ms, 2017-12-05T00:27:26, 251309, 252526, 1217, 0,1_Producer_Count
1512455160000 ms, 2017-12-05T00:27:30, 248549, 249776, 1227, 0,1_Producer_Count
1512455220000 ms, 2017-12-05T00:27:34, 246332, 247561, 1229, 0,1_Producer_Count
1512455280000 ms, 2017-12-05T00:28:00, 221236, 222496, 1260, 0,1_Producer_Count
1512455340000 ms, 2017-12-05T00:29:19, 143446, 144672, 1226, 0,1_Producer_Count
1512455400000 ms, 2017-12-05T00:30:37, 67369, 68599, 1230, 0,1_Producer_Count
1512455460000 ms, 2017-12-05T00:31:00, 45399, 46729, 1330, 0,1_Producer_Count
1512455520000 ms, 2017-12-05T00:32:00, 0, 1270, 1270, 0,1_Producer_Count
1512455580000 ms, 2017-12-05T00:33:00, 0, 1252, 1252, 0,1_Producer_Count
1512455640000 ms, 2017-12-05T00:34:00, 0, 1256, 1256, 0,1_Producer_Count
1512455700000 ms, 2017-12-05T00:35:00, 0, 1254, 1254, 0,1_Producer_Count
1512455760000 ms, 2017-12-05T00:36:00, 1, 1270, 1269, 0,1_Producer_Count
1512455820000 ms, 2017-12-05T00:37:00, 0, 1289, 1289, 0,1_Producer_Count
1512455880000 ms, 2017-12-05T00:38:00, 0, 1284, 1284, 0,1_Producer_Count
1512455940000 ms, 2017-12-05T00:39:00, 0, 1245, 1245, 0,1_Producer_Count
1512456000000 ms, 2017-12-05T00:40:00, 0, 1285, 1285, 0,1_Producer_Count
1512456060000 ms, 2017-12-05T00:41:00, 1, 1248, 1247, 0,1_Producer_Count
1512456120000 ms, 2017-12-05T00:42:00, 0, 1248, 1248, 0,1_Producer_Count
1512456180000 ms, 2017-12-05T00:43:00, 0, 1270, 1270, 0,1_Producer_Count
1512456240000 ms, 2017-12-05T00:44:00, 1, 1238, 1237, 0,1_Producer_Count
1512456300000 ms, 2017-12-05T00:45:00, 0, 1262, 1262, 0,1_Producer_Count
1512456360000 ms, 2017-12-05T00:46:00, 0, 1233, 1233, 0,1_Producer_Count
1512456420000 ms, 2017-12-05T00:47:00, 0, 1254, 1254, 0,1_Producer_Count
1512456480000 ms, 2017-12-05T00:48:00, 0, 1239, 1239, 0,1_Producer_Count
1512456540000 ms, 2017-12-05T00:49:00, 1, 1261, 1260, 0,1_Producer_Count
1512456600000 ms, 2017-12-05T00:50:00, 0, 1259, 1259, 0,1_Producer_Count
1512456660000 ms, 2017-12-05T00:51:00, 0, 1228, 1228, 0,1_Producer_Count
1512456720000 ms, 2017-12-05T00:52:00, 0, 1245, 1245, 0,1_Producer_Count
1512456780000 ms, 2017-12-05T00:53:00, 1, 1249, 1248, 0,1_Producer_Count
1512456840000 ms, 2017-12-05T00:54:00, 0, 1248, 1248, 0,1_Producer_Count
1512456900000 ms, 2017-12-05T00:55:00, 0, 1230, 1230, 0,1_Producer_Count
1512456960000 ms, 2017-12-05T00:56:00, 0, 1253, 1253, 0,1_Producer_Count
1512457020000 ms, 2017-12-05T00:57:00, 1, 1263, 1262, 0,1_Producer_Count
1512457080000 ms, 2017-12-05T00:58:00, 1, 1244, 1243, 0,1_Producer_Count
1512457140000 ms, 2017-12-05T00:59:00, 1, 1226, 1225, 0,1_Producer_Count
1512457200000 ms, 2017-12-05T01:00:00, 1, 1273, 1272, 0,1_Producer_Count
1512457260000 ms, 2017-12-05T01:01:00, 1, 1247, 1246, 0,1_Producer_Count
1512457320000 ms, 2017-12-05T01:02:00, 1, 1218, 1217, 0,1_Producer_Count
1512457380000 ms, 2017-12-05T01:03:00, 0, 1219, 1219, 0,1_Producer_Count
1512457440000 ms, 2017-12-05T01:04:00, 1, 1238, 1237, 0,1_Producer_Count
1512457500000 ms, 2017-12-05T01:05:00, 1, 1231, 1230, 0,1_Producer_Count
1512457560000 ms, 2017-12-05T01:06:00, 1, 1240, 1239, 0,1_Producer_Count
1512457620000 ms, 2017-12-05T01:07:00, 1, 1228, 1227, 0,1_Producer_Count
1512457680000 ms, 2017-12-05T01:08:00, 1, 1261, 1260, 0,1_Producer_Count
1512457740000 ms, 2017-12-05T01:09:00, 1, 1263, 1262, 0,1_Producer_Count
1512457800000 ms, 2017-12-05T01:10:00, 0, 1280, 1280, 0,1_Producer_Count
