#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c403-102 2.2497 0.1883 19.0824
c403-103 0.6937 0.1208 19.0725
c408-001 0.6937 0.1181 19.1056
c408-904 0.6937 0.1181 19.1288
c409-001 0.6937 0.1208 19.1158
c410-001 0.6937 0.1208 19.1129
c410-303 0.6937 0.1209 19.0847
c413-601 0.6937 0.1182 19.0718
c413-602 0.6937 0.1209 19.0880
c414-304 0.6937 0.1191 19.0855
c421-201 0.6937 0.1209 19.0969
c422-203 0.6937 0.1209 19.0751
c434-004 0.6937 0.1209 19.1050
c435-001 0.6937 0.1208 19.0957
c436-001 0.6937 0.1208 19.0923
c436-302 0.6937 0.1191 19.1295
