,Duration,Framework,Nodes
199,1790750.0,MPIC++,1
200,1792480.0,MPIC++,1
201,1787680.0,MPIC++,1
202,1791330.0,MPIC++,1
203,1789860.0,MPIC++,1
204,1796100.0,MPIC++,1
205,1795900.0,MPIC++,1
206,2281090.0,MPIC++,1
207,1800920.0,MPIC++,1
208,1787410.0,MPIC++,1
209,1787020.0,MPIC++,1
210,1809730.0,MPIC++,1
211,2144750.0,MPIC++,1
212,1790340.0,MPIC++,1
213,1806740.0,MPIC++,1
214,1789930.0,MPIC++,1
215,1790140.0,MPIC++,1
216,1798810.0,MPIC++,1
217,1798530.0,MPIC++,1
218,1801010.0,MPIC++,1
219,2850170.0,MPIC++,1
220,1800260.0,MPIC++,1
221,1794580.0,MPIC++,1
222,1793860.0,MPIC++,1
223,1791190.0,MPIC++,1
224,1789000.0,MPIC++,1
225,1792020.0,MPIC++,1
226,1793820.0,MPIC++,1
227,1795020.0,MPIC++,1
228,1806930.0,MPIC++,1
229,1796980.0,MPIC++,1
230,1796540.0,MPIC++,1
231,1814820.0,MPIC++,1
232,2603820.0,MPIC++,1
233,1790430.0,MPIC++,1
234,1789620.0,MPIC++,1
235,1789460.0,MPIC++,1
236,1795710.0,MPIC++,1
237,1807330.0,MPIC++,1
238,1791780.0,MPIC++,1
239,1789190.0,MPIC++,1
