,Nodes,Framework,Duration
0,1,Dask,2980.3071022
1,1,Dask,3006.68811798
2,1,Dask,3025.19989014
3,1,Dask,3029.20913696
4,1,Dask,3034.34991837
5,1,Dask,3047.71780968
6,1,Dask,3064.39399719
7,1,Dask,3147.1259594
8,1,Dask,2978.33013535
9,1,Dask,2977.36692429
10,1,Dask,3009.43613052
11,1,Dask,3022.41206169
12,1,Dask,3016.11208916
13,1,Dask,3053.54094505
14,1,Dask,3024.85609055
15,1,Dask,3095.51692009
16,1,Dask,2979.96497154
17,1,Dask,2986.69695854
18,1,Dask,3024.74617958
19,1,Dask,3045.78185081
20,1,Dask,3027.47797966
21,1,Dask,3057.60407448
22,1,Dask,3047.7411747
23,1,Dask,2995.25809288
24,1,Dask,2989.1679287
25,1,Dask,3013.11898232
26,1,Dask,3048.98619652
27,1,Dask,3057.59811401
28,1,Dask,3059.278965
29,1,Dask,3071.32792473
30,1,Dask,3082.50308037
31,1,Dask,3146.72708511
32,1,Dask,2971.07791901
33,1,Dask,2998.33393097
34,1,Dask,3021.8629837
35,1,Dask,3041.72706604
36,1,Dask,3071.00009918
37,1,Dask,3090.29197693
38,1,Dask,3104.3908596
39,1,Dask,3116.25218391
40,1,Dask,2986.77921295
41,1,Dask,3041.55611992
42,1,Dask,2994.22121048
43,1,Dask,3069.6811676
44,1,Dask,3086.97891235
45,1,Dask,3131.99687004
46,1,Dask,3099.07197952
47,1,Dask,3131.37698174
48,1,Dask,3023.21600914
49,1,Dask,3044.14105415
50,1,Dask,3045.1028347
51,1,Dask,3057.08312988
52,1,Dask,3080.09314537
53,1,Dask,3080.70707321
54,1,Dask,3143.20588112
55,1,Dask,3144.98186111
56,1,Dask,2934.21506882
57,1,Dask,2986.96517944
58,1,Dask,3027.04501152
59,1,Dask,3009.35411453
60,1,Dask,3094.32601929
61,1,Dask,3103.83796692
62,1,Dask,3103.41691971
63,1,Dask,3124.85694885
64,1,Dask,2975.36492348
65,1,Dask,3003.20005417
66,1,Dask,2994.1649437
67,1,Dask,3015.0821209
68,1,Dask,3056.94007874
69,1,Dask,3114.28809166
70,1,Dask,3090.37780762
71,1,Dask,3190.27686119
72,1,Dask,2968.36400032
73,1,Dask,3011.67297363
74,1,Dask,3016.43705368
75,1,Dask,3031.76999092
76,1,Dask,3047.79291153
77,1,Dask,3067.03996658
78,1,Dask,3083.53996277
79,1,Dask,3111.82999611
80,1,Dask,2959.93709564
81,1,Dask,2996.24085426
82,1,Dask,3013.1881237
83,1,Dask,3026.47805214
84,1,Dask,3028.50389481
85,1,Dask,3013.84615898
86,1,Dask,3081.45308495
87,1,Dask,3109.12489891
88,1,Dask,2999.58896637
89,1,Dask,2988.51680756
90,1,Dask,3028.90706062
91,1,Dask,3000.19717216
92,1,Dask,3050.46105385
93,1,Dask,3030.76696396
94,1,Dask,3077.42500305
95,1,Dask,3152.14896202
96,1,Dask,2963.56391907
97,1,Dask,3008.3091259
98,1,Dask,3069.190979
99,1,Dask,3074.72205162
100,1,Dask,3087.13889122
101,1,Dask,3089.8001194
102,1,Dask,3089.90001678
103,1,Dask,3100.58808327
104,1,Dask,2949.70202446
105,1,Dask,2993.28398705
106,1,Dask,3039.86501694
107,1,Dask,3043.820858
108,1,Dask,3040.65299034
109,1,Dask,3053.59387398
110,1,Dask,3071.20585442
111,1,Dask,3095.90792656
112,1,Dask,2955.16300201
113,1,Dask,2996.39701843
114,1,Dask,3022.8471756
115,1,Dask,3020.9300518
116,1,Dask,3063.50708008
117,1,Dask,3035.47310829
118,1,Dask,3062.76702881
119,1,Dask,3067.84319878
120,1,Dask,2999.73797798
121,1,Dask,3004.2848587
122,1,Dask,3005.5809021
123,1,Dask,3021.69013023
124,1,Dask,3057.44886398
125,1,Dask,3070.40596008
126,1,Dask,3078.14908028
127,1,Dask,3080.07001877
128,1,Dask,2972.67603874
129,1,Dask,3008.29291344
130,1,Dask,3078.51004601
131,1,Dask,3080.89184761
132,1,Dask,3086.98987961
133,1,Dask,3086.92884445
134,1,Dask,3108.9091301
135,1,Dask,3092.07320213
136,1,Dask,2994.17996407
137,1,Dask,3024.97291565
138,1,Dask,3030.14588356
139,1,Dask,3058.31098557
140,1,Dask,3036.14783287
141,1,Dask,3083.99796486
142,1,Dask,3096.50301933
143,1,Dask,3114.15195465
144,1,Dask,3063.53712082
145,1,Dask,3018.44596863
146,1,Dask,3045.21608353
147,1,Dask,3055.94801903
148,1,Dask,3204.29706573
149,1,Dask,3010.08701324
150,1,Dask,3059.59916115
151,1,Dask,3077.10194588
152,1,Dask,3071.92397118
153,1,Dask,3007.66301155
154,1,Dask,3026.22318268
155,1,Dask,3008.01897049
156,1,Dask,3072.23105431
157,1,Dask,3062.66713142
158,1,Dask,3125.40984154
159,1,Dask,3045.03798485
160,1,Dask,3030.93791008
161,1,Dask,2985.54897308
162,1,Dask,3002.80809402
163,1,Dask,3005.10311127
164,1,Dask,3043.72096062
165,1,Dask,3062.05296516
166,1,Dask,3117.06399918
167,1,Dask,3092.87905693
168,1,Dask,2960.76893806
169,1,Dask,3011.10315323
170,1,Dask,3030.77101707
171,1,Dask,3038.37895393
172,1,Dask,3048.11787605
173,1,Dask,3050.10819435
174,1,Dask,3073.9839077
175,1,Dask,3149.18994904
176,1,Dask,3024.2729187
177,1,Dask,2998.61907959
178,1,Dask,3035.59994698
179,1,Dask,3029.65307236
180,1,Dask,3058.08711052
181,1,Dask,3081.5179348
182,1,Dask,3043.98298264
183,1,Dask,3020.75695992
184,1,Dask,3002.09498405
185,1,Dask,2984.30585861
186,1,Dask,3060.21118164
187,1,Dask,3043.16878319
188,1,Dask,3092.71597862
189,1,Dask,3071.59781456
190,1,Dask,3099.11704063
191,1,Dask,3090.48819542
192,1,Dask,2991.63889885
193,1,Dask,3005.93805313
194,1,Dask,3031.03208542
195,1,Dask,3034.51013565
196,1,Dask,3044.24214363
197,1,Dask,3044.94190216
198,1,Dask,3045.97091675
199,1,Dask,3068.60613823
200,1,Dask,2982.57303238
201,1,Dask,3000.67901611
202,1,Dask,2987.97893524
203,1,Dask,3008.62598419
204,1,Dask,3045.81999779
205,1,Dask,3047.06406593
206,1,Dask,3083.7790966
207,1,Dask,3056.16402626
208,1,Dask,2992.1040535
209,1,Dask,3029.4008255
210,1,Dask,3089.7538662
211,1,Dask,3004.39405441
212,1,Dask,3055.39798737
213,1,Dask,3074.8269558
214,1,Dask,3051.28002167
215,1,Dask,3074.8231411
216,1,Dask,2978.50799561
217,1,Dask,3003.21483612
218,1,Dask,3018.10789108
219,1,Dask,3023.52714539
220,1,Dask,3033.45108032
221,1,Dask,3050.51112175
222,1,Dask,3075.78897476
223,1,Dask,3118.45588684
224,1,Dask,2983.2379818
225,1,Dask,2995.66197395
226,1,Dask,3029.13498878
227,1,Dask,3042.37318039
228,1,Dask,3041.93687439
229,1,Dask,3013.37814331
230,1,Dask,3037.71018982
231,1,Dask,3089.49112892
232,1,Dask,3036.57007217
233,1,Dask,3031.68010712
234,1,Dask,2986.95707321
235,1,Dask,3052.86288261
236,1,Dask,3044.46792603
237,1,Dask,3055.58300018
238,1,Dask,3121.45996094
239,1,Dask,3066.9901371
240,2,Dask,2967.41390228
241,2,Dask,2970.81613541
242,2,Dask,2980.44109344
243,2,Dask,2983.91580582
244,2,Dask,2999.96900558
245,2,Dask,3035.36915779
246,2,Dask,3060.19711494
247,2,Dask,3088.37008476
248,2,Dask,3103.57189178
249,2,Dask,3119.29106712
250,2,Dask,3337.46194839
251,2,Dask,3410.26210785
252,2,Dask,2954.86187935
253,2,Dask,2961.06600761
254,2,Dask,2960.91485023
255,2,Dask,2961.93313599
256,2,Dask,2996.23394012
257,2,Dask,2976.4649868
258,2,Dask,3022.31907845
259,2,Dask,3086.80796623
260,2,Dask,3072.55911827
261,2,Dask,3120.43404579
262,2,Dask,3329.81801033
263,2,Dask,3462.56089211
264,2,Dask,2990.59486389
265,2,Dask,2970.70384026
266,2,Dask,2967.82803535
267,2,Dask,2981.22596741
268,2,Dask,3057.49487877
269,2,Dask,3034.82985497
270,2,Dask,3277.29105949
271,2,Dask,3085.26396751
272,2,Dask,3139.0171051
273,2,Dask,3095.16310692
274,2,Dask,3179.29410934
275,2,Dask,3401.68595314
276,2,Dask,2967.97609329
277,2,Dask,2972.44000435
278,2,Dask,2975.40211678
279,2,Dask,3036.06891632
280,2,Dask,3019.17815208
281,2,Dask,2978.72185707
282,2,Dask,3093.04618835
283,2,Dask,3083.16802979
284,2,Dask,3113.54589462
285,2,Dask,3097.40304947
286,2,Dask,3097.09596634
287,2,Dask,3372.69878387
288,2,Dask,2959.78593826
289,2,Dask,2986.07110977
290,2,Dask,3009.46378708
291,2,Dask,3009.56487656
292,2,Dask,3017.99082756
293,2,Dask,3096.18401527
294,2,Dask,3109.16495323
295,2,Dask,3128.76796722
296,2,Dask,3150.68697929
297,2,Dask,3155.45105934
298,2,Dask,3307.60717392
299,2,Dask,3433.14504623
300,2,Dask,2933.70318413
301,2,Dask,2927.16813087
302,2,Dask,2961.50708199
303,2,Dask,3011.50107384
304,2,Dask,3016.7620182
305,2,Dask,3047.28984833
306,2,Dask,3070.76406479
307,2,Dask,3094.73490715
308,2,Dask,3085.09516716
309,2,Dask,3143.57304573
310,2,Dask,3291.70107841
311,2,Dask,3386.04998589
312,2,Dask,2944.6117878
313,2,Dask,2983.95299911
314,2,Dask,2982.18798637
315,2,Dask,3031.76188469
316,2,Dask,3034.67798233
317,2,Dask,3088.66000175
318,2,Dask,3125.2989769
319,2,Dask,3126.77907944
320,2,Dask,3190.8121109
321,2,Dask,3160.353899
322,2,Dask,3071.24900818
323,2,Dask,3310.87589264
324,2,Dask,2950.45399666
