,Duration,Framework,Nodes
289,6178,Spark,2
290,6179,Spark,2
291,6181,Spark,2
292,6185,Spark,2
293,6185,Spark,2
294,6188,Spark,2
295,6193,Spark,2
296,6195,Spark,2
297,6196,Spark,2
298,6200,Spark,2
299,6202,Spark,2
300,6204,Spark,2
301,6207,Spark,2
302,6208,Spark,2
303,6211,Spark,2
304,6213,Spark,2
305,6214,Spark,2
306,6215,Spark,2
307,6217,Spark,2
308,6220,Spark,2
309,6222,Spark,2
310,6240,Spark,2
311,6310,Spark,2
312,6318,Spark,2
313,6321,Spark,2
314,6329,Spark,2
315,6391,Spark,2
316,6396,Spark,2
317,6399,Spark,2
318,6411,Spark,2
319,6428,Spark,2
320,6434,Spark,2
321,6447,Spark,2
322,6448,Spark,2
323,6456,Spark,2
324,6460,Spark,2
325,6461,Spark,2
326,6462,Spark,2
327,6467,Spark,2
328,6470,Spark,2
329,6513,Spark,2
330,6519,Spark,2
331,6526,Spark,2
332,6528,Spark,2
333,6570,Spark,2
334,6778,Spark,2
335,6851,Spark,2
336,5904,Spark,2
337,5908,Spark,2
338,5910,Spark,2
339,5912,Spark,2
340,5914,Spark,2
341,5939,Spark,2
342,5957,Spark,2
343,5978,Spark,2
344,5982,Spark,2
345,5983,Spark,2
346,5983,Spark,2
347,5984,Spark,2
348,5990,Spark,2
349,5994,Spark,2
350,5993,Spark,2
351,6004,Spark,2
352,6021,Spark,2
353,6031,Spark,2
354,6049,Spark,2
355,6064,Spark,2
356,6067,Spark,2
357,6073,Spark,2
358,6089,Spark,2
359,6379,Spark,2
360,6384,Spark,2
361,6390,Spark,2
362,6401,Spark,2
363,6406,Spark,2
364,6408,Spark,2
365,6421,Spark,2
366,6425,Spark,2
367,6435,Spark,2
368,6436,Spark,2
369,6439,Spark,2
370,6442,Spark,2
371,6446,Spark,2
372,6451,Spark,2
373,6452,Spark,2
374,6454,Spark,2
375,6456,Spark,2
376,6457,Spark,2
377,6462,Spark,2
378,6464,Spark,2
379,6480,Spark,2
380,6467,Spark,2
381,6471,Spark,2
382,6487,Spark,2
383,6881,Spark,2
384,5934,Spark,2
385,5936,Spark,2
386,5946,Spark,2
387,5949,Spark,2
388,5951,Spark,2
389,5955,Spark,2
390,5957,Spark,2
391,6005,Spark,2
392,6010,Spark,2
393,6013,Spark,2
394,6015,Spark,2
395,6017,Spark,2
396,6028,Spark,2
397,6043,Spark,2
398,6045,Spark,2
399,6055,Spark,2
400,6062,Spark,2
401,6064,Spark,2
402,6103,Spark,2
403,6106,Spark,2
404,6109,Spark,2
405,6111,Spark,2
406,6150,Spark,2
407,6296,Spark,2
408,6298,Spark,2
409,6300,Spark,2
410,6309,Spark,2
