Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
490000,495000,120,5000,37273.0,10638.3134665
495000,500000,121,5000,37575.0,10627.4960081
500000,505000,122,5000,37876.0,10653.3907205
505000,510000,123,5000,38184.0,10647.019092
510000,515000,124,5000,38491.0,10660.9506816
515000,520000,125,5000,38814.0,10691.7702264
520000,525000,126,5000,39137.0,10709.7432368
525000,530000,127,5000,39437.0,10699.9620511
530000,535000,128,5000,39737.0,10724.2957632
535000,540000,129,5000,40057.0,10740.4409326
540000,545000,130,5000,40376.0,10756.6011793
545000,550000,131,5000,40685.0,10747.6319906
550000,555000,132,5000,40995.0,10739.3113557
555000,560000,133,5000,41310.0,10729.7840156
560000,565000,134,5000,41625.0,10744.3728602
565000,570000,135,5000,41938.0,10758.2578099
570000,575000,136,5000,42252.0,10782.747469
575000,580000,137,5000,42562.0,10810.3878551
580000,585000,138,5000,42872.0,10822.8956482
585000,590000,139,5000,43170.0,10812.1539318
590000,595000,140,5000,43468.0,10833.8054718
595000,600000,141,5000,43780.0,10847.5376453
600000,605000,142,5000,44092.0,10842.6060966
605000,610000,143,5000,44395.0,10864.3201954
610000,615000,144,5000,44697.0,10875.2540473
615000,620000,145,5000,45021.0,10890.5080377
620000,625000,146,5000,45345.0,10887.3955289
625000,630000,147,5000,45664.0,10860.2050732
630000,635000,148,5000,45983.0,10844.5995519
635000,640000,149,5000,46293.0,10866.0877412
640000,645000,150,5000,46603.0,10876.3692235
645000,650000,151,5000,46909.0,10901.1071965
650000,655000,152,5000,47215.0,10921.4775695
655000,660000,153,5000,47526.0,10932.6024641
660000,665000,154,5000,47836.0,10923.3445804
665000,670000,155,5000,48139.0,10913.5121372
670000,675000,156,5000,48441.0,10924.4725982
675000,680000,157,5000,48756.0,10937.4251158
680000,685000,158,5000,49071.0,10960.7883629
685000,690000,159,5000,49375.0,10950.8049216
690000,695000,160,5000,49679.0,10901.0562536
695000,700000,161,5000,49994.0,10763.1378207
700000,705000,162,5000,50308.0,10718.452451
705000,710000,163,5000,50616.0,10602.332029
710000,715000,164,5000,50924.0,10558.8471106
715000,720000,165,5000,51244.0,10520.7252332
720000,725000,166,5000,51563.0,10483.0824561
725000,730000,167,5000,51862.0,10502.3710687
730000,735000,168,5000,52161.0,10513.7258537
735000,740000,169,5000,52474.0,10408.0595531
740000,745000,170,5000,52788.0,10302.9704935
745000,750000,171,5000,53097.0,10322.0930925
750000,755000,172,5000,53407.0,10317.9463032
755000,760000,173,5000,53707.0,10329.2703142
760000,765000,174,5000,54007.0,10340.2994595
765000,770000,175,5000,54317.0,10360.0407708
770000,775000,176,5000,54627.0,10355.4622498
775000,780000,177,5000,54940.0,10366.8534738
780000,785000,178,5000,55252.0,10378.7904771
785000,790000,179,5000,55567.0,10391.502562
790000,795000,180,5000,55882.0,10386.7649223
795000,800000,181,5000,56193.0,10405.8490495
800000,805000,182,5000,56504.0,10417.3967556
805000,810000,183,5000,56811.0,10412.4225356
810000,815000,184,5000,57118.0,10422.7681999
815000,820000,185,5000,57430.0,10418.0954406
820000,825000,186,5000,57741.0,10428.6566884
825000,830000,187,5000,58042.0,10438.773201
830000,835000,188,5000,58343.0,10448.5369862
835000,840000,189,5000,58667.0,10461.1784507
840000,845000,190,5000,58991.0,10473.5981199
845000,850000,191,5000,59302.0,10483.929352
850000,855000,192,5000,59613.0,10479.3208421
855000,860000,193,5000,59929.0,10477.0100734
860000,865000,194,5000,60245.0,10489.7804005
865000,870000,195,5000,60542.0,10483.895421
870000,875000,196,5000,60839.0,10492.6305957
875000,880000,197,5000,61153.0,10504.5203419
880000,885000,198,5000,61466.0,10515.7970691
885000,890000,199,5000,61778.0,10513.7095373
890000,895000,200,5000,62090.0,10523.3437944
895000,900000,201,5000,62404.0,10534.4029483
900000,905000,202,5000,62718.0,10530.7488204
905000,910000,203,5000,63025.0,10547.1093681
910000,915000,204,5000,63333.0,10556.0016716
915000,920000,205,5000,63647.0,10551.3451302
920000,925000,206,5000,63961.0,10547.2409113
925000,930000,207,5000,64274.0,10558.0399631
930000,935000,208,5000,64586.0,10576.0583422
935000,940000,209,5000,64895.0,10591.8910915
940000,945000,210,5000,65204.0,10607.785569
945000,950000,211,5000,65516.0,10603.1973373
950000,955000,212,5000,65828.0,10611.9714157
955000,960000,213,5000,66142.0,10628.2601877
960000,965000,214,5000,66455.0,10637.0159498
965000,970000,215,5000,66773.0,10647.4364584
970000,975000,216,5000,67091.0,10657.8033576
975000,980000,217,5000,67392.0,10665.2892836
980000,985000,218,5000,67692.0,10647.260038
985000,990000,219,5000,68005.0,10661.9570517
990000,995000,220,5000,68318.0,10657.1664787
995000,1000000,221,5000,68623.0,10651.08794
0,5000,222,5000,68928.0,8477.09331881
5000,10000,223,5000,69234.0,8430.97574154
10000,15000,224,5000,69540.0,8386.01525729
15000,20000,225,5000,69847.0,8401.01557606
20000,25000,226,5000,70153.0,8413.43851526
25000,30000,227,5000,70459.0,8430.2984876
30000,35000,228,5000,70765.0,8442.47184126
35000,40000,229,5000,71072.0,8446.47787756
40000,45000,230,5000,71378.0,8458.30768804
45000,50000,231,5000,71684.0,8469.75215784
50000,55000,232,5000,71990.0,8487.10605899
55000,60000,233,5000,72297.0,8490.98582096
60000,65000,234,5000,72603.0,8478.73014088
65000,70000,235,5000,72909.0,8466.8154596
70000,75000,236,5000,73215.0,8455.03921365
75000,80000,237,5000,73522.0,8461.11358187
80000,85000,238,5000,73828.0,8472.76643696
85000,90000,239,5000,74134.0,8484.3606258
90000,95000,240,5000,74440.0,8495.86059326
95000,100000,241,5000,74746.0,8507.72941515
100000,105000,242,5000,75053.0,8519.59058973
105000,110000,243,5000,75360.0,8523.26909181
110000,115000,244,5000,75667.0,8527.2457549
115000,120000,245,5000,75973.0,8538.29731109
120000,125000,246,5000,76280.0,8549.74171372
125000,130000,247,5000,76588.0,8561.29582471
130000,135000,248,5000,76895.0,8572.52412204
135000,140000,249,5000,77202.0,8583.83606701
140000,145000,250,5000,77509.0,8598.81746365
