Image_Dimensions,Image_size(MB),TTC
400,1,0.397303,wrangler
600,2,0.855674,wrangler
800,4,1.615556,wrangler
1050,8,2.870214,wrangler
1450,16,6.102539,wrangler
2050,32,15.642777,wrangler
2900,64,31.099316,wrangler
4100,128,61.889430,wrangler
5800,256,124.178711,wrangler
