BatchTime, SubmissionTime, SchedulingDelay, ProcessingDelay, TotalDelay, NumberRecords, Scenario
1531361940000 ms, 2018-07-11T21:19:00, 5, 42838, 42843, 16,light-sirt-1-1-1-8
1531362000000 ms, 2018-07-11T21:20:00, 0, 21244, 21244, 8,light-sirt-1-1-1-8
1531362060000 ms, 2018-07-11T21:21:00, 1, 39077, 39078, 16,light-sirt-1-1-1-8
1531362120000 ms, 2018-07-11T21:22:00, 5, 42583, 42588, 16,light-sirt-1-1-1-16
1531362180000 ms, 2018-07-11T21:23:00, 0, 40720, 40720, 16,light-sirt-1-1-1-16
1531362240000 ms, 2018-07-11T21:24:00, 1, 80850, 80851, 32,light-sirt-1-1-1-16
1531362360000 ms, 2018-07-11T21:26:00, 4, 62252, 62256, 24,light-sirt-1-1-1-24
1531362420000 ms, 2018-07-11T21:27:00, 2309, 120625, 122934, 48,light-sirt-1-1-1-24
1531363320000 ms, 2018-07-11T21:42:00, 5, 9784, 9789, 8,light-gridrec-1-1-1-8
1531363380000 ms, 2018-07-11T21:43:00, 0, 8476, 8476, 8,light-gridrec-1-1-1-8
1531363440000 ms, 2018-07-11T21:44:00, 0, 7176, 7176, 8,light-gridrec-1-1-1-8
1531363500000 ms, 2018-07-11T21:45:00, 1, 14817, 14818, 16,light-gridrec-1-1-1-8
1531363560000 ms, 2018-07-11T21:46:00, 4, 17017, 17021, 16,light-gridrec-1-1-1-16
1531363620000 ms, 2018-07-11T21:47:00, 1, 15451, 15452, 16,light-gridrec-1-1-1-16
1531363680000 ms, 2018-07-11T21:48:00, 1, 15503, 15504, 16,light-gridrec-1-1-1-16
1531363740000 ms, 2018-07-11T21:49:00, 1, 29634, 29635, 32,light-gridrec-1-1-1-16
1531363800000 ms, 2018-07-11T21:50:00, 5, 23508, 23513, 24,light-gridrec-1-1-1-24
1531363860000 ms, 2018-07-11T21:51:00, 1, 22635, 22636, 24,light-gridrec-1-1-1-24
1531363920000 ms, 2018-07-11T21:52:00, 1, 22157, 22158, 24,light-gridrec-1-1-1-24
1531363980000 ms, 2018-07-11T21:53:00, 1, 42868, 42869, 48,light-gridrec-1-1-1-24
