CU,Name,New,StageIn,Allocate,Exec,StageOut,Done,Read,Exec,Write
unit.000000,Mapper-0-1,N/A,11.7550969124,11.7680978775,29.9932048321,378.491508961,379.458384991,
unit.000001,Mapper-0-2,N/A,11.720802784,11.7370288372,30.4267449379,404.610298872,406.377283812,
unit.000002,Mapper-0-3,N/A,11.6969029903,11.7153367996,29.4547448158,379.282554865,379.614839792,
unit.000003,Mapper-0-4,N/A,11.6371619701,11.6527488232,29.4484648705,389.072427988,390.95220089,
unit.000004,Mapper-0-5,N/A,11.7655467987,11.776006937,46.5879769325,389.150120974,390.996021986,
unit.000005,Mapper-0-6,N/A,11.6064999104,11.6213259697,29.563380003,378.429090977,379.42481184,
unit.000006,Mapper-0-7,N/A,11.7447838783,11.7576868534,45.4656078815,421.335600853,422.32758379,
unit.000007,Mapper-0-8,N/A,11.6474750042,11.6630690098,29.3768508434,389.092614889,390.981123924,
unit.000008,Mapper-0-9,N/A,11.6889898777,11.7048540115,29.4515089989,373.885710001,375.150314808,
unit.000009,Mapper-0-10,N/A,11.6785769463,11.6994979382,29.3853778839,378.452244997,379.424228907,
unit.000010,Mapper-0-11,N/A,11.7099049091,11.7266600132,30.7237420082,378.64404583,379.55506587,
unit.000011,Mapper-0-12,N/A,11.6681358814,11.6864898205,29.3826239109,379.225595951,379.59325099,
unit.000012,Mapper-0-13,N/A,11.6264588833,11.642416954,29.3241548538,378.546484947,379.461797953,
unit.000013,Mapper-0-14,N/A,11.6577877998,11.6734068394,29.3799118996,378.595990896,379.533947945,
unit.000014,Mapper-0-15,N/A,11.6186299324,11.632049799,29.5664207935,374.339207888,375.17945981,
unit.000015,Mapper-0-16,N/A,11.7344748974,11.7473649979,29.4576728344,394.788765907,396.122699976,
unit.000016,Reducer-0,N/A,428.440163851,428.557189941,432.628466845,440.399860859,443.088295937,
unit.000017,Mapper-1-1,N/A,449.993795872,450.007344961,459.396787882,825.084757805,826.399833918,
unit.000018,Mapper-1-2,N/A,449.550728798,449.562829971,458.40046382,802.123656988,803.4699049,
unit.000019,Mapper-1-3,N/A,447.615444899,447.670332909,451.299527884,808.049871922,809.639199018,
unit.000020,Mapper-1-4,N/A,453.711893797,453.732656002,479.517132998,832.201914787,833.710044861,
unit.000021,Mapper-1-5,N/A,452.968528986,452.98158884,473.554167986,825.138260841,826.400729895,
unit.000022,Mapper-1-6,N/A,450.885346889,450.899869919,464.400191784,815.158787966,819.080061913,
unit.000023,Mapper-1-7,N/A,452.67175293,452.685292959,473.238845825,833.857546806,834.731480837,
unit.000024,Mapper-1-8,N/A,453.565194845,453.582129002,475.421355963,805.084403992,805.536211967,
unit.000025,Mapper-1-9,N/A,451.778275967,451.839487791,466.447798014,797.059240818,798.341121912,
unit.000026,Mapper-1-10,N/A,454.358704805,454.374269009,480.532426834,815.166353941,819.079530954,
unit.000027,Mapper-1-11,N/A,448.507658958,448.522143841,452.350396872,818.01599288,819.129967928,
unit.000028,Mapper-1-12,N/A,450.290241003,450.308539867,464.067458868,796.727518797,798.301261902,
unit.000029,Mapper-1-13,N/A,448.807846785,448.821626902,453.417230844,809.14763999,810.691375017,
unit.000030,Mapper-1-14,N/A,452.077288866,452.08787179,471.441748857,804.079928875,804.508078814,
unit.000031,Mapper-1-15,N/A,451.184426785,451.199569941,465.375411987,822.177527905,823.246524811,
unit.000032,Mapper-1-16,N/A,449.254196882,449.264856815,457.394900799,799.014527798,800.423378944,
unit.000033,Reducer-1,N/A,841.323264837,841.536670923,845.301765919,851.671665907,854.519306898,
