#HOST     VIRT_MAX  RES_MAX  FREE_MIN
c486-703 2.2520 0.1881 19.1092
c486-704 0.6937 0.1208 19.1817
c495-001 0.6937 0.1196 19.1768
c495-002 0.6937 0.1196 19.2023
c495-003 0.6937 0.1196 19.1830
c495-004 0.6937 0.1194 19.1844
c495-101 0.6937 0.1196 19.1795
c495-102 0.6937 0.1196 19.1874
c495-103 0.6937 0.1196 19.1946
c495-104 0.6937 0.1209 19.1853
c495-201 0.6937 0.1196 19.1708
c495-202 0.6937 0.1208 19.1758
c495-203 0.6937 0.1209 19.1745
c495-204 0.6937 0.1208 19.1831
c495-301 0.6937 0.1209 19.1815
c495-302 0.6937 0.1196 19.2323
