TIMESTAMP        scratch-RQ       scratch-RD       scratch-WR       
1481663032 39336849 47213040789 35417795197
1481663033 39336868 47238206613 35417795197
1481663034 39336869 47334308549 35417795197
1481663035 39336869 47334308549 35417795197
1481663036 39336869 47334308549 35417795197
1481663037 39336871 47334308549 35417795197
1481663039 39336871 47334308549 35417795197
1481663040 39336871 47334308549 35417795197
1481663041 39336871 47334308549 35417795197
1481663042 39336871 47334308549 35417795197
1481663043 39336871 47334308549 35417795197
1481663044 39336875 47334308549 35417795197
1481663045 39336875 47334308549 35417795197
1481663046 39336875 47334308549 35417795197
1481663048 39336877 47334308549 35417795197
1481663049 39336877 47334308549 35417795197
1481663050 39336877 47334308549 35417795197
1481663051 39336877 47334308549 35417795197
1481663052 39336877 47334308549 35417795197
1481663053 39336877 47334308549 35417795197
1481663054 39336877 47334308549 35417795197
1481663055 39336877 47334308549 35417795197
1481663057 39336879 47334308549 35417795197
1481663058 39336879 47334308549 35417795197
1481663059 39336879 47334308549 35417795197
1481663060 39336879 47334308549 35417795197
1481663061 39336879 47334308549 35417795197
1481663062 39336879 47334308549 35417795197
1481663063 39336879 47334308549 35417795197
1481663065 39336879 47334308549 35417795197
1481663066 39336879 47334308549 35417795197
1481663067 39336879 47334308549 35417795197
1481663068 39336879 47334308549 35417795197
1481663069 39336879 47334308549 35417795197
1481663070 39336879 47334308549 35417795197
1481663071 39336879 47334308549 35417795197
1481663072 39336879 47334308549 35417795197
1481663074 39336879 47334308549 35417795197
1481663075 39336879 47334308549 35417795197
1481663076 39336879 47334308549 35417795197
1481663077 39336879 47334308549 35417795197
1481663078 39336879 47334308549 35417795197
1481663079 39336879 47334308549 35417795197
1481663080 39336879 47334308549 35417795197
1481663082 39336879 47334308549 35417795197
1481663083 39336879 47334308549 35417795197
1481663084 39336879 47334308549 35417795197
1481663085 39336879 47334308549 35417795197
1481663086 39336879 47334308549 35417795197
1481663087 39336879 47334308549 35417795197
1481663088 39336879 47334308549 35417795197
1481663090 39336879 47334308549 35417795197
1481663091 39336879 47334308549 35417795197
1481663092 39336879 47334308549 35417795197
1481663093 39336879 47334308549 35417795197
1481663094 39336879 47334308549 35417795197
1481663095 39336879 47334308549 35417795197
1481663096 39336879 47334308549 35417795197
1481663098 39336879 47334308549 35417795197
1481663099 39336879 47334308549 35417795197
1481663100 39336879 47334308549 35417795197
1481663101 39336879 47334308549 35417795197
1481663102 39336879 47334308549 35417795197
1481663103 39336879 47334308549 35417795197
1481663104 39336879 47334308549 35417795197
1481663106 39336880 47334308549 35417795197
1481663107 39336882 47334308549 35417795197
1481663108 39336882 47334308549 35417795197
1481663109 39336882 47334308549 35417795197
1481663110 39336882 47334308549 35417795197
1481663111 39336882 47334308549 35417795197
1481663112 39336882 47334308549 35417795197
1481663113 39336882 47334308549 35417795197
1481663115 39336882 47334308549 35417795197
1481663116 39336882 47334308549 35417795197
1481663117 39336884 47334308549 35417795197
1481663118 39336884 47334308549 35417795197
1481663119 39336884 47334308549 35417795197
1481663120 39336884 47334308549 35417795197
1481663121 39336884 47334308549 35417795197
1481663123 39336884 47334308549 35417795197
1481663124 39336884 47334308549 35417795197
1481663125 39336886 47334308549 35417795197
1481663126 39336888 47334308549 35417795197
1481663127 39336888 47334308549 35417795197
1481663128 39336888 47334308549 35417795197
1481663129 39336888 47334308549 35417795197
1481663131 39336888 47334308549 35417795197
1481663132 39336888 47334308549 35417795197
1481663133 39336888 47334308549 35417795197
1481663134 39336888 47334308549 35417795197
1481663135 39336888 47334308549 35417795197
1481663136 39336890 47334308549 35417795197
1481663137 39336890 47334308549 35417795197
1481663138 39336890 47334308549 35417795197
1481663140 39336892 47334308549 35417795197
1481663141 39336892 47334308549 35417795197
1481663142 39336892 47334308549 35417795197
1481663143 39336892 47334308549 35417795197
1481663144 39336892 47334308549 35417795197
1481663145 39336900 47334308549 35417795197
1481663146 39336904 47334308549 35417795197
1481663148 39336904 47334308549 35417795197
1481663149 39336904 47334308549 35417795197
1481663150 39336904 47334308549 35417795197
1481663151 39336904 47334308549 35417795197
1481663152 39336904 47334308549 35417795197
1481663153 39336904 47334308549 35417795197
1481663154 39336904 47334308549 35417795197
1481663156 39336904 47334308549 35417795197
1481663157 39336904 47334308549 35417795197
1481663158 39336904 47334308549 35417795197
1481663159 39336904 47334308549 35417795197
1481663160 39336904 47334308549 35417795197
1481663161 39336904 47334308549 35417795197
1481663162 39336904 47334308549 35417795197
1481663164 39336906 47334308549 35417795197
1481663165 39336906 47334308549 35417795197
1481663166 39336906 47334308549 35417795197
1481663167 39336906 47334308549 35417795197
1481663168 39336906 47334308549 35417795197
1481663169 39336906 47334308549 35417795197
1481663170 39336906 47334308549 35417795197
1481663171 39336906 47334308549 35417795197
1481663173 39336906 47334308549 35417795197
1481663174 39336908 47334308549 35417795197
1481663175 39336908 47334308549 35417795197
1481663176 39336910 47334308549 35417795197
1481663177 39336910 47334308549 35417795197
1481663178 39336910 47334308549 35417795197
1481663179 39336910 47334308549 35417795197
1481663181 39336910 47334308549 35417795197
1481663182 39336910 47334308549 35417795197
1481663183 39336910 47334308549 35417795197
1481663184 39336910 47334308549 35417795197
1481663185 39336910 47334308549 35417795197
1481663186 39336910 47334308549 35417795197
1481663187 39336910 47334308549 35417795197
1481663189 39336912 47334308549 35417795197
1481663191 39336912 47334308549 35417795197
