CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000956,N/A,1883.747,N/A,1959.045,2022.12,2025.408
unit.000957,N/A,1907.211,N/A,1983.498,2044.481,2049.998
unit.000958,N/A,1853.722,N/A,1907.492,1969.808,1971.384
unit.000959,N/A,1893.421,N/A,1971.349,2032.768,2036.257
unit.000960,N/A,1879.804,N/A,1955.872,2019.005,2023.153
unit.000961,N/A,1865.57,N/A,1938.071,1999.163,2000.743
unit.000962,N/A,1863.762,N/A,1933.766,1993.896,1996.142
unit.000963,N/A,1860.702,N/A,1927.329,1989.506,1991.775
unit.000964,N/A,1852.951,N/A,1905.317,1966.518,1969.039
unit.000965,N/A,1875.591,N/A,1950.779,2010.671,2011.967
unit.000966,N/A,1883.757,N/A,1960.215,2022.104,2024.179
unit.000967,N/A,1909.402,N/A,1985.446,2047.48,2051.017
unit.000968,N/A,1909.413,N/A,1986.417,2047.711,2051.95
unit.000969,N/A,1858.901,N/A,1923.025,1984.908,1985.839
unit.000970,N/A,1895.772,N/A,1973.709,2034.998,2038.654
unit.000971,N/A,1881.637,N/A,1958.044,2017.795,2022.117
unit.000972,N/A,1903.267,N/A,1979.193,2039.395,2043.083
unit.000973,N/A,1898.509,N/A,1975.859,2037.591,2040.817
unit.000974,N/A,1887.835,N/A,1964.495,2026.617,2030.522
unit.000975,N/A,1889.637,N/A,1966.863,2028.376,2031.534
unit.000976,N/A,1864.799,N/A,1935.741,1997.158,1998.407
unit.000977,N/A,1869.114,N/A,1944.362,2006.174,2007.453
unit.000978,N/A,1915.699,N/A,1989.734,2051.019,2055.544
unit.000979,N/A,1867.607,N/A,1942.393,2004.043,2006.171
unit.000980,N/A,1905.073,N/A,1981.137,2042.382,2045.301
unit.000981,N/A,1939.823,N/A,2010.665,2071.428,2076.189
unit.000982,N/A,1823.548,N/A,1849.22,1909.914,1913.71
unit.000983,N/A,1905.091,N/A,1982.312,2043.35,2047.475
unit.000984,N/A,1933.465,N/A,2005.384,2065.986,2071.616
unit.000985,N/A,1817.709,N/A,1835.332,1895.483,1896.937
unit.000986,N/A,1879.797,N/A,1954.895,2015.098,2019.014
unit.000987,N/A,1819.637,N/A,1839.634,1900.27,1902.352
unit.000988,N/A,1805.887,N/A,1811.827,1872.702,1873.774
unit.000989,N/A,1931.267,N/A,2003.199,2064.028,2069.368
unit.000990,N/A,1931.259,N/A,2002.029,2063.756,2068.068
unit.000991,N/A,1898.486,N/A,1974.676,2035.067,2039.893
unit.000992,N/A,1933.446,N/A,2004.383,2065.801,2070.589
unit.000993,N/A,1895.75,N/A,1972.529,2034.004,2037.284
unit.000994,N/A,1939.833,N/A,2011.638,2074.143,2080.13
unit.000995,N/A,1805.654,N/A,1809.846,1869.648,1871.747
unit.000996,N/A,1811.888,N/A,1823.394,1885.277,1886.583
unit.000997,N/A,1815.622,N/A,1831.211,1893.39,1894.895
unit.000998,N/A,1813.434,N/A,1825.35,1885.667,1887.598
unit.000999,N/A,1859.766,N/A,1925.183,1986.956,1988.088
unit.001000,N/A,1849.946,N/A,1898.795,1959.618,1961.677
unit.001001,N/A,1838.328,N/A,1877.929,1937.984,1939.231
unit.001002,N/A,1846.986,N/A,1891.923,1953.909,1955.045
unit.001003,N/A,1871.205,N/A,1946.503,2006.295,2008.652
unit.001004,N/A,1831.737,N/A,1865.037,1925.413,1926.457
unit.001005,N/A,1825.095,N/A,1851.369,1911.951,1914.743
unit.001006,N/A,1875.601,N/A,1951.969,2012.894,2016.449
unit.001007,N/A,1851.714,N/A,1903.568,1963.941,1965.431
unit.001008,N/A,1937.744,N/A,2008.506,2066.947,2073.109
unit.001009,N/A,1819.27,N/A,1837.885,1896.561,1897.961
unit.001010,N/A,1845.853,N/A,1889.944,1950.909,1951.855
unit.001011,N/A,1835.947,N/A,1873.822,1933.948,1935.94
unit.001012,N/A,1924.896,N/A,1995.38,2055.534,2060.239
unit.001013,N/A,1827.515,N/A,1857.028,1917.92,1921.328
unit.001014,N/A,1942.072,N/A,2012.816,2073.402,2078.84
unit.001015,N/A,1881.628,N/A,1957.083,2017.788,2021.103
unit.001016,N/A,1889.628,N/A,1965.698,2025.407,2028.371
unit.001017,N/A,1823.192,N/A,1847.256,1905.647,1907.723
unit.001018,N/A,1813.637,N/A,1827.299,1887.601,1888.57
unit.001019,N/A,1877.636,N/A,1952.948,2012.918,2017.791
unit.001020,N/A,1861.81,N/A,1929.491,1989.225,1990.563
unit.001021,N/A,1840.831,N/A,1881.874,1943.321,1945.313
unit.001022,N/A,1935.521,N/A,2007.535,2068.077,2074.135
unit.001023,N/A,1907.219,N/A,1984.466,2044.38,2048.805
unit.001024,N/A,2210.026,N/A,2279.685,2344.021,2351.173
unit.001025,N/A,2201.211,N/A,2270.834,2334.116,2339.638
unit.001026,N/A,2182.53,N/A,N/A,N/A,N/A
unit.001027,N/A,2205.262,N/A,2273.975,2335.398,2341.741
unit.001028,N/A,2156.983,N/A,2237.937,2300.63,2303.618
unit.001029,N/A,2092.677,N/A,2100.759,2161.762,2163.12
unit.001030,N/A,2107.244,N/A,2131.439,2195.43,2201.958
unit.001031,N/A,2196.862,N/A,2265.547,2329.752,2335.392
unit.001032,N/A,2169.092,N/A,2249.182,2313.912,2320.576
unit.001033,N/A,2168.036,N/A,2248.199,2310.659,2315.105
