,Nodes,Run,ID,Measurement,Duration
0,2,1,0,Compute,12.4437520504
1,2,1,0,IO,136.991132975
2,2,1,1,Compute,0.000141859054565
3,2,1,1,IO,136.685001135
4,2,1,2,Compute,0.000136137008667
5,2,1,2,IO,137.038856983
6,2,1,3,Compute,0.000131845474243
7,2,1,3,IO,137.250715017
8,2,1,4,Compute,0.00015115737915
9,2,1,4,IO,136.611468792
10,2,1,5,Compute,0.000149011611938
11,2,1,5,IO,136.716804981
12,2,1,6,Compute,0.000142097473145
13,2,1,6,IO,136.720052958
14,2,1,7,Compute,0.0001380443573
15,2,1,7,IO,136.881052017
16,2,1,8,Compute,0.0001380443573
17,2,1,8,IO,136.826580048
18,2,1,9,Compute,0.000133037567139
19,2,1,9,IO,137.040785074
20,2,1,10,Compute,0.00014591217041
21,2,1,10,IO,136.595503092
22,2,1,11,Compute,0.000138998031616
23,2,1,11,IO,136.85876894
24,2,1,12,Compute,0.000146865844727
25,2,1,12,IO,136.748596191
26,2,1,13,Compute,0.000138998031616
27,2,1,13,IO,136.257292986
28,2,1,14,Compute,0.0031418800354
29,2,1,14,IO,136.142143965
30,2,1,15,Compute,0.0001380443573
31,2,1,15,IO,136.729442835
32,2,1,16,Compute,0.000144004821777
33,2,1,16,IO,136.051172018
34,2,1,17,Compute,0.000142097473145
35,2,1,17,IO,136.51056385
36,2,1,18,Compute,0.000148057937622
37,2,1,18,IO,136.083817959
38,2,1,19,Compute,0.000141143798828
39,2,1,19,IO,136.601809978
40,2,1,20,Compute,0.000143051147461
41,2,1,20,IO,136.672424078
42,2,1,21,Compute,0.000143051147461
43,2,1,21,IO,136.606852055
44,2,1,22,Compute,0.00014591217041
45,2,1,22,IO,136.348106146
46,2,1,23,Compute,0.000147104263306
47,2,1,23,IO,136.408066988
48,2,1,24,Compute,0.000132083892822
49,2,1,24,IO,124.769725084
50,2,1,25,Compute,0.000128984451294
51,2,1,25,IO,124.805679083
52,2,1,26,Compute,0.000136137008667
53,2,1,26,IO,124.621874809
54,2,1,27,Compute,0.000131130218506
55,2,1,27,IO,124.598803997
56,2,1,28,Compute,0.000128984451294
57,2,1,28,IO,124.546353817
58,2,1,29,Compute,0.000123023986816
59,2,1,29,IO,124.795946121
60,2,1,30,Compute,0.000135183334351
61,2,1,30,IO,124.48898387
62,2,1,31,Compute,0.000136137008667
63,2,1,31,IO,124.722199917
64,2,1,32,Compute,0.000200033187866
65,2,1,32,IO,122.955558062
66,2,1,33,Compute,0.000130176544189
67,2,1,33,IO,124.783623934
68,2,1,34,Compute,0.000140905380249
69,2,1,34,IO,124.696522951
70,2,1,35,Compute,0.000136137008667
71,2,1,35,IO,124.744080067
72,2,1,36,Compute,0.0001380443573
73,2,1,36,IO,123.87055707
74,2,1,37,Compute,0.000136137008667
75,2,1,37,IO,123.891842842
76,2,1,38,Compute,0.000135898590088
77,2,1,38,IO,123.857823133
78,2,1,39,Compute,0.000136137008667
79,2,1,39,IO,123.840035915
80,2,1,40,Compute,0.000133037567139
81,2,1,40,IO,123.826848984
82,2,1,41,Compute,0.000136852264404
83,2,1,41,IO,123.825559139
84,2,1,42,Compute,0.000137090682983
85,2,1,42,IO,123.860285997
86,2,1,43,Compute,0.000131130218506
87,2,1,43,IO,112.906723022
88,2,1,44,Compute,0.000135898590088
89,2,1,44,IO,123.839563131
90,2,1,45,Compute,0.000141859054565
91,2,1,45,IO,123.815674067
92,2,1,46,Compute,0.00012993812561
93,2,1,46,IO,113.104201078
94,2,1,47,Compute,0.000134944915771
95,2,1,47,IO,123.822434902
96,2,2,0,Compute,12.1707048416
97,2,2,0,IO,93.9328501225
98,2,2,1,Compute,0.000131845474243
99,2,2,1,IO,93.8823759556
100,2,2,2,Compute,0.000123023986816
101,2,2,2,IO,93.9175069332
102,2,2,3,Compute,0.0001380443573
103,2,2,3,IO,93.8505511284
104,2,2,4,Compute,0.000128984451294
105,2,2,4,IO,93.8865699768
106,2,2,5,Compute,0.000127077102661
107,2,2,5,IO,93.8700671196
108,2,2,6,Compute,0.000130176544189
109,2,2,6,IO,93.87358284
110,2,2,7,Compute,0.00012993812561
111,2,2,7,IO,93.8407659531
112,2,2,8,Compute,0.000128984451294
113,2,2,8,IO,93.8836221695
114,2,2,9,Compute,0.000134944915771
115,2,2,9,IO,93.8780879974
116,2,2,10,Compute,0.000126123428345
117,2,2,10,IO,93.9031710625
118,2,2,11,Compute,0.000125885009766
119,2,2,11,IO,93.8554611206
120,2,2,12,Compute,0.000134944915771
121,2,2,12,IO,92.7146170139
122,2,2,13,Compute,0.00012993812561
123,2,2,13,IO,54.4941239357
124,2,2,14,Compute,0.000132083892822
125,2,2,14,IO,92.6999819279
126,2,2,15,Compute,0.000139951705933
127,2,2,15,IO,92.7378799915
128,2,2,16,Compute,0.000132083892822
129,2,2,16,IO,92.671298027
130,2,2,17,Compute,0.000133991241455
131,2,2,17,IO,92.7113831043
132,2,2,18,Compute,0.000123023986816
133,2,2,18,IO,92.6475279331
134,2,2,19,Compute,0.000125885009766
135,2,2,19,IO,92.6871161461
136,2,2,20,Compute,0.000131845474243
137,2,2,20,IO,92.7038450241
138,2,2,21,Compute,0.0001380443573
139,2,2,21,IO,92.7152378559
140,2,2,22,Compute,0.000128030776978
141,2,2,22,IO,92.7159030437
142,2,2,23,Compute,0.000133991241455
143,2,2,23,IO,92.6948950291
144,2,2,24,Compute,0.000128984451294
145,2,2,24,IO,118.295644999
146,2,2,25,Compute,0.000131130218506
147,2,2,25,IO,118.256397963
148,2,2,26,Compute,0.000128984451294
149,2,2,26,IO,118.249795198
150,2,2,27,Compute,0.000130891799927
151,2,2,27,IO,118.266695023
152,2,2,28,Compute,0.000133037567139
153,2,2,28,IO,118.246021986
154,2,2,29,Compute,0.000123023986816
155,2,2,29,IO,118.245008945
156,2,2,30,Compute,0.000119924545288
157,2,2,30,IO,118.308295965
158,2,2,31,Compute,0.0001220703125
159,2,2,31,IO,118.164755106
160,2,2,32,Compute,0.000124931335449
161,2,2,32,IO,118.275929213
162,2,2,33,Compute,0.00012993812561
163,2,2,33,IO,118.157593012
164,2,2,34,Compute,0.000132083892822
165,2,2,34,IO,118.231691837
166,2,2,35,Compute,0.00012993812561
167,2,2,35,IO,118.247805119
168,2,2,36,Compute,0.0001380443573
