CU,Name,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Euclidean_dist_1_1,218.072807789,218.07793498,218.100215912,220.058122873,220.286144972,
unit.000001,Euclidean_dist_1_8193,122.52126193,122.661258936,122.664085865,124.627367973,124.81072402,
unit.000002,Euclidean_dist_1_16385,123.549109936,123.554303885,123.55712986,125.93470788,126.922570944,
unit.000003,Euclidean_dist_1_24577,221.972015858,222.028903008,222.031888962,224.388757944,224.804661989,
unit.000004,Euclidean_dist_1_32769,128.138855934,128.143843889,128.146708012,130.165918827,131.376891851,
unit.000005,Euclidean_dist_1_40961,130.628131866,130.633914948,130.637149811,132.983155012,133.618927956,
unit.000006,Euclidean_dist_1_49153,133.184329987,133.190527916,133.19351387,135.300406933,135.840999842,
unit.000007,Euclidean_dist_1_57345,135.313702822,135.319297791,135.322178841,137.312914848,138.07417798,
unit.000008,Euclidean_dist_1_65537,137.006156921,137.011197805,137.014336824,139.032051802,139.330142021,
unit.000009,Euclidean_dist_1_73729,140.366040945,140.769156933,140.772329807,142.651897907,142.804606915,
unit.000010,Euclidean_dist_1_81921,143.71584487,143.72141695,143.724697828,145.668537855,146.276587009,
unit.000011,Euclidean_dist_1_90113,145.782435894,145.787997961,145.790874004,147.882688999,148.444602013,
unit.000012,Euclidean_dist_1_98305,148.173375845,148.178750992,148.181605816,150.099337816,150.737782955,
unit.000013,Euclidean_dist_1_106497,149.875123978,149.880525827,149.883771896,152.012902975,152.876664877,
unit.000014,Euclidean_dist_1_114689,152.002435923,152.007748842,152.011636972,155.532483816,155.209693909,
unit.000015,Euclidean_dist_1_122881,155.406898975,155.444679022,155.447526932,157.746604919,158.633699894,
unit.000016,Euclidean_dist_1_131073,157.286275864,157.292006016,157.295284986,159.256019831,159.824021816,
unit.000017,Euclidean_dist_1_139265,160.02252388,160.027930021,160.03074789,161.973331928,163.229865789,
unit.000018,Euclidean_dist_1_147457,162.580526829,162.58612299,162.588892937,164.593873978,165.552658796,
unit.000019,Euclidean_dist_1_155649,164.883067846,164.888763905,164.891917944,166.809534788,167.742133856,
unit.000020,Euclidean_dist_1_163841,166.839960814,166.845546961,166.848334789,168.823007822,169.009835005,
unit.000021,Euclidean_dist_1_172033,170.282611847,170.287726879,170.290576935,172.244012833,172.482861996,
unit.000022,Euclidean_dist_1_180225,172.052161932,172.057642937,172.060409784,173.956923962,174.759986877,
unit.000023,Euclidean_dist_1_188417,174.60805583,174.61361599,174.61638689,176.573567867,177.121594906,
unit.000024,Euclidean_dist_1_196609,177.536397934,177.541289806,177.563260794,179.497982979,180.400207996,
unit.000025,Euclidean_dist_1_204801,182.636533022,182.642213821,182.645040989,184.62597084,184.931831837,
unit.000026,Euclidean_dist_1_212993,179.116020918,179.120859861,179.144079924,181.109566927,182.573828936,
unit.000027,Euclidean_dist_1_221185,184.957640886,184.962739944,184.984237909,187.240286827,187.288272858,
unit.000028,Euclidean_dist_1_229377,187.50791502,187.513068914,187.515861988,189.455616951,189.621255875,
unit.000029,Euclidean_dist_1_237569,190.168608904,190.173943996,190.176968813,192.175593853,193.041204929,
unit.000030,Euclidean_dist_1_245761,191.931469917,191.983259916,191.985994816,193.985396862,195.175251007,
unit.000031,Euclidean_dist_1_253953,193.705945969,193.711495876,193.71425581,196.200083971,197.482151985,
unit.000032,Euclidean_dist_1_262145,196.263355017,196.269383907,196.272174835,198.316622019,199.653738976,
unit.000033,Euclidean_dist_1_270337,55.1141579151,55.1195828915,55.1227788925,57.1866397858,58.4321689606,
unit.000034,Euclidean_dist_1_278529,56.6526839733,56.6580159664,56.6608438492,58.6072528362,59.627355814,
unit.000035,Euclidean_dist_1_286721,57.6803159714,57.6854608059,57.6896128654,59.1020078659,59.7360699177,
unit.000036,Euclidean_dist_8193_1,59.3828849792,59.3883469105,59.3915259838,61.4191129208,62.0731978416,
unit.000037,Euclidean_dist_8193_8193,61.6794908047,61.6849689484,61.6877508163,63.633428812,65.4458978176,
unit.000038,Euclidean_dist_8193_16385,64.2228689194,64.228648901,64.2317178249,66.2537469864,67.6624219418,
unit.000039,Euclidean_dist_8193_24577,67.2128179073,67.4497039318,67.4525158405,69.4718008041,70.913659811,
unit.000040,Euclidean_dist_8193_32769,69.1721479893,69.1770780087,69.2004578114,71.1833779812,73.1204478741,
unit.000041,Euclidean_dist_8193_40961,70.9326379299,70.9372909069,70.9613769054,73.1996757984,74.266564846,
unit.000042,Euclidean_dist_8193_49153,74.0286238194,74.0334539413,74.0606729984,76.0166018009,77.5219519138,
unit.000043,Euclidean_dist_8193_57345,76.8947279453,76.8994369507,76.9650728703,79.0303609371,79.7465379238,
unit.000044,Euclidean_dist_8193_65537,9.44503092766,9.45046687126,27.2045679092,30.7074019909,34.7370038033,
unit.000045,Euclidean_dist_8193_73729,10.5776319504,10.582638979,36.9464738369,39.7247200012,40.8795349598,
unit.000046,Euclidean_dist_8193_81921,83.6703879833,83.6861209869,83.7099609375,85.6694288254,85.6532359123,
unit.000047,Euclidean_dist_8193_90113,86.2501678467,86.2548840046,86.2774808407,88.3927769661,88.9150218964,
unit.000048,Euclidean_dist_8193_98305,10.8389849663,10.8837180138,38.6876168251,40.8019208908,42.0644359589,
unit.000049,Euclidean_dist_8193_106497,92.1243889332,92.1295518875,92.1323699951,94.1241989136,94.4063239098,
unit.000050,Euclidean_dist_8193_114689,11.3637769222,11.6569449902,42.3733489513,44.7719190121,46.7561769485,
unit.000051,Euclidean_dist_8193_122881,94.6760659218,94.6814508438,94.7054288387,96.6461489201,97.8308808804,
unit.000052,Euclidean_dist_8193_131073,30.5576817989,30.5656158924,45.9378190041,48.8775010109,50.7015738487,
unit.000053,Euclidean_dist_8193_139265,46.3310129642,46.3605208397,48.3646337986,50.9399058819,52.6531119347,
unit.000054,Euclidean_dist_8193_147457,56.6580889225,56.6628768444,56.6854720116,58.621327877,59.6816418171,
unit.000055,Euclidean_dist_8193_155649,60.8348879814,60.8401789665,60.8430199623,62.8283557892,64.3075129986,
unit.000056,Euclidean_dist_8193_163841,125.261492968,125.266613007,125.269460917,127.245424986,128.063683987,
unit.000057,Euclidean_dist_8193_172033,197.941781998,197.947183847,197.950050831,200.027444839,200.791960955,
unit.000058,Euclidean_dist_8193_180225,108.705025911,108.709760904,108.712543964,110.630823851,111.563866854,
unit.000059,Euclidean_dist_8193_188417,121.065122843,121.070320845,121.07317996,123.321824789,123.724963903,
unit.000060,Euclidean_dist_8193_196609,112.533592939,112.539271832,112.542089939,114.558084011,114.919744968,
unit.000061,Euclidean_dist_8193_204801,149.450315952,149.470764875,149.474046946,151.408567905,152.862708807,
unit.000062,Euclidean_dist_8193_212993,116.533769846,116.572706938,116.575647831,118.483431816,119.275946856,
unit.000063,Euclidean_dist_8193_221185,24.7079639435,24.7157709599,45.5222508907,48.6571989059,49.3244988918,
unit.000064,Euclidean_dist_8193_229377,198.920569897,198.925870895,198.9285779,200.93334794,200.893795967,
unit.000065,Euclidean_dist_8193_237569,198.925870895,198.931596994,198.953593969,200.831686974,200.948794842,
unit.000066,Euclidean_dist_8193_245761,200.509858847,200.514644861,200.537377834,202.447896957,202.199923992,
unit.000067,Euclidean_dist_8193_253953,203.051242828,203.056740999,203.059595823,205.059846878,205.562146902,
unit.000068,Euclidean_dist_8193_262145,204.82603097,204.830914021,204.853888988,207.273538828,207.901080847,
unit.000069,Euclidean_dist_8193_270337,207.572968006,207.577530861,207.753722906,209.792359829,210.208366871,
unit.000070,Euclidean_dist_8193_278529,210.20886302,210.214957952,210.217824936,212.207055807,213.463728905,
unit.000071,Euclidean_dist_8193_286721,211.797945976,211.803121805,211.8059659,213.357904911,214.612061977,
unit.000072,Euclidean_dist_16385_1,213.749533892,213.754705906,213.777004004,215.734322786,216.793582916,
unit.000073,Euclidean_dist_16385_8193,216.300458908,216.305544853,216.308385849,218.447588921,219.028412819,
unit.000074,Euclidean_dist_16385_16385,217.283619881,217.290226936,217.310361862,219.352137804,219.083762884,
unit.000075,Euclidean_dist_16385_24577,202.264463902,202.270085812,202.272814989,204.253759861,204.422801018,
unit.000076,Euclidean_dist_16385_32769,215.513556004,215.518226862,215.541891813,217.54567194,218.975677013,
unit.000077,Euclidean_dist_16385_40961,222.943876982,222.949462891,222.952389002,224.893283844,224.914460897,
unit.000078,Euclidean_dist_16385_49153,225.499205828,225.504705906,225.507548809,227.513562918,228.39337182,
unit.000079,Euclidean_dist_16385_57345,226.291167974,226.295897961,226.317511797,228.217708826,228.447848797,
unit.000080,Euclidean_dist_16385_65537,228.065152884,228.07088685,228.093364954,230.136334896,230.64019084,
unit.000081,Euclidean_dist_16385_73729,228.940268993,228.945713997,229.006778002,230.94162488,231.721454859,
unit.000082,Euclidean_dist_16385_81921,231.492655993,231.498657942,231.501464844,233.554910898,234.971825838,
