CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000509,-127.911735058,12.8998298645,12.9504349232,14.4847638607,15.7288508415,34.0961899757
unit.000510,-127.911593199,10.5802378654,10.6745479107,11.7327148914,12.9282708168,26.1291368008
unit.000511,-127.911452055,10.3814399242,10.4104478359,11.5198738575,12.8337509632,25.6827659607
unit.000512,-127.91130209,10.5453670025,10.6206798553,11.6952810287,12.926776886,26.0570588112
unit.000513,-127.911159039,11.8375239372,12.0059738159,13.6907198429,15.3694028854,32.5951089859
unit.000514,-127.910998106,13.8684308529,14.3153758049,15.933921814,17.1561508179,37.4606490135
unit.000515,-127.910794973,14.1490259171,14.4358978271,16.3394958973,17.4947199821,39.24168396
unit.000516,-127.910580158,16.6167509556,16.8402328491,19.0163969994,20.2104539871,46.0889849663
unit.000517,-127.910437107,18.0342288017,18.760103941,20.9650259018,22.1899089813,49.4127049446
unit.000518,-127.91029501,19.3535268307,19.4664440155,22.3927719593,23.5020418167,52.6863780022
unit.000519,-127.910150051,8.35466885567,8.3690829277,8.89586591721,10.3930239677,17.6083319187
unit.000520,-127.910009146,9.95701003075,9.96882295609,11.1177308559,12.8508570194,24.1240060329
unit.000521,-127.909856081,11.0910458565,11.4986259937,12.5625209808,13.8939239979,28.4905939102
unit.000522,-127.90971303,16.2854909897,16.3572909832,18.6386799812,19.7636678219,45.2783830166
unit.000523,-127.909572124,7.47497487068,7.49478197098,7.52031588554,9.30532693863,13.5034918785
unit.000524,-127.909430981,16.8381679058,17.2068970203,19.2827718258,20.6330988407,46.6314778328
unit.000525,-127.909290075,17.030189991,17.4718639851,19.7516179085,21.0662958622,47.0721099377
unit.000526,-127.90914917,17.2950258255,17.9149439335,20.289139986,21.504899025,47.7333269119
unit.000527,-127.909003973,19.1957008839,19.35232687,22.2382428646,23.4287278652,52.3591339588
unit.000528,-127.908854008,9.36210489273,9.4011118412,10.5995650291,11.9106519222,21.9254388809
unit.000529,-127.908714056,19.2952899933,19.4161598682,22.3414759636,23.4991559982,52.5776219368
unit.000530,-127.908570051,12.7833340168,12.8055818081,14.3846449852,15.593380928,33.8832960129
unit.000531,-127.908429146,19.3778479099,19.4798738956,22.4089889526,23.5060758591,52.6910419464
unit.000532,-127.908290148,19.5341718197,19.5754189491,22.5027108192,23.6068589687,52.9205639362
unit.000533,-127.908121109,19.271021843,19.4034337997,22.3161878586,23.6096618176,52.5227808952
unit.000534,-127.907978058,16.7943649292,17.1271409988,19.2308218479,20.6374368668,46.52303195
unit.000535,-127.907829046,17.0079050064,17.4421539307,19.6835699081,21.0649960041,47.0174729824
unit.000536,-127.907685995,17.2508108616,17.8381237984,20.234359026,21.5019328594,47.6222498417
unit.000537,-127.907546043,17.5168678761,18.2585198879,20.5335848331,21.8436980247,48.2939758301
unit.000538,-127.907407045,15.1400029659,15.1503379345,17.5060358047,19.0459849834,43.089070797
unit.000539,-127.907256126,18.1929588318,18.7805049419,21.1361207962,22.421546936,49.9072868824
unit.000540,-127.907112122,18.4686448574,18.8526678085,21.4352529049,22.6446478367,50.5662770271
unit.000541,-127.906973124,18.6700270176,18.8803098202,21.6719310284,23.3765659332,51.081307888
unit.000542,-127.906808138,18.9544548988,19.0007929802,21.9944219589,23.2647948265,51.7882668972
unit.000543,-127.906654119,19.2263569832,19.3655610085,22.2634549141,23.4962189198,52.4135408401
unit.000544,-127.906509161,19.6428809166,19.6649348736,22.6460468769,23.8116810322,53.0878579617
unit.000545,-127.90636611,7.27430486679,7.29393196106,7.29825186729,8.76830291748,12.0285818577
unit.000546,-127.906224012,7.64242100716,7.65449285507,7.82850003242,9.30821180344,13.8053920269
unit.000547,-127.90608716,8.01563000679,8.0278069973,8.54294395447,10.1859149933,15.6737239361
unit.000548,-127.905948162,8.25653600693,8.26875782013,8.79359388351,10.4996488094,17.394826889
unit.000549,-127.905797005,8.5850110054,8.60669183731,9.13682985306,10.6197578907,17.9785628319
unit.000550,-127.905655146,8.80990600586,8.84198284149,9.53489995003,10.8404049873,18.5122668743
unit.000551,-127.905500174,9.04837298393,9.06293296814,10.1691298485,11.3768959045,20.0812199116
unit.000552,-127.905352116,9.63286399841,9.65095090866,10.7928760052,12.1486489773,23.2528789043
unit.000553,-127.905203104,9.87271094322,9.88480186462,11.0316278934,12.781482935,23.7534039021
unit.000554,-127.905045986,10.1330418587,10.1523919106,11.293859005,12.5736730099,24.3170948029
unit.000555,-127.904905081,10.3184268475,10.3427958488,11.468982935,12.8322639465,25.5766298771
unit.000556,-127.904757977,10.5567238331,10.6451230049,11.7077729702,12.9227209091,26.0761168003
unit.000557,-127.904617071,10.799849987,11.0488319397,11.973544836,13.352850914,26.6611769199
unit.000558,-127.904477119,11.0372748375,11.4256420135,12.3919978142,13.7827219963,27.2484309673
unit.000559,-127.904335022,11.2659628391,11.776252985,13.0314979553,14.2169959545,28.9165389538
unit.000560,-127.904194117,11.5564799309,11.9273648262,13.3655498028,14.5652599335,30.6528120041
unit.000561,-127.904052973,9.22051382065,9.24854397774,10.4703547955,12.1336088181,27.3958148956
unit.000562,-127.903911114,12.2184967995,12.2443749905,14.0286409855,15.3815169334,33.0947339535
unit.000563,-127.903762102,16.503526926,16.6760029793,18.8801000118,20.2044279575,45.8177888393
unit.000564,-127.903621197,12.5922930241,12.7060198784,14.3125298023,15.6008808613,33.7249879837
unit.000565,-127.903481007,13.3555209637,13.5730168819,14.9688689709,16.1841359138,35.1203169823
unit.000566,-127.903340101,10.5094578266,10.5796999931,11.6578729153,12.919698,25.9698719978
unit.000567,-127.903189182,14.8633828163,14.9640228748,17.1792387962,18.9412147999,42.5817790031
unit.000568,-127.903028011,16.4693219662,16.6230688095,18.8423929214,20.2029619217,45.712857008
unit.000569,-127.902863026,9.90919685364,9.92136693001,11.0681698322,12.8447329998,24.0712440014
unit.000570,-127.902701139,9.86127996445,9.87286400795,11.0194458961,12.2698948383,23.7289338112
unit.000571,-127.902539968,11.0266489983,11.4033658504,12.3657488823,13.6809558868,27.2354099751
unit.000572,-127.902397156,12.5713889599,12.60587883,14.3007500172,15.5888090134,33.6903309822
unit.000573,-127.902256012,14.1936018467,14.5138688087,16.3883788586,17.5998079777,39.3497669697
unit.000574,-127.902117014,15.6336479187,15.6546158791,18.0326290131,19.2945299149,42.8733098507
unit.000575,-127.901977062,17.0848498344,17.5715270042,19.8989129066,21.1797618866,47.2305300236
unit.000576,-127.901833057,18.5376989841,18.861923933,21.5134170055,22.7577059269,50.7381548882
unit.000577,-127.901689053,7.38057780266,7.39209485054,7.41244602203,8.77125501633,12.2403240204
unit.000578,-127.901548147,8.86620783806,8.92848587036,9.66665792465,10.9480910301,18.6220378876
unit.000579,-127.90140605,10.3940830231,10.4270098209,11.5330469608,12.8610978127,25.7043228149
unit.000580,-127.901266098,11.645170927,11.9810898304,13.4671268463,14.7839529514,30.8830590248
unit.000581,-127.901125193,16.6278378963,16.855219841,19.029378891,20.1015608311,46.0920379162
unit.000582,-127.900984049,11.0479748249,11.4403250217,12.4368288517,13.7873048782,27.2885119915
unit.000583,-127.90083909,13.4589719772,13.7408769131,15.0797958374,16.3967928886,35.3877358437
unit.000584,-127.900698185,14.1602218151,14.46083498,16.3515439034,17.4872457981,39.2750170231
unit.000585,-127.900559187,16.4214828014,16.5699408054,18.7898418903,20.1031439304,45.604834795
unit.000586,-127.900372028,8.79882597923,8.83078193665,9.50394201279,10.7339169979,18.4617450237
unit.000587,-127.900178194,7.99148797989,8.00274991989,8.51926088333,10.1641879082,15.622674942
unit.000588,-127.899989128,19.6139860153,19.6277358532,22.5673449039,23.7118628025,53.0306448936
unit.000589,-127.899785042,9.81281590462,9.82463288307,10.9703538418,12.2746059895,23.623696804
unit.000590,-127.899594069,17.5757219791,18.344933033,20.5927298069,21.8421649933,48.416189909
unit.000591,-127.899393082,17.9776928425,18.7526628971,20.9035799503,21.9658739567,49.1746098995
unit.000592,-127.899185181,18.2495818138,18.7878479958,21.1990149021,22.5246698856,50.0260829926
unit.000593,-127.898997068,18.5036838055,18.857254982,21.4726037979,22.6461620331,50.6259479523
unit.000594,-127.898794174,6.68147802353,6.69396996498,6.70534181595,8.44594097137,10.4316430092
unit.000595,-127.898615122,18.999958992,19.0679268837,22.0446298122,23.2721319199,51.9003078938
unit.000596,-127.898470163,7.31744384766,7.3293159008,7.34438896179,8.78184199333,12.1027398109
unit.000597,-127.898323059,11.1883158684,11.6500849724,12.8933160305,14.006182909,28.747895956
unit.000598,-127.898183107,12.9693589211,13.0111269951,14.5607538223,15.7305178642,34.2609789371
unit.000599,-127.898038149,14.4074418545,14.7673950195,16.6494629383,17.951363802,40.1444869041
unit.000600,-127.897883177,15.8676848412,15.9007439613,18.2670869827,19.5152180195,43.4749689102
unit.000601,-127.897742033,17.8979969025,18.6693508625,20.8199298382,22.0745899677,48.9605948925
unit.000602,-127.897600174,17.1400468349,17.6627519131,20.0244529247,21.2872428894,47.3474910259
unit.000603,-127.897459984,11.7024068832,11.9885008335,13.5321719646,14.6724278927,31.0309529305
unit.000604,-127.897319078,9.09533500671,9.11326098442,10.2742547989,11.3740079403,20.1875
unit.000605,-127.897173166,10.6023600101,10.720389843,11.7562139034,13.0286018848,26.1817879677
unit.000606,-127.897032022,11.8955848217,12.0132539272,13.7531569004,15.3730049133,32.715790987
unit.000607,-127.89688611,16.4098749161,16.5489759445,18.7772688866,20.0876069069,45.6009049416
unit.000608,-127.896743059,15.0485179424,15.0586190224,17.3843410015,18.9457058907,42.9189648628
unit.000609,-127.896603107,16.6721148491,16.9225718975,19.0852029324,20.2119138241,46.2023558617
unit.000610,-127.89646101,13.5370688438,13.8570549488,15.163602829,16.5026819706,35.5492928028
unit.000611,-127.896321058,12.5014839172,12.5436348915,14.2398428917,15.4829719067,33.5615878105
unit.000612,-127.896180153,8.41526389122,8.42648696899,8.94619083405,10.3956749439,17.7133970261
unit.000613,-127.896041155,10.020442009,10.0324230194,11.1818759441,12.8029949665,23.9118099213
unit.000614,-127.895900011,15.9186089039,15.9317419529,18.3066790104,19.4257919788,43.5398039818
unit.000615,-127.895739079,15.8397319317,15.8547739983,18.2391519547,19.4429399967,43.4203369617
unit.000616,-127.895590067,14.3331809044,14.6490588188,16.5567588806,17.8467140198,39.9406759739
unit.000617,-127.895442009,15.8020789623,15.8230509758,18.1997299194,19.4297878742,43.3149459362
unit.000618,-127.89528203,10.1215949059,10.1331768036,11.2819788456,12.8568999767,24.2850868702
unit.000619,-127.895129204,16.8720448017,17.2581079006,19.3590838909,20.744191885,46.6919879913
unit.000620,-127.894981146,13.803413868,14.275924921,15.7988929749,17.0395028591,37.2821378708
unit.000621,-127.894828081,9.02507901192,9.05977582932,10.1046218872,11.477463007,20.0788679123
unit.000622,-127.894671202,10.5211379528,10.5932099819,11.6709058285,12.9297509193,26.0031039715
unit.000623,-127.894528151,11.8135778904,12.0031099319,13.6636948586,15.3680448532,32.5416398048
unit.000624,-127.894384146,13.5935168266,13.9389359951,15.2534029484,16.8227219582,36.7992320061
unit.000625,-127.894245148,14.9833710194,15.008138895,17.3059639931,18.3878018856,41.1151509285
unit.000626,-127.894104004,16.595045805,16.8071639538,18.9908409119,20.0998179913,46.035048008
unit.000627,-127.893966198,9.24896097183,9.26542901993,10.5111198425,11.6983139515,20.5278699398
unit.000628,-127.893819094,19.3077619076,19.4199948311,22.3542878628,23.5047528744,52.5828418732
unit.000629,-127.893675089,12.037966013,12.1276438236,13.9056799412,15.3939549923,32.8228969574
unit.000630,-127.893535137,11.3006899357,11.8201978207,13.0705919266,14.3327538967,29.0143518448
unit.000631,-127.893391132,16.9858589172,17.4162487984,19.6310260296,20.9555518627,46.9624350071
unit.000632,-127.893249035,11.5215449333,11.9079229832,13.3239660263,14.6679849625,30.590225935
unit.000633,-127.893107176,16.7835860252,17.1071848869,19.2177398205,20.5285439491,46.4723768234
unit.000634,-127.892965078,13.9820868969,14.4022459984,16.1009078026,17.2735090256,37.7646708488
unit.000635,-127.89282012,8.69412994385,8.74748301506,9.27735590935,10.5099358559,18.243626833
unit.000636,-127.892678976,8.57412481308,8.59769797325,9.12583398819,10.5081779957,17.9281167984
unit.000637,-127.892537117,19.0893089771,19.2120268345,22.1344168186,23.416672945,52.1290099621
unit.000638,-127.892394066,11.2549488544,11.7654409409,13.0065209866,14.2228519917,28.9077458382
unit.000639,-127.892251968,13.0552318096,13.0924329758,14.6356289387,15.7272059917,34.423940897
unit.000640,-127.892111063,14.4709379673,14.8627018929,16.7265520096,17.834733963,40.2999708652
unit.000641,-127.891971111,15.9690217972,15.9905259609,18.3456377983,19.6298968792,43.6374838352
unit.000642,-127.8918221,17.3286240101,17.9568688869,20.3277859688,21.518037796,47.8484869003
unit.000643,-127.891681194,18.7471148968,18.8911240101,21.7618288994,23.3810658455,51.2558529377
unit.000644,-127.891541004,7.74848079681,7.76078987122,8.09565782547,9.52215480804,14.0177259445
unit.000645,-127.891401052,9.42114400864,9.46302890778,10.6261949539,11.9120349884,21.8454079628
unit.000646,-127.891252995,10.6676318645,10.8449528217,11.8309400082,13.0441520214,26.3410539627
unit.000647,-127.89110899,11.9658639431,12.0691959858,13.8300228119,14.9938418865,31.136387825
unit.000648,-127.890966177,16.7170619965,16.9915008545,19.1384348869,20.5210108757,46.3104679585
unit.000649,-127.89082408,11.166246891,11.6182420254,12.8517599106,13.8925228119,28.6945228577
unit.000650,-127.890683174,18.6815648079,18.8818268776,21.6856539249,23.4226980209,51.0839087963
unit.000651,-127.890542984,18.1252849102,18.7718508244,21.0616109371,22.1929428577,49.7449858189
unit.000652,-127.890400171,19.5636439323,19.5834670067,22.5153348446,23.7103588581,52.9227108955
unit.000653,-127.890259027,8.49674797058,8.52852892876,9.03667593002,10.2756528854,15.8803639412
unit.000654,-127.890119076,10.0861699581,10.1043159962,11.2441120148,12.4694509506,24.2100248337
unit.000655,-127.889979124,11.1772270203,11.6326668262,12.879434824,14.0018899441,28.7038140297
unit.000656,-127.889832973,12.958220005,13.0042538643,14.5469298363,15.7252910137,34.2410550117
unit.000657,-127.889692068,14.3973088264,14.7521119118,16.6363790035,17.9437408447,40.0965838432
unit.000658,-127.889552116,15.8522508144,15.8717939854,18.253057003,19.4238078594,43.4247808456
unit.000659,-127.889266014,17.2737488747,17.8746929169,20.2624208927,21.5033869743,47.6775379181
unit.000660,-127.889124155,9.30736088753,9.33827185631,10.5625398159,11.8082389832,20.7633159161
unit.000661,-127.888979197,6.89518094063,6.91020083427,6.92390298843,8.5563659668,11.6545269489
unit.000662,-127.888831139,9.58175086975,9.59678792953,10.742456913,12.024315834,23.1469419003
unit.000663,-127.888689995,8.63989782333,8.70149803162,9.19802594185,10.6280620098,18.0875389576
unit.000664,-127.888331175,11.3559949398,11.8817179203,13.1330008507,14.4380710125,29.1302428246
unit.000665,-127.888182163,13.4003489017,13.6376779079,15.0225539207,16.1823358536,35.2343969345
unit.000666,-127.888037205,8.12730693817,8.13891196251,8.65316700935,10.3840110302,17.0731058121
unit.000667,-127.887896061,15.4704649448,15.482131958,17.8913989067,19.2876780033,42.6483550072
unit.000668,-127.887745142,10.2952439785,10.309278965,11.4448459148,12.8549787998,25.5236258507
unit.000669,-127.887603998,17.724080801,18.3979158401,20.6340928078,21.9616298676,48.5322859287
unit.000670,-127.88745904,7.87155890465,7.88300681114,8.38162994385,10.0370848179,14.123705864
unit.000671,-127.887317181,9.53112697601,9.54409384727,10.6909759045,12.0212578773,23.040968895
unit.000672,-127.887163162,14.6548278332,14.9377658367,16.943310976,18.2806370258,40.7260458469
unit.000673,-127.887021065,9.6467089653,9.65887784958,10.8054349422,12.1379818916,23.2770738602
