,nodes,framework,duration_TTC,duration_Units,session,json
0,1,RADICAL-Pilot,1857.8301000595093,0,,rp_blobDetector_192tasks_24cores_11/rp_blobDetector_192tasks_24cores_11.json
1,1,RADICAL-Pilot,1838.0691001415253,0,,rp_blobDetector_192tasks_24cores_12/rp_blobDetector_192tasks_24cores_12.json
2,1,RADICAL-Pilot,1837.909600019455,0,,rp_blobDetector_192tasks_24cores_13/rp_blobDetector_192tasks_24cores_13.json
3,1,RADICAL-Pilot,1938.989900112152,0,,rp_blobDetector_192tasks_24cores_14/rp_blobDetector_192tasks_24cores_14.json
4,2,RADICAL-Pilot,1376.5544998645782,0,,rp_blobDetector_192tasks_48cores_14/rp_blobDetector_192tasks_48cores_14.json
5,2,RADICAL-Pilot,1260.0994000434875,0,,rp_blobDetector_192tasks_48cores_10/rp_blobDetector_192tasks_48cores_10.json
6,2,RADICAL-Pilot,1232.4263000488281,0,,rp_blobDetector_192tasks_48cores_11/rp_blobDetector_192tasks_48cores_11.json
7,2,RADICAL-Pilot,1260.3122000694275,0,,rp_blobDetector_192tasks_48cores_12/rp_blobDetector_192tasks_48cores_12.json
8,2,RADICAL-Pilot,1232.8191001415253,0,,rp_blobDetector_192tasks_48cores_13/rp_blobDetector_192tasks_48cores_13.json
9,4,RADICAL-Pilot,1011.6029000282288,0,,rp_blobDetector_192tasks_96cores_14/rp_blobDetector_192tasks_96cores_14.json
10,4,RADICAL-Pilot,963.4607999324799,0,,rp_blobDetector_192tasks_96cores_10/rp_blobDetector_192tasks_96cores_10.json
11,4,RADICAL-Pilot,978.8531000614166,0,,rp_blobDetector_192tasks_96cores_12/rp_blobDetector_192tasks_96cores_12.json
12,4,RADICAL-Pilot,937.120199918747,0,,rp_blobDetector_192tasks_96cores_13/rp_blobDetector_192tasks_96cores_13.json
13,4,RADICAL-Pilot,958.1054000854492,0,,rp_blobDetector_192tasks_96cores_11/rp_blobDetector_192tasks_96cores_11.json
14,8,RADICAL-Pilot,655.174299955368,462.9157979140679,,rp_blobDetector_192tasks_192cores_13/rp_blobDetector_192tasks_192cores_13.json
15,8,RADICAL-Pilot,643.0225999355316,0,,rp_blobDetector_192tasks_192cores_10/rp_blobDetector_192tasks_192cores_10.json
16,8,RADICAL-Pilot,632.1995000839233,467.9224838639299,,rp_blobDetector_192tasks_192cores_14/rp_blobDetector_192tasks_192cores_14.json
17,8,RADICAL-Pilot,735.822900056839,0,,rp_blobDetector_192tasks_192cores_12/rp_blobDetector_192tasks_192cores_12.json
18,8,RADICAL-Pilot,691.1481997966766,465.2696067728102,,rp_blobDetector_192tasks_192cores_11/rp_blobDetector_192tasks_192cores_11.json
