,nodes,framework,duration_TTC,duration_Units,session,json
0,1,RADICAL-Pilot,3842.760200023651,3667.194237510363,,rp_blobDetector_192tasks_24cores_43/rp_blobDetector_192tasks_24cores_43.json
1,1,RADICAL-Pilot,3808.3752999305725,3634.727137585481,,rp_blobDetector_192tasks_24cores_41/rp_blobDetector_192tasks_24cores_41.json
2,1,RADICAL-Pilot,3927.171899795532,3758.7502083281674,,rp_blobDetector_192tasks_24cores_42/rp_blobDetector_192tasks_24cores_42.json
3,1,RADICAL-Pilot,4266.989400148392,3685.8172207276025,,rp_blobDetector_192tasks_24cores_40/rp_blobDetector_192tasks_24cores_40.json
4,1,RADICAL-Pilot,4247.0025000572205,3975.5447666446366,,rp_blobDetector_192tasks_24cores_44/rp_blobDetector_192tasks_24cores_44.json
5,2,RADICAL-Pilot,2047.7930998802185,1842.9554104308288,,rp_blobDetector_192tasks_48cores_43/rp_blobDetector_192tasks_48cores_43.json
6,2,RADICAL-Pilot,2050.162799835205,1858.179539596041,,rp_blobDetector_192tasks_48cores_44/rp_blobDetector_192tasks_48cores_44.json
7,2,RADICAL-Pilot,1993.6204998493195,1805.7846666226785,,rp_blobDetector_192tasks_48cores_41/rp_blobDetector_192tasks_48cores_41.json
8,2,RADICAL-Pilot,2047.421499967575,1864.6241249988477,,rp_blobDetector_192tasks_48cores_42/rp_blobDetector_192tasks_48cores_42.json
9,2,RADICAL-Pilot,1978.2376999855042,1805.9984062115352,,rp_blobDetector_192tasks_48cores_40/rp_blobDetector_192tasks_48cores_40.json
10,4,RADICAL-Pilot,6956.1159999370575,916.9762479191025,,rp_blobDetector_192tasks_96cores_43/rp_blobDetector_192tasks_96cores_43.json
11,4,RADICAL-Pilot,1022.5970001220703,916.7138166675965,,rp_blobDetector_192tasks_96cores_42/rp_blobDetector_192tasks_96cores_42.json
12,4,RADICAL-Pilot,1069.8227999210358,916.5136875162522,,rp_blobDetector_192tasks_96cores_41/rp_blobDetector_192tasks_96cores_41.json
13,4,RADICAL-Pilot,1506.8636000156403,927.5633822704355,,rp_blobDetector_192tasks_96cores_40/rp_blobDetector_192tasks_96cores_40.json
14,4,RADICAL-Pilot,1108.4268000125885,915.3757749994596,,rp_blobDetector_192tasks_96cores_44/rp_blobDetector_192tasks_96cores_44.json
15,8,RADICAL-Pilot,986.6826000213623,459.7985578166942,,rp_blobDetector_192tasks_192cores_40/rp_blobDetector_192tasks_192cores_40.json
16,8,RADICAL-Pilot,623.179300069809,459.44945624346536,,rp_blobDetector_192tasks_192cores_42/rp_blobDetector_192tasks_192cores_42.json
17,8,RADICAL-Pilot,635.6029000282288,460.93909219279885,,rp_blobDetector_192tasks_192cores_41/rp_blobDetector_192tasks_192cores_41.json
18,8,RADICAL-Pilot,678.6089000701904,459.62875365341705,,rp_blobDetector_192tasks_192cores_44/rp_blobDetector_192tasks_192cores_44.json
19,8,RADICAL-Pilot,726.6716001033783,462.97075051565963,,rp_blobDetector_192tasks_192cores_43/rp_blobDetector_192tasks_192cores_43.json
