BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1504310400000 ms, 2017-09-01T19:00:02, 5, 2641, 2,1_Producer_Count
1504310460000 ms, 2017-09-01T19:01:00, 0, 2712, 6,1_Producer_Count
1504310520000 ms, 2017-09-01T19:02:00, 0, 1746, 2,1_Producer_Count
1504310580000 ms, 2017-09-01T19:03:00, 1, 2618, 6,1_Producer_Count
1504310640000 ms, 2017-09-01T19:04:00, 0, 1802, 2,1_Producer_Count
1504310700000 ms, 2017-09-01T19:05:00, 0, 2738, 6,1_Producer_Count
1504310760000 ms, 2017-09-01T19:06:00, 0, 1590, 2,1_Producer_Count
1504310820000 ms, 2017-09-01T19:07:00, 0, 2467, 6,1_Producer_Count
1504310880000 ms, 2017-09-01T19:08:00, 0, 1680, 2,1_Producer_Count
1504310940000 ms, 2017-09-01T19:09:00, 0, 2574, 6,1_Producer_Count
1504311000000 ms, 2017-09-01T19:10:00, 1, 1599, 2,1_Producer_Count
1504311060000 ms, 2017-09-01T19:11:00, 1, 2586, 6,1_Producer_Count
1504311120000 ms, 2017-09-01T19:12:00, 0, 1643, 2,1_Producer_Count
1504311180000 ms, 2017-09-01T19:13:00, 0, 2350, 6,1_Producer_Count
1504311240000 ms, 2017-09-01T19:14:00, 1, 1643, 2,1_Producer_Count
1504311300000 ms, 2017-09-01T19:15:00, 0, 2558, 6,1_Producer_Count
1504311360000 ms, 2017-09-01T19:16:00, 0, 1399, 2,1_Producer_Count
1504311420000 ms, 2017-09-01T19:17:00, 1, 2276, 6,1_Producer_Count
1504311480000 ms, 2017-09-01T19:18:00, 0, 1505, 2,1_Producer_Count
1504311540000 ms, 2017-09-01T19:19:00, 0, 2466, 6,1_Producer_Count
1504311600000 ms, 2017-09-01T19:20:00, 1, 1320, 2,1_Producer_Count
1504311660000 ms, 2017-09-01T19:21:00, 0, 2222, 6,1_Producer_Count
1504311720000 ms, 2017-09-01T19:22:00, 1, 1607, 2,1_Producer_Count
1504311780000 ms, 2017-09-01T19:23:00, 0, 2831, 6,1_Producer_Count
1504311840000 ms, 2017-09-01T19:24:00, 1, 1473, 2,1_Producer_Count
1504311900000 ms, 2017-09-01T19:25:00, 0, 2373, 6,1_Producer_Count
1504311960000 ms, 2017-09-01T19:26:00, 1, 1471, 2,1_Producer_Count
1504312020000 ms, 2017-09-01T19:27:00, 0, 2434, 6,1_Producer_Count
1504312080000 ms, 2017-09-01T19:28:00, 1, 1657, 2,1_Producer_Count
1504312140000 ms, 2017-09-01T19:29:00, 0, 2512, 6,1_Producer_Count
1504312200000 ms, 2017-09-01T19:30:00, 0, 1540, 2,1_Producer_Count
1504312260000 ms, 2017-09-01T19:31:01, 1, 2550, 6,1_Producer_Count
1504312320000 ms, 2017-09-01T19:32:00, 1, 1643, 2,1_Producer_Count
1504312380000 ms, 2017-09-01T19:33:00, 1, 2554, 6,1_Producer_Count
1504312440000 ms, 2017-09-01T19:34:00, 1, 1016, 1,1_Producer_Count
1504312500000 ms, 2017-09-01T19:35:00, 1, 2703, 7,1_Producer_Count
1504312560000 ms, 2017-09-01T19:36:00, 1, 1520, 1,1_Producer_Count
1504312620000 ms, 2017-09-01T19:37:00, 1, 2816, 7,1_Producer_Count
1504312680000 ms, 2017-09-01T19:38:00, 1, 1186, 1,1_Producer_Count
1504312740000 ms, 2017-09-01T19:39:00, 0, 2667, 7,1_Producer_Count
1504312800000 ms, 2017-09-01T19:40:00, 0, 1193, 1,1_Producer_Count
1504312860000 ms, 2017-09-01T19:41:00, 1, 2695, 7,1_Producer_Count
1504312920000 ms, 2017-09-01T19:42:00, 0, 1386, 1,1_Producer_Count
1504312980000 ms, 2017-09-01T19:43:00, 0, 2744, 7,1_Producer_Count
1504313040000 ms, 2017-09-01T19:44:00, 1, 1636, 1,1_Producer_Count
1504313100000 ms, 2017-09-01T19:45:00, 1, 2891, 7,1_Producer_Count
1504313160000 ms, 2017-09-01T19:46:00, 0, 1290, 1,1_Producer_Count
1504313220000 ms, 2017-09-01T19:47:00, 0, 2578, 7,1_Producer_Count
1504313280000 ms, 2017-09-01T19:48:00, 1, 1255, 1,1_Producer_Count
1504313340000 ms, 2017-09-01T19:49:00, 1, 2512, 7,1_Producer_Count
1504313400000 ms, 2017-09-01T19:50:00, 1, 1346, 1,1_Producer_Count
1504313460000 ms, 2017-09-01T19:51:00, 1, 2719, 7,1_Producer_Count
1504313520000 ms, 2017-09-01T19:52:00, 0, 1063, 1,1_Producer_Count
1504313580000 ms, 2017-09-01T19:53:00, 1, 2471, 7,1_Producer_Count
1504313640000 ms, 2017-09-01T19:54:00, 1, 1114, 1,1_Producer_Count
1504313700000 ms, 2017-09-01T19:55:00, 0, 2549, 7,1_Producer_Count
