Produce_batch_Start,Produce_batch_Stop,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec
0,8000,0,8000,0.0,0.0
0,8000,1,8000,496.0,4.12684702447
8000,16000,2,8000,990.0,4.11803649983
16000,24000,3,8000,1484.0,4.11555896094
24000,32000,4,8000,1980.0,4.11842694642
32000,40000,5,8000,2478.0,4.12351352662
40000,48000,6,8000,2969.0,4.11670514925
48000,56000,7,8000,3469.0,4.122922682
56000,64000,8,8000,3965.0,4.12357221704
64000,72000,9,8000,4465.0,4.12764420455
72000,80000,10,8000,4963.0,4.12916687919
80000,88000,11,8000,5458.0,4.12824095654
88000,96000,12,8000,5954.0,4.12821389219
