,Duration,Framework,Nodes
0,7494,Spark,1
1,7493,Spark,1
2,8025,Spark,1
3,8292,Spark,1
4,8616,Spark,1
5,8641,Spark,1
6,9075,Spark,1
7,9158,Spark,1
8,9281,Spark,1
9,9290,Spark,1
10,9359,Spark,1
11,9384,Spark,1
12,9447,Spark,1
13,9510,Spark,1
14,9707,Spark,1
15,9739,Spark,1
16,9902,Spark,1
17,9966,Spark,1
18,10008,Spark,1
19,10129,Spark,1
20,10172,Spark,1
21,10322,Spark,1
22,10395,Spark,1
23,10741,Spark,1
24,8734,Spark,1
25,8736,Spark,1
26,8740,Spark,1
27,8744,Spark,1
28,8860,Spark,1
29,8883,Spark,1
30,8946,Spark,1
31,9068,Spark,1
32,9226,Spark,1
33,9485,Spark,1
34,9534,Spark,1
35,9803,Spark,1
36,9864,Spark,1
37,9866,Spark,1
38,9904,Spark,1
39,9929,Spark,1
40,9954,Spark,1
41,9973,Spark,1
42,10028,Spark,1
43,10190,Spark,1
44,10217,Spark,1
45,10390,Spark,1
46,10885,Spark,1
47,11156,Spark,1
48,7841,Spark,1
49,8613,Spark,1
50,8832,Spark,1
51,9053,Spark,1
52,9677,Spark,1
53,9726,Spark,1
54,9824,Spark,1
55,9862,Spark,1
56,9898,Spark,1
57,9920,Spark,1
58,9925,Spark,1
59,9937,Spark,1
60,9956,Spark,1
61,9973,Spark,1
62,10078,Spark,1
63,10116,Spark,1
64,10312,Spark,1
65,10424,Spark,1
66,10722,Spark,1
67,10728,Spark,1
68,10837,Spark,1
69,10873,Spark,1
70,10955,Spark,1
71,10988,Spark,1
72,7920,Spark,1
73,9004,Spark,1
74,9238,Spark,1
75,9553,Spark,1
76,9599,Spark,1
77,9675,Spark,1
78,9735,Spark,1
79,9796,Spark,1
80,9818,Spark,1
81,9817,Spark,1
82,9823,Spark,1
83,9846,Spark,1
84,9853,Spark,1
85,9859,Spark,1
86,9887,Spark,1
87,9915,Spark,1
88,9958,Spark,1
89,9983,Spark,1
90,10162,Spark,1
91,10324,Spark,1
92,10576,Spark,1
93,10642,Spark,1
94,10954,Spark,1
95,11622,Spark,1
96,7880,Spark,1
97,7984,Spark,1
98,8334,Spark,1
99,8910,Spark,1
100,8976,Spark,1
101,9140,Spark,1
102,9570,Spark,1
103,9582,Spark,1
104,9630,Spark,1
105,9669,Spark,1
106,9718,Spark,1
107,9731,Spark,1
108,9795,Spark,1
109,9828,Spark,1
110,9890,Spark,1
111,9923,Spark,1
112,9929,Spark,1
113,10168,Spark,1
114,10170,Spark,1
115,10174,Spark,1
116,10264,Spark,1
117,10430,Spark,1
118,10749,Spark,1
119,10836,Spark,1
120,7957,Spark,1
121,8219,Spark,1
122,8477,Spark,1
123,8849,Spark,1
124,9041,Spark,1
125,9072,Spark,1
126,9091,Spark,1
127,9130,Spark,1
128,9216,Spark,1
129,9241,Spark,1
130,9253,Spark,1
131,9342,Spark,1
132,9376,Spark,1
133,9388,Spark,1
134,9579,Spark,1
135,9709,Spark,1
136,9808,Spark,1
137,9879,Spark,1
138,10050,Spark,1
139,10060,Spark,1
140,10063,Spark,1
141,10273,Spark,1
142,10469,Spark,1
143,10717,Spark,1
144,7553,Spark,1
145,7553,Spark,1
146,7722,Spark,1
147,8075,Spark,1
148,8442,Spark,1
149,8472,Spark,1
150,8997,Spark,1
151,9086,Spark,1
152,9145,Spark,1
153,9497,Spark,1
154,9563,Spark,1
155,9651,Spark,1
156,9676,Spark,1
157,9685,Spark,1
158,9773,Spark,1
159,9813,Spark,1
160,9869,Spark,1
161,9884,Spark,1
162,9897,Spark,1
163,9929,Spark,1
164,9988,Spark,1
165,10001,Spark,1
166,10159,Spark,1
167,10193,Spark,1
168,7492,Spark,1
169,8022,Spark,1
170,8245,Spark,1
171,8499,Spark,1
172,8788,Spark,1
173,8903,Spark,1
174,9092,Spark,1
175,9325,Spark,1
176,9342,Spark,1
177,9484,Spark,1
178,9533,Spark,1
179,9640,Spark,1
180,9650,Spark,1
181,9668,Spark,1
182,9731,Spark,1
183,9745,Spark,1
184,9800,Spark,1
185,10010,Spark,1
186,10087,Spark,1
187,10150,Spark,1
188,10257,Spark,1
189,10301,Spark,1
190,10603,Spark,1
191,11051,Spark,1
192,8016,Spark,1
193,8525,Spark,1
194,8575,Spark,1
195,8812,Spark,1
196,9194,Spark,1
197,9238,Spark,1
198,9343,Spark,1
199,9345,Spark,1
200,9357,Spark,1
201,9475,Spark,1
202,9492,Spark,1
203,9697,Spark,1
204,9767,Spark,1
205,9822,Spark,1
206,9827,Spark,1
207,9877,Spark,1
208,9894,Spark,1
209,9910,Spark,1
210,10147,Spark,1
211,10149,Spark,1
212,10148,Spark,1
213,10393,Spark,1
214,10813,Spark,1
215,11095,Spark,1
216,8800,Spark,1
217,8976,Spark,1
218,9047,Spark,1
219,9181,Spark,1
220,9207,Spark,1
221,9619,Spark,1
222,9625,Spark,1
223,9644,Spark,1
224,9651,Spark,1
225,9832,Spark,1
226,9853,Spark,1
227,9922,Spark,1
228,10007,Spark,1
229,10011,Spark,1
230,10147,Spark,1
231,10148,Spark,1
232,10182,Spark,1
233,10185,Spark,1
234,10218,Spark,1
235,10245,Spark,1
236,10358,Spark,1
237,10400,Spark,1
238,10414,Spark,1
239,10694,Spark,1
240,7302,Spark,2
241,7898,Spark,2
242,8275,Spark,2
243,8284,Spark,2
244,8410,Spark,2
245,8487,Spark,2
246,8755,Spark,2
247,8797,Spark,2
248,8917,Spark,2
249,8936,Spark,2
250,8982,Spark,2
251,9016,Spark,2
252,9015,Spark,2
253,9161,Spark,2
254,9253,Spark,2
255,9263,Spark,2
256,9307,Spark,2
257,9346,Spark,2
258,9364,Spark,2
259,9468,Spark,2
260,9484,Spark,2
261,9641,Spark,2
262,9698,Spark,2
263,9773,Spark,2
264,9787,Spark,2
265,9787,Spark,2
266,9816,Spark,2
267,9819,Spark,2
268,9819,Spark,2
269,9826,Spark,2
270,9883,Spark,2
271,9910,Spark,2
272,9923,Spark,2
273,9980,Spark,2
274,9984,Spark,2
275,9980,Spark,2
276,9980,Spark,2
277,9983,Spark,2
278,9992,Spark,2
279,10197,Spark,2
280,10195,Spark,2
281,10431,Spark,2
282,10461,Spark,2
283,10500,Spark,2
284,10897,Spark,2
285,11040,Spark,2
286,11144,Spark,2
287,11156,Spark,2
288,7735,Spark,2
289,7820,Spark,2
290,8198,Spark,2
291,8502,Spark,2
292,8550,Spark,2
293,8659,Spark,2
294,8673,Spark,2
295,8725,Spark,2
296,8727,Spark,2
297,8772,Spark,2
298,8789,Spark,2
299,9020,Spark,2
300,9228,Spark,2
301,9280,Spark,2
302,9480,Spark,2
303,9503,Spark,2
304,9532,Spark,2
305,9631,Spark,2
306,9644,Spark,2
307,9678,Spark,2
308,9721,Spark,2
309,9739,Spark,2
310,9757,Spark,2
311,9752,Spark,2
312,9773,Spark,2
313,9775,Spark,2
314,9814,Spark,2
315,10059,Spark,2
316,10054,Spark,2
317,10074,Spark,2
318,10108,Spark,2
319,10114,Spark,2
320,10125,Spark,2
321,10116,Spark,2
322,10125,Spark,2
323,10193,Spark,2
324,10199,Spark,2
325,10220,Spark,2
326,10305,Spark,2
327,10310,Spark,2
328,10361,Spark,2
329,10450,Spark,2
330,10464,Spark,2
331,10554,Spark,2
332,10649,Spark,2
333,10659,Spark,2
334,10678,Spark,2
335,11155,Spark,2
336,8234,Spark,2
337,8474,Spark,2
338,8648,Spark,2
339,8656,Spark,2
340,8893,Spark,2
341,8935,Spark,2
342,9076,Spark,2
343,9539,Spark,2
344,9662,Spark,2
345,9763,Spark,2
346,9752,Spark,2
347,9840,Spark,2
348,9968,Spark,2
349,10005,Spark,2
350,10022,Spark,2
351,10017,Spark,2
352,10047,Spark,2
353,10066,Spark,2
354,10052,Spark,2
355,10107,Spark,2
356,10138,Spark,2
357,10111,Spark,2
358,10139,Spark,2
359,10157,Spark,2
360,10186,Spark,2
361,10212,Spark,2
362,10259,Spark,2
363,10234,Spark,2
364,10264,Spark,2
365,10260,Spark,2
366,10261,Spark,2
367,10261,Spark,2
368,10295,Spark,2
369,10301,Spark,2
370,10302,Spark,2
371,10304,Spark,2
372,10538,Spark,2
373,10609,Spark,2
374,10612,Spark,2
375,10682,Spark,2
376,10775,Spark,2
377,10868,Spark,2
378,11032,Spark,2
379,11064,Spark,2
380,11101,Spark,2
381,11231,Spark,2
382,11319,Spark,2
383,11594,Spark,2
384,7083,Spark,2
385,7830,Spark,2
386,7944,Spark,2
387,8235,Spark,2
388,8276,Spark,2
389,8416,Spark,2
390,8449,Spark,2
391,8746,Spark,2
392,8868,Spark,2
393,8906,Spark,2
394,8934,Spark,2
395,9116,Spark,2
396,9186,Spark,2
397,9259,Spark,2
398,9258,Spark,2
399,9270,Spark,2
400,9325,Spark,2
401,9405,Spark,2
402,9463,Spark,2
403,9476,Spark,2
404,9489,Spark,2
405,9522,Spark,2
406,9595,Spark,2
407,9731,Spark,2
408,9737,Spark,2
409,9809,Spark,2
410,9819,Spark,2
411,9819,Spark,2
412,9824,Spark,2
413,9876,Spark,2
414,9924,Spark,2
415,9940,Spark,2
416,9948,Spark,2
417,9967,Spark,2
418,9978,Spark,2
419,10035,Spark,2
420,10057,Spark,2
421,10084,Spark,2
422,10099,Spark,2
423,10116,Spark,2
424,10234,Spark,2
425,10273,Spark,2
426,10275,Spark,2
427,10303,Spark,2
428,10386,Spark,2
429,10636,Spark,2
430,10696,Spark,2
431,10734,Spark,2
432,7090,Spark,2
433,7892,Spark,2
434,7908,Spark,2
435,8236,Spark,2
436,8324,Spark,2
437,8452,Spark,2
438,8816,Spark,2
439,8885,Spark,2
440,9000,Spark,2
441,9205,Spark,2
442,9291,Spark,2
443,9302,Spark,2
444,9430,Spark,2
445,9463,Spark,2
446,9496,Spark,2
447,9544,Spark,2
448,9578,Spark,2
449,9608,Spark,2
450,9615,Spark,2
451,9670,Spark,2
452,9681,Spark,2
453,9690,Spark,2
454,9710,Spark,2
455,9750,Spark,2
456,9808,Spark,2
457,9824,Spark,2
458,9906,Spark,2
459,9919,Spark,2
460,9927,Spark,2
461,9943,Spark,2
462,9952,Spark,2
463,9953,Spark,2
464,10027,Spark,2
465,10041,Spark,2
466,10057,Spark,2
467,10057,Spark,2
468,10064,Spark,2
469,10099,Spark,2
470,10101,Spark,2
471,10121,Spark,2
472,10164,Spark,2
473,10209,Spark,2
474,10249,Spark,2
475,10309,Spark,2
476,10351,Spark,2
477,10428,Spark,2
478,10484,Spark,2
479,11015,Spark,2
480,8195,Spark,2
481,8200,Spark,2
482,8263,Spark,2
483,8540,Spark,2
484,8549,Spark,2
485,8699,Spark,2
486,9066,Spark,2
487,9305,Spark,2
488,9341,Spark,2
489,9734,Spark,2
490,9957,Spark,2
491,10055,Spark,2
492,10067,Spark,2
493,10150,Spark,2
494,10162,Spark,2
495,10167,Spark,2
496,10182,Spark,2
497,10229,Spark,2
498,10242,Spark,2
499,10238,Spark,2
500,10267,Spark,2
501,10403,Spark,2
502,10473,Spark,2
503,10487,Spark,2
504,10516,Spark,2
505,10522,Spark,2
506,10620,Spark,2
507,10707,Spark,2
508,10866,Spark,2
509,10873,Spark,2
510,10910,Spark,2
511,10932,Spark,2
512,10918,Spark,2
513,10952,Spark,2
514,10962,Spark,2
515,11002,Spark,2
516,11033,Spark,2
517,11069,Spark,2
518,11076,Spark,2
519,11096,Spark,2
520,11086,Spark,2
521,11150,Spark,2
522,11386,Spark,2
523,11392,Spark,2
524,11406,Spark,2
525,11412,Spark,2
526,11618,Spark,2
527,12106,Spark,2
528,7252,Spark,2
529,7576,Spark,2
530,8006,Spark,2
531,8294,Spark,2
532,8526,Spark,2
533,8556,Spark,2
534,8616,Spark,2
535,8764,Spark,2
536,8818,Spark,2
537,9044,Spark,2
538,9053,Spark,2
539,9055,Spark,2
540,9086,Spark,2
541,9099,Spark,2
542,9142,Spark,2
543,9153,Spark,2
544,9298,Spark,2
545,9324,Spark,2
546,9365,Spark,2
547,9398,Spark,2
548,9416,Spark,2
549,9457,Spark,2
550,9545,Spark,2
551,9567,Spark,2
552,9652,Spark,2
553,9737,Spark,2
554,9905,Spark,2
555,9911,Spark,2
556,9879,Spark,2
557,9883,Spark,2
558,9947,Spark,2
559,9937,Spark,2
560,9971,Spark,2
561,9957,Spark,2
562,9993,Spark,2
563,9993,Spark,2
564,10078,Spark,2
565,10099,Spark,2
566,10103,Spark,2
567,10116,Spark,2
568,10198,Spark,2
569,10184,Spark,2
570,10270,Spark,2
571,10407,Spark,2
572,10520,Spark,2
573,10884,Spark,2
574,10893,Spark,2
575,10983,Spark,2
576,7509,Spark,2
577,7726,Spark,2
578,8119,Spark,2
579,8398,Spark,2
580,8404,Spark,2
581,8523,Spark,2
582,8697,Spark,2
583,8684,Spark,2
584,8820,Spark,2
585,9145,Spark,2
586,9216,Spark,2
587,9302,Spark,2
588,9398,Spark,2
589,9492,Spark,2
590,9620,Spark,2
591,9639,Spark,2
592,9724,Spark,2
593,9721,Spark,2
594,9752,Spark,2
595,9814,Spark,2
596,9760,Spark,2
597,9817,Spark,2
598,9873,Spark,2
599,9932,Spark,2
600,9901,Spark,2
601,9975,Spark,2
602,9983,Spark,2
603,9950,Spark,2
604,10017,Spark,2
605,10041,Spark,2
606,10049,Spark,2
607,10019,Spark,2
608,10175,Spark,2
609,10183,Spark,2
610,10197,Spark,2
611,10145,Spark,2
612,10205,Spark,2
613,10302,Spark,2
614,10361,Spark,2
615,10347,Spark,2
616,10614,Spark,2
617,10660,Spark,2
618,10662,Spark,2
619,10751,Spark,2
620,10757,Spark,2
621,10822,Spark,2
622,10959,Spark,2
623,11006,Spark,2
624,6859,Spark,2
625,7214,Spark,2
626,7439,Spark,2
627,7796,Spark,2
628,8101,Spark,2
629,8208,Spark,2
630,8301,Spark,2
631,8473,Spark,2
632,8503,Spark,2
633,8812,Spark,2
634,8825,Spark,2
635,8948,Spark,2
636,8976,Spark,2
637,9096,Spark,2
638,9203,Spark,2
639,9234,Spark,2
640,9311,Spark,2
641,9465,Spark,2
642,9499,Spark,2
643,9544,Spark,2
