,Duration,Framework,Nodes,Optimization
0,49607100.0,MPIC++,1,0
1,49537300.0,MPIC++,1,0
2,49532900.0,MPIC++,1,0
3,49738300.0,MPIC++,1,0
4,49519400.0,MPIC++,1,0
5,49510400.0,MPIC++,1,0
6,49532900.0,MPIC++,1,0
7,49533400.0,MPIC++,1,0
8,49655800.0,MPIC++,1,0
9,49514000.0,MPIC++,1,0
10,49516500.0,MPIC++,1,0
11,49540300.0,MPIC++,1,0
12,49596800.0,MPIC++,1,0
13,49549400.0,MPIC++,1,0
14,49540100.0,MPIC++,1,0
15,49514700.0,MPIC++,1,0
16,49527000.0,MPIC++,1,0
17,49520500.0,MPIC++,1,0
18,49550500.0,MPIC++,1,0
19,49527700.0,MPIC++,1,0
20,49603900.0,MPIC++,1,0
21,49624800.0,MPIC++,1,0
22,49579700.0,MPIC++,1,0
23,49639200.0,MPIC++,1,0
24,51757300.0,MPIC++,1,0
25,49528400.0,MPIC++,1,0
26,50907900.0,MPIC++,1,0
27,50783400.0,MPIC++,1,0
28,49536300.0,MPIC++,1,0
29,49540500.0,MPIC++,1,0
30,52070800.0,MPIC++,1,0
31,49549600.0,MPIC++,1,0
32,49538600.0,MPIC++,1,0
33,49533700.0,MPIC++,1,0
34,49615400.0,MPIC++,1,0
35,49526000.0,MPIC++,1,0
36,55816600.0,MPIC++,1,0
37,53919300.0,MPIC++,1,0
38,51709900.0,MPIC++,1,0
39,53933500.0,MPIC++,1,0
40,51642000.0,MPIC++,1,0
41,50605100.0,MPIC++,1,0
42,49534500.0,MPIC++,1,0
43,53819300.0,MPIC++,1,0
44,50161300.0,MPIC++,1,0
45,50487800.0,MPIC++,1,0
46,50676500.0,MPIC++,1,0
47,50637900.0,MPIC++,1,0
48,50032200.0,MPIC++,1,0
49,49659500.0,MPIC++,1,0
50,49558900.0,MPIC++,1,0
51,49520500.0,MPIC++,1,0
52,49511200.0,MPIC++,1,0
53,49560600.0,MPIC++,1,0
54,49519400.0,MPIC++,1,0
55,49627100.0,MPIC++,1,0
56,49511200.0,MPIC++,1,0
57,49518400.0,MPIC++,1,0
58,49593500.0,MPIC++,1,0
59,49517000.0,MPIC++,1,0
60,49550100.0,MPIC++,1,0
61,49530900.0,MPIC++,1,0
62,49549500.0,MPIC++,1,0
63,49542500.0,MPIC++,1,0
64,49525800.0,MPIC++,1,0
65,49532800.0,MPIC++,1,0
66,49513400.0,MPIC++,1,0
67,49508500.0,MPIC++,1,0
68,49574000.0,MPIC++,1,0
69,49512900.0,MPIC++,1,0
70,49553400.0,MPIC++,1,0
71,49543700.0,MPIC++,1,0
72,49577000.0,MPIC++,1,0
73,49529400.0,MPIC++,1,0
