['watershed_multi-79e2a52d-e1a3-4604-b7c4-fc794aaf4a69', 'processing', 'memory', 'tcp://10.21.255.144:39808', 47563814237952, [['deserialize', 1527346278.308374, 1527346284.669981], ['compute', 1527346284.6797178, 1527348714.882792]]]
['watershed_multi-6a10e298-b7d1-4983-8d9c-6011d30d33e8', 'processing', 'memory', 'tcp://10.21.255.144:38301', 47560995665664, [['deserialize', 1527346278.307932, 1527346284.500785], ['compute', 1527346284.501361, 1527348716.387824]]]
['watershed_multi-2dd3a4ac-ae4d-4c7b-8c08-90493d1f5fd2', 'processing', 'memory', 'tcp://10.21.255.144:36045', 47563210258176, [['deserialize', 1527346278.307403, 1527346284.476162], ['compute', 1527346284.4768736, 1527348718.2038908]]]
['watershed_multi-dba073fd-3eb3-4bb7-986b-8aa177f65ac8', 'processing', 'memory', 'tcp://10.21.255.144:46388', 47562203625216, [['deserialize', 1527346278.309722, 1527346284.334821], ['compute', 1527346284.3353376, 1527348719.6621525]]]
['watershed_multi-cdc04cf2-4cbb-4b0a-b622-6f0fb49625f8', 'processing', 'memory', 'tcp://10.21.255.144:46073', 47563009980160, [['deserialize', 1527346278.309584, 1527346285.192772], ['compute', 1527346285.2051022, 1527348721.589255]]]
['watershed_multi-4a5dc6a4-9cb9-4f37-87ef-5c64fa563371', 'processing', 'memory', 'tcp://10.21.255.144:36868', 47560850646784, [['deserialize', 1527346278.307616, 1527346284.393428], ['compute', 1527346284.3943908, 1527348723.5716739]]]
['watershed_multi-a88ced8e-de21-436d-a008-2653990d92f3', 'processing', 'memory', 'tcp://10.21.255.144:40710', 47564418217728, [['deserialize', 1527346278.308771, 1527346284.516465], ['compute', 1527346284.5172682, 1527348738.8877492]]]
['watershed_multi-b9a88c8c-c34d-4f04-b73c-f08ad737d550', 'processing', 'memory', 'tcp://10.21.255.144:41639', 47560993539840, [['deserialize', 1527346278.309058, 1527346284.298767], ['compute', 1527346284.2997115, 1527348745.4305334]]]
['watershed_multi-cc51d59d-d084-4b2b-8eca-cdf19b88cf21', 'processing', 'memory', 'tcp://10.21.255.144:45179', 47564015564544, [['deserialize', 1527346278.309377, 1527346285.892174], ['compute', 1527346285.9068227, 1527348747.2939217]]]
['watershed_multi-234631b5-b32d-480d-a2b1-baa67716bb6e', 'processing', 'memory', 'tcp://10.21.255.144:34209', 47563411846912, [['deserialize', 1527346278.306952, 1527346284.891044], ['compute', 1527346284.9047184, 1527348747.7644703]]]
