['watershed_multi-75510fb4-3c52-44a0-985a-3ac0d778ff97', 'processing', 'memory', 'tcp://10.21.255.73:39606', 47851843356416, [['deserialize', 1527364142.150174, 1527364145.65807], ['compute', 1527364145.6576383, 1527366482.8758414]]]
['watershed_multi-b95b03f7-bcd4-4a2a-95a2-458037c88bc5', 'processing', 'memory', 'tcp://10.21.255.68:45248', 47117202622208, [['deserialize', 1527364142.159088, 1527364145.583183], ['compute', 1527364145.58493, 1527366483.8305838]]]
['watershed_multi-29604e0e-9915-4ece-abd3-927fc72add5c', 'processing', 'memory', 'tcp://10.21.255.73:38230', 47854460626688, [['deserialize', 1527364142.138314, 1527364145.574071], ['compute', 1527364145.5747602, 1527366483.9343822]]]
['watershed_multi-6869e4f5-fb4f-41a6-8f7e-a0d52e201a80', 'processing', 'memory', 'tcp://10.21.255.92:44757', 47524152899328, [['deserialize', 1527364142.149649, 1527364145.467975], ['compute', 1527364145.467588, 1527366487.923502]]]
['watershed_multi-bc76d3e5-d5e3-4404-9b96-605bd0b427b7', 'processing', 'memory', 'tcp://10.21.255.73:32867', 47854057961216, [['deserialize', 1527364142.159291, 1527364145.57416], ['compute', 1527364145.575847, 1527366488.245034]]]
['watershed_multi-4f17b875-2e97-44ff-a167-2be5c2afe345', 'processing', 'memory', 'tcp://10.21.255.77:43258', 47381007566592, [['deserialize', 1527364142.144263, 1527364145.423399], ['compute', 1527364145.4446137, 1527366488.8174107]]]
['watershed_multi-8c26e762-83fe-4811-9f92-b514abdd40b7', 'processing', 'memory', 'tcp://10.21.255.92:41375', 47522743613184, [['deserialize', 1527364142.152678, 1527364145.467957], ['compute', 1527364145.4676256, 1527366492.0278976]]]
['watershed_multi-9474b026-039b-4e35-86df-5c0d7a4c20dd', 'processing', 'memory', 'tcp://10.21.255.73:37045', 47852447336192, [['deserialize', 1527364142.153853, 1527364145.643559], ['compute', 1527364145.64329, 1527366493.016553]]]
['watershed_multi-a9d34f96-503f-4826-98c5-4fcbf8546524', 'processing', 'memory', 'tcp://10.21.255.86:44224', 47878420592384, [['deserialize', 1527364142.156946, 1527364145.264876], ['compute', 1527364145.2649682, 1527366492.5305812]]]
['watershed_multi-6189a62a-9aab-4c74-9196-180942c4db4c', 'processing', 'memory', 'tcp://10.21.255.86:44034', 47879427225344, [['deserialize', 1527364142.146139, 1527364145.258437], ['compute', 1527364145.2582603, 1527366494.0151582]]]
['watershed_multi-5f2ff31a-8da0-4484-956e-b2b0354b4b18', 'processing', 'memory', 'tcp://10.21.255.86:43179', 47877011306240, [['deserialize', 1527364142.144579, 1527364145.322603], ['compute', 1527364145.322871, 1527366493.9827678]]]
['watershed_multi-8b1143c7-e772-497e-b09d-58994b026eba', 'processing', 'memory', 'tcp://10.21.255.86:46174', 47877414221568, [['deserialize', 1527364142.15201, 1527364145.327754], ['compute', 1527364145.327925, 1527366495.802161]]]
['watershed_multi-c26187b2-907a-47a4-be85-b96985118f97', 'processing', 'memory', 'tcp://10.21.255.77:42344', 47381209155328, [['deserialize', 1527364142.16101, 1527364145.42338], ['compute', 1527364145.4220781, 1527366495.856424]]]
