['watershed_multi-5e858b04-7161-4a28-ac73-6858536b817e', 'processing', 'memory', 'tcp://10.21.250.124:41843', 47533613123328, [['deserialize', 1527423182.724183, 1527423185.701281], ['compute', 1527423185.7001975, 1527425603.9994166]]]
['watershed_multi-caa99e27-4955-4b49-8587-b8f739066f6c', 'processing', 'memory', 'tcp://10.21.250.123:45091', 47087475521280, [['deserialize', 1527423182.730595, 1527423185.386577], ['compute', 1527423185.386205, 1527425604.374167]]]
['watershed_multi-e2677fea-5844-4bac-bc1b-43ee8c2aa258', 'processing', 'memory', 'tcp://10.21.250.123:38488', 47085260928768, [['deserialize', 1527423182.731676, 1527423185.473781], ['compute', 1527423185.4722764, 1527425607.5451064]]]
['watershed_multi-4fc8b4b7-b684-4ee3-a506-fa6a2367a400', 'processing', 'memory', 'tcp://10.21.250.124:38277', 47532203837184, [['deserialize', 1527423182.724126, 1527423185.615931], ['compute', 1527423185.615136, 1527425609.214127]]]
['watershed_multi-fa752f99-cfa8-4e3f-a527-8a57bd8d0aad', 'processing', 'memory', 'tcp://10.21.250.156:43111', 47496778942208, [['deserialize', 1527423182.731687, 1527423188.263385], ['compute', 1527423188.2643316, 1527425609.6924875]]]
['watershed_multi-c2f8ee54-0378-48e4-8faa-5666940072f0', 'processing', 'memory', 'tcp://10.21.250.123:41864', 47088079787776, [['deserialize', 1527423182.729394, 1527423185.38661], ['compute', 1527423185.3854315, 1527425615.4062035]]]
['watershed_multi-a2a8b2a2-a3ad-48e7-8e6a-b685eee573ac', 'processing', 'memory', 'tcp://10.21.250.124:41734', 47532807816960, [['deserialize', 1527423182.727807, 1527423185.683683], ['compute', 1527423185.682564, 1527425616.0417962]]]
['watershed_multi-725add42-5941-43d6-acdc-e618ede3fb58', 'processing', 'memory', 'tcp://10.21.250.156:41652', 47499390002944, [['deserialize', 1527423182.722994, 1527423188.381707], ['compute', 1527423188.4669886, 1527425617.2685845]]]
['watershed_multi-92253f37-399c-4596-9d0b-0e01437838cb', 'processing', 'memory', 'tcp://10.21.250.123:41624', 47084455622400, [['deserialize', 1527423182.727321, 1527423185.387132], ['compute', 1527423185.3859327, 1527425617.7999046]]]
['watershed_multi-403edcfb-28c4-41c9-9741-3131999f09d1', 'processing', 'memory', 'tcp://10.21.250.123:41640', 47088482154240, [['deserialize', 1527423182.721323, 1527423185.388296], ['compute', 1527423185.386764, 1527425617.9001749]]]
['watershed_multi-fb97f110-7858-478d-8374-f00da2843ea7', 'processing', 'memory', 'tcp://10.21.250.156:44402', 47499792381696, [['deserialize', 1527423182.731847, 1527423188.777238], ['compute', 1527423188.783958, 1527425628.794281]]]
['watershed_multi-e9d31a9c-8428-431f-be7e-7a2566bbd137', 'processing', 'memory', 'tcp://10.21.250.123:42469', 47086267561728, [['deserialize', 1527423182.732162, 1527423185.393441], ['compute', 1527423185.3922715, 1527425629.2858815]]]
['watershed_multi-64afc0f3-2898-420b-a5b9-9be8b99e7cba', 'processing', 'memory', 'tcp://10.21.250.124:44256', 47534619756288, [['deserialize', 1527423182.724183, 1527423185.615781], ['compute', 1527423185.6169066, 1527425629.7187738]]]
['watershed_multi-cc700be2-c3cc-40e2-b44f-4d23af377658', 'processing', 'memory', 'tcp://10.21.250.156:41673', 47501000361728, [['deserialize', 1527423182.728916, 1527423188.086436], ['compute', 1527423188.0869167, 1527425631.6101336]]]
['watershed_multi-c581b678-2ff5-400d-8640-adccd585dfa5', 'processing', 'memory', 'tcp://10.21.250.156:38157', 47498584422144, [['deserialize', 1527423182.727988, 1527423188.349041], ['compute', 1527423188.3869016, 1527425631.8146956]]]
['watershed_multi-acc79866-7111-41e6-b209-91de42916d6d', 'processing', 'memory', 'tcp://10.21.250.156:40463', 47498383095552, [['deserialize', 1527423182.726485, 1527423188.098245], ['compute', 1527423188.098686, 1527425631.917479]]]
