['watershed_multi-d9f8ec22-bae6-48f9-ad59-6b4b64f4c11c', 'processing', 'memory', 'tcp://10.21.249.141:39908', 47452749330176, [['deserialize', 1527392756.486128, 1527392762.627875], ['compute', 1527392762.628421, 1527395127.0578122]]]
['watershed_multi-05e216ed-3399-4495-a46c-348f19922355', 'processing', 'memory', 'tcp://10.21.249.138:38119', 47124687333120, [['deserialize', 1527392756.47167, 1527392759.291585], ['compute', 1527392759.2917125, 1527395128.2521076]]]
['watershed_multi-f5ccc561-48e7-45ae-84dc-22309764554e', 'processing', 'memory', 'tcp://10.21.249.140:46150', 47297124660992, [['deserialize', 1527392756.488591, 1527392759.382915], ['compute', 1527392759.38363, 1527395129.049351]]]
['watershed_multi-0b162c26-b26d-462d-9a15-a8ad262a65a4', 'processing', 'memory', 'tcp://10.21.249.138:41952', 47128076400384, [['deserialize', 1527392756.474112, 1527392759.291565], ['compute', 1527392759.2913609, 1527395130.2480397]]]
['watershed_multi-7c961941-2fb3-480a-bd6c-f08e850ec624', 'processing', 'memory', 'tcp://10.21.249.141:37758', 47454561007360, [['deserialize', 1527392756.479947, 1527392763.50353], ['compute', 1527392763.506686, 1527395134.56519]]]
['watershed_multi-fb6b538f-0aba-4ae3-8c5f-e692d62fc172', 'processing', 'memory', 'tcp://10.21.249.141:37664', 47453554374400, [['deserialize', 1527392756.488987, 1527392763.27765], ['compute', 1527392763.2907784, 1527395136.1741645]]]
['watershed_multi-2b127b8f-c85f-491a-a9f8-c5b750c8abcb', 'processing', 'memory', 'tcp://10.21.249.139:36230', 47949909481216, [['deserialize', 1527392756.474858, 1527392759.478878], ['compute', 1527392759.4804776, 1527395136.4397316]]]
['watershed_multi-09c2b08f-3a87-43b4-aef8-8c79e8e0c29c', 'processing', 'memory', 'tcp://10.21.249.138:41765', 47127875049216, [['deserialize', 1527392756.473949, 1527392759.291552], ['compute', 1527392759.2915115, 1527395139.1807404]]]
['watershed_multi-bd57c68a-153a-45bb-83ec-948623dff5c9', 'processing', 'memory', 'tcp://10.21.249.138:44113', 47126063118080, [['deserialize', 1527392756.484958, 1527392759.346143], ['compute', 1527392759.346181, 1527395140.6251988]]]
['watershed_multi-9c3fac7d-e7d1-4020-80a1-b7fe64090b5f', 'processing', 'memory', 'tcp://10.21.249.140:39817', 47295108220672, [['deserialize', 1527392756.482994, 1527392759.37555], ['compute', 1527392759.37606, 1527395141.3269122]]]
['watershed_multi-e6abe2a2-f5ce-4424-a94b-3670cadb7f5f', 'processing', 'memory', 'tcp://10.21.249.139:41640', 47951904798464, [['deserialize', 1527392756.487741, 1527392759.478737], ['compute', 1527392759.481125, 1527395141.723583]]]
['watershed_multi-eecb56ce-c9e0-4dd0-a180-e6056b043165', 'processing', 'memory', 'tcp://10.21.249.140:36034', 47298130245376, [['deserialize', 1527392756.488228, 1527392759.375433], ['compute', 1527392759.3763356, 1527395143.0704906]]]
['watershed_multi-0615a1b0-93f7-45a9-9a4b-cad7860e45c4', 'processing', 'memory', 'tcp://10.21.249.138:40511', 47126264444672, [['deserialize', 1527392756.471871, 1527392759.347934], ['compute', 1527392759.3477013, 1527395145.8302593]]]
['watershed_multi-600edb58-411a-4019-b3ab-ac73062aaa3c', 'processing', 'memory', 'tcp://10.21.249.140:34666', 47297928918784, [['deserialize', 1527392756.477583, 1527392759.375519], ['compute', 1527392759.37592, 1527395146.581198]]]
['watershed_multi-e52cd66d-f52d-494f-9b48-b44d7282ac03', 'processing', 'memory', 'tcp://10.21.249.139:36785', 47953314096896, [['deserialize', 1527392756.487184, 1527392759.479692], ['compute', 1527392759.4823475, 1527395149.8123026]]]
['watershed_multi-cfed88fb-4c55-4038-a6da-f5c23dafbc3d', 'processing', 'memory', 'tcp://10.21.249.140:41146', 47298734483200, [['deserialize', 1527392756.484918, 1527392759.375413], ['compute', 1527392759.3761892, 1527395153.0765734]]]
['watershed_multi-f306d38d-97c2-471e-beec-bbed3ee09511', 'processing', 'memory', 'tcp://10.21.249.140:39523', 47296318306048, [['deserialize', 1527392756.4884, 1527392759.458957], ['compute', 1527392759.4596941, 1527395155.188895]]]
['watershed_multi-46e87449-d14f-49c8-a986-862a900cb747', 'processing', 'memory', 'tcp://10.21.249.139:39636', 47952911419136, [['deserialize', 1527392756.475729, 1527392759.478814], ['compute', 1527392759.4792814, 1527395158.4191093]]]
['watershed_multi-39cab268-5abe-4f48-ba70-9fdc78583603', 'processing', 'memory', 'tcp://10.21.249.139:37700', 47954117265152, [['deserialize', 1527392756.475488, 1527392759.478737], ['compute', 1527392759.481291, 1527395160.6677191]]]
['watershed_multi-eb77a949-511b-4e09-b5ee-04cdb2fbf8f0', 'processing', 'memory', 'tcp://10.21.249.140:33665', 47296117241600, [['deserialize', 1527392756.488119, 1527392759.443707], ['compute', 1527392759.4440324, 1527395165.6381385]]]
