['watershed_multi-dfd7f9c6-437c-4ac4-87f1-f77d83eff2d0', 'processing', 'memory', 'tcp://10.21.255.48:33296', 47764892067584, [['deserialize', 1527372324.799948, 1527372328.001457], ['compute', 1527372328.0022776, 1527374738.5695097]]]
['watershed_multi-d8757f19-17f4-4180-bd0a-637a3a098486', 'processing', 'memory', 'tcp://10.21.255.46:42555', 47776415119104, [['deserialize', 1527372324.799405, 1527372328.913401], ['compute', 1527372328.9155993, 1527374738.6416473]]]
['watershed_multi-184cbf3f-dff9-42c5-bbb1-5c61c0756309', 'processing', 'memory', 'tcp://10.21.255.46:36666', 47775811139328, [['deserialize', 1527372324.788199, 1527372329.040444], ['compute', 1527372329.0414886, 1527374740.0303097]]]
['watershed_multi-92ad74b4-9fd9-4168-ae3c-558464309082', 'processing', 'memory', 'tcp://10.21.255.46:33931', 47776213792512, [['deserialize', 1527372324.794061, 1527372328.911596], ['compute', 1527372328.9127488, 1527374740.6883137]]]
['watershed_multi-4e2fd439-aac0-496c-916e-8f0848033e5e', 'processing', 'memory', 'tcp://10.21.255.53:34175', 47846141228800, [['deserialize', 1527372324.790899, 1527372331.144539], ['compute', 1527372331.1452985, 1527374740.9410665]]]
['watershed_multi-d012064a-3ebd-403d-ae2a-939a84a9d05c', 'processing', 'memory', 'tcp://10.21.255.39:43978', 47793729206016, [['deserialize', 1527372324.798349, 1527372328.160029], ['compute', 1527372328.160987, 1527374742.019647]]]
['watershed_multi-0717bce8-a763-4699-b5e0-b08b4eb19929', 'processing', 'memory', 'tcp://10.21.255.39:39823', 47795742471936, [['deserialize', 1527372324.783291, 1527372328.092933], ['compute', 1527372328.094458, 1527374743.745446]]]
['watershed_multi-1dfc1310-96f0-4400-a5b9-4578d4a0bf18', 'processing', 'memory', 'tcp://10.21.255.46:41972', 47777824405248, [['deserialize', 1527372324.788292, 1527372328.911602], ['compute', 1527372328.9134715, 1527374743.9250245]]]
['watershed_multi-ac231659-710a-4656-ae53-6830405d8e2c', 'processing', 'memory', 'tcp://10.21.255.53:35591', 47846947583744, [['deserialize', 1527372324.795233, 1527372331.235675], ['compute', 1527372331.2364697, 1527374745.1199787]]]
['watershed_multi-c074aff8-ffed-4659-8cd8-51837c8f2ca0', 'processing', 'memory', 'tcp://10.21.255.53:36829', 47847953168128, [['deserialize', 1527372324.797091, 1527372332.177297], ['compute', 1527372332.1815047, 1527374745.6206896]]]
['watershed_multi-c563d305-0665-4303-b2f4-d74978f6229a', 'processing', 'memory', 'tcp://10.21.255.46:41450', 47776617494272, [['deserialize', 1527372324.797331, 1527372328.911607], ['compute', 1527372328.9130042, 1527374747.0915492]]]
['watershed_multi-97ea95f2-694e-4999-a7c9-d374d0cc2919', 'processing', 'memory', 'tcp://10.21.255.46:43877', 47778629699328, [['deserialize', 1527372324.794037, 1527372328.911574], ['compute', 1527372328.9127932, 1527374747.2893512]]]
