['watershed_multi-7658b1e3-24cf-4963-8745-dfb11ae81f26', 'processing', 'memory', 'tcp://10.21.251.6:33537', 47217666717440, [['deserialize', 1527361494.069202, 1527361497.025885], ['compute', 1527361497.025441, 1527363859.242566]]]
['watershed_multi-fd528a83-c6e6-4d52-a7f5-990bd222bdc7', 'processing', 'memory', 'tcp://10.21.251.6:46293', 47217064752896, [['deserialize', 1527361494.079407, 1527361496.956063], ['compute', 1527361496.95774, 1527363861.941117]]]
['watershed_multi-8aaba300-22d8-41a9-8456-972e80c84b77', 'processing', 'memory', 'tcp://10.21.251.6:41968', 47220888205056, [['deserialize', 1527361494.07079, 1527361496.95608], ['compute', 1527361496.957889, 1527363868.209772]]]
['watershed_multi-23905e41-5244-4549-81c0-c9d0bbcbf116', 'processing', 'memory', 'tcp://10.21.251.26:45122', 47882850039552, [['deserialize', 1527361494.064875, 1527361496.820739], ['compute', 1527361496.820092, 1527363868.543657]]]
['watershed_multi-8d59236b-df05-4352-9615-502c97733f66', 'processing', 'memory', 'tcp://10.21.251.6:45661', 47217261938432, [['deserialize', 1527361494.071258, 1527361496.956063], ['compute', 1527361496.955702, 1527363869.75438]]]
['watershed_multi-69a3fab5-c390-42b4-936a-655f06d61d7e', 'processing', 'memory', 'tcp://10.21.251.2:41765', 46949298370304, [['deserialize', 1527361494.068147, 1527361496.960147], ['compute', 1527361496.9607365, 1527363870.7561946]]]
['watershed_multi-dbcfc216-b73d-4336-aaee-04702900a810', 'processing', 'memory', 'tcp://10.21.251.27:46213', 47949556012800, [['deserialize', 1527361494.076855, 1527361500.630757], ['compute', 1527361500.6655693, 1527363873.6484694]]]
['watershed_multi-e054ea1a-ac06-4719-ba94-4cdf7321d027', 'processing', 'memory', 'tcp://10.21.251.2:36725', 46949701023488, [['deserialize', 1527361494.078107, 1527361496.863796], ['compute', 1527361496.86325, 1527363874.747206]]]
['watershed_multi-83fff135-5d12-4ffe-a280-4a30a5c3615a', 'processing', 'memory', 'tcp://10.21.251.6:38467', 47218069370624, [['deserialize', 1527361494.070079, 1527361497.04141], ['compute', 1527361497.0409515, 1527363882.8323295]]]
['watershed_multi-c3a16487-1a94-4272-a413-bb8c2ab7b417', 'processing', 'memory', 'tcp://10.21.251.2:42462', 46949097305856, [['deserialize', 1527361494.075086, 1527361497.043935], ['compute', 1527361497.0453465, 1527363883.7385905]]]
['watershed_multi-5c263e8d-c80c-4a5f-8e9d-e95bf2d42572', 'processing', 'memory', 'tcp://10.21.251.2:35855', 46948291737344, [['deserialize', 1527361494.067496, 1527361496.927164], ['compute', 1527361496.9265776, 1527363885.6852865]]]
['watershed_multi-82e79ca9-955a-4b39-a6cb-089ef5d2a162', 'processing', 'memory', 'tcp://10.21.251.6:38125', 47219278378752, [['deserialize', 1527361494.069887, 1527361496.957882], ['compute', 1527361496.9577076, 1527363889.0341897]]]
['watershed_multi-983b33a8-fee9-4d81-920c-2f4f65b1d2ea', 'processing', 'memory', 'tcp://10.21.251.27:34056', 47946938742528, [['deserialize', 1527361494.071118, 1527361499.964354], ['compute', 1527361499.9647682, 1527363891.3496442]]]
['watershed_multi-7456f719-9763-4975-8317-8071f090c8b2', 'processing', 'memory', 'tcp://10.21.251.6:33155', 47217465390848, [['deserialize', 1527361494.069073, 1527361497.017765], ['compute', 1527361497.0174, 1527363892.378061]]]
['watershed_multi-f3d02bce-d85c-4651-8536-0fd95ce9e98a', 'processing', 'memory', 'tcp://10.21.251.2:45866', 46947903174400, [['deserialize', 1527361494.078839, 1527361496.844464], ['compute', 1527361496.8454366, 1527363893.1137257]]]
['watershed_multi-8862590b-76e4-43a3-a6a0-36a156484f17', 'processing', 'memory', 'tcp://10.21.251.6:40299', 47217062651648, [['deserialize', 1527361494.070488, 1527361496.956088], ['compute', 1527361496.9578366, 1527363895.4066446]]]
