['watershed_multi-a2a8035c-a82b-4a67-8f87-466b0d35e07a', 'processing', 'memory', 'tcp://10.21.253.19:45538', 47359331403520, [['deserialize', 1527351320.552866, 1527351328.485805], ['compute', 1527351328.4867566, 1527353712.5405586]]]
['watershed_multi-6c49385c-3da8-4451-81e3-a3c5de4ba7de', 'processing', 'memory', 'tcp://10.21.253.8:32803', 47182434563840, [['deserialize', 1527351320.549087, 1527351324.075943], ['compute', 1527351324.07636, 1527353714.3226628]]]
['watershed_multi-cd9b3582-a349-43af-8bdd-d34e8d226c3b', 'processing', 'memory', 'tcp://10.21.253.18:41118', 47897153173248, [['deserialize', 1527351320.55582, 1527351324.657004], ['compute', 1527351324.658851, 1527353714.892648]]]
['watershed_multi-e6e2344f-8ee9-4e9f-8d83-3980981f0c15', 'processing', 'memory', 'tcp://10.21.253.18:37108', 47899358557952, [['deserialize', 1527351320.557232, 1527351324.658776], ['compute', 1527351324.659189, 1527353714.934447]]]
['watershed_multi-0ca66c0d-dfcb-4c35-b6a1-bdab2ceecc4c', 'processing', 'memory', 'tcp://10.21.253.12:40500', 47418993321728, [['deserialize', 1527351320.54167, 1527351323.787719], ['compute', 1527351323.791233, 1527353715.387901]]]
['watershed_multi-6686b2e3-943d-4154-ba22-b5dfa2ef72d5', 'processing', 'memory', 'tcp://10.21.253.19:44541', 47362756089600, [['deserialize', 1527351320.548306, 1527351328.672031], ['compute', 1527351328.6729484, 1527353716.1149273]]]
['watershed_multi-8fa9c177-61ef-456d-b7d1-eb2543d31735', 'processing', 'memory', 'tcp://10.21.253.12:35839', 47419396224768, [['deserialize', 1527351320.551004, 1527351323.787798], ['compute', 1527351323.7886748, 1527353717.0689468]]]
['watershed_multi-95703acf-2de2-4931-a6e2-71b6b6bf2262', 'processing', 'memory', 'tcp://10.21.253.18:36703', 47897949271808, [['deserialize', 1527351320.552119, 1527351324.745923], ['compute', 1527351324.746269, 1527353719.918787]]]
['watershed_multi-cb49d602-65d8-4287-9f70-17971a97c7a3', 'processing', 'memory', 'tcp://10.21.253.8:37539', 47184045176576, [['deserialize', 1527351320.555178, 1527351324.076509], ['compute', 1527351324.078572, 1527353720.939405]]]
['watershed_multi-02d764ea-de5d-40b0-ad50-92374b4aef8b', 'processing', 'memory', 'tcp://10.21.253.12:34906', 47416977917696, [['deserialize', 1527351320.540707, 1527351323.787709], ['compute', 1527351323.7883825, 1527353722.4735117]]]
['watershed_multi-5217ef25-0e54-4fa3-8216-498e9b267ed3', 'processing', 'memory', 'tcp://10.21.253.19:41798', 47361347843840, [['deserialize', 1527351320.54747, 1527351328.569096], ['compute', 1527351328.5698931, 1527353723.5219083]]]
['watershed_multi-66eb1237-385f-4f4d-9c1a-eca0c2f948a5', 'processing', 'memory', 'tcp://10.21.253.19:45499', 47362152101632, [['deserialize', 1527351320.548466, 1527351330.94053], ['compute', 1527351330.9527555, 1527353723.5168226]]]
['watershed_multi-0a6151fd-2478-421c-8698-a5632c1ea54e', 'processing', 'memory', 'tcp://10.21.253.12:38891', 47417584023296, [['deserialize', 1527351320.541591, 1527351323.867952], ['compute', 1527351323.8685303, 1527353724.1164312]]]
['watershed_multi-b990fbe9-1f92-4b21-9d39-eb48275ab276', 'processing', 'memory', 'tcp://10.21.253.8:46000', 47183843849984, [['deserialize', 1527351320.553632, 1527351324.075779], ['compute', 1527351324.0779195, 1527353725.6298053]]]
['watershed_multi-70d3fb65-b913-4a0c-b713-6fbb56675921', 'processing', 'memory', 'tcp://10.21.253.8:37240', 47185787881216, [['deserialize', 1527351320.551148, 1527351324.07578], ['compute', 1527351324.078183, 1527353727.270527]]]
['watershed_multi-9734dbae-72d9-40ab-a874-b707faf2a47d', 'processing', 'memory', 'tcp://10.21.253.18:39538', 47898352187136, [['deserialize', 1527351320.552221, 1527351324.75874], ['compute', 1527351324.7591841, 1527353728.231722]]]
['watershed_multi-d18663fe-aecc-4d9d-a69f-f96fccb797c4', 'processing', 'memory', 'tcp://10.21.253.8:33604', 47182092211968, [['deserialize', 1527351320.555992, 1527351324.075991], ['compute', 1527351324.079146, 1527353730.8347888]]]
['watershed_multi-e1bd5d76-3161-4725-a715-562da3f83fa0', 'processing', 'memory', 'tcp://10.21.253.12:46545', 47417785349888, [['deserialize', 1527351320.556334, 1527351323.863008], ['compute', 1527351323.863622, 1527353733.1427448]]]
['watershed_multi-ca0b3f7d-935a-4bda-9d99-04bbfcf1fefc', 'processing', 'memory', 'tcp://10.21.253.19:44936', 47360944142080, [['deserialize', 1527351320.554663, 1527351328.738931], ['compute', 1527351328.7397497, 1527353733.9294386]]]
['watershed_multi-3c2c013d-e4b2-4b30-b1fa-e3b85aa216da', 'processing', 'memory', 'tcp://10.21.253.18:46092', 47901371823872, [['deserialize', 1527351320.551247, 1527351324.657017], ['compute', 1527351324.6571047, 1527353740.4648976]]]
['watershed_multi-9825fdb2-bf34-4ce5-bdb2-ac7d07efc5b5', 'processing', 'memory', 'tcp://10.21.253.18:45947', 47897151072000, [['deserialize', 1527351320.552628, 1527351324.657913], ['compute', 1527351324.65879, 1527353742.609653]]]
