['watershed_multi-85b7fa41-9f47-47d2-90e7-bfbb46677a0b', 'processing', 'memory', 'tcp://10.21.252.87:33396', 47379466188544, [['deserialize', 1527358970.664247, 1527358973.771236], ['compute', 1527358973.7787983, 1527361365.2432134]]]
['watershed_multi-8448bfd7-ee24-4ef4-b574-e2c14fc8a8a7', 'processing', 'memory', 'tcp://10.21.252.116:42956', 47265982973696, [['deserialize', 1527358970.664635, 1527358979.339951], ['compute', 1527358979.3403616, 1527361365.8024154]]]
['watershed_multi-0c036d3d-e26e-4477-85d2-035aca2b1197', 'processing', 'memory', 'tcp://10.21.252.116:41376', 47265177667328, [['deserialize', 1527358970.660998, 1527358979.23524], ['compute', 1527358979.2362072, 1527361366.1136022]]]
['watershed_multi-059dbc73-0ace-4b5c-a13f-3ca4b5fc01d2', 'processing', 'memory', 'tcp://10.21.252.116:34459', 47266184300288, [['deserialize', 1527358970.66017, 1527358979.519256], ['compute', 1527358979.5200188, 1527361368.4656758]]]
['watershed_multi-50c321ad-9d47-4a6b-91d7-fcb654d28d95', 'processing', 'memory', 'tcp://10.21.252.87:38973', 47380674148096, [['deserialize', 1527358970.662146, 1527358973.883586], ['compute', 1527358973.884655, 1527361368.705893]]]
['watershed_multi-f39cc1af-e80f-4e66-a6c7-1999a4775044', 'processing', 'memory', 'tcp://10.21.252.87:40418', 47381882377984, [['deserialize', 1527358970.667032, 1527358973.771281], ['compute', 1527358973.7722898, 1527361369.746873]]]
['watershed_multi-4c5e980a-2fa4-459f-a3db-38db04b5b64d', 'processing', 'memory', 'tcp://10.21.252.87:36362', 47383090333440, [['deserialize', 1527358970.661765, 1527358973.7714], ['compute', 1527358973.774376, 1527361370.315832]]]
['watershed_multi-b6fc3220-0874-4295-a82e-eca2645086f0', 'processing', 'memory', 'tcp://10.21.252.87:35983', 47383291406080, [['deserialize', 1527358970.66601, 1527358973.771218], ['compute', 1527358973.7753704, 1527361372.3133345]]]
['watershed_multi-a2d852fc-d893-4945-8163-3be223ab5169', 'processing', 'memory', 'tcp://10.21.252.116:44667', 47268398917376, [['deserialize', 1527358970.665936, 1527358983.535997], ['compute', 1527358983.608929, 1527361375.56577]]]
['watershed_multi-00b585f7-4a98-455e-b3c6-dfdae4c288e2', 'processing', 'memory', 'tcp://10.21.252.116:32901', 47265182131968, [['deserialize', 1527358970.659643, 1527358979.113658], ['compute', 1527358979.114638, 1527361377.5623152]]]
['watershed_multi-274a7ce5-c675-44ba-84e6-14734cabe91c', 'processing', 'memory', 'tcp://10.21.252.87:33903', 47380473083648, [['deserialize', 1527358970.661241, 1527358973.871795], ['compute', 1527358973.872997, 1527361378.7187982]]]
['watershed_multi-fbfa567b-fb08-4d14-ab5c-fc0f987207d2', 'processing', 'memory', 'tcp://10.21.252.87:45868', 47380875474688, [['deserialize', 1527358970.667527, 1527358973.794784], ['compute', 1527358973.796061, 1527361400.392749]]]
['watershed_multi-835049a9-0635-406e-9797-8b517fbfcf01', 'processing', 'memory', 'tcp://10.21.252.116:39725', 47266989606656, [['deserialize', 1527358970.664484, 1527358979.371069], ['compute', 1527358979.371651, 1527361401.220226]]]
['watershed_multi-60fd94c4-ed89-43a4-bd2f-0876e10013ee', 'processing', 'memory', 'tcp://10.21.252.87:40376', 47380271494912, [['deserialize', 1527358970.66269, 1527358973.845546], ['compute', 1527358973.8465068, 1527361401.2595568]]]
['watershed_multi-722130c8-d1e3-4d3b-a2c0-bec541523f8c', 'processing', 'memory', 'tcp://10.21.252.87:45615', 47383492708096, [['deserialize', 1527358970.663452, 1527358973.771217], ['compute', 1527358973.7743585, 1527361405.3869927]]]
['watershed_multi-07e10d65-fe67-44b1-941e-bd2b193e0358', 'processing', 'memory', 'tcp://10.21.252.116:37206', 47266788280064, [['deserialize', 1527358970.660491, 1527358979.152707], ['compute', 1527358979.1535125, 1527361408.2909694]]]
['watershed_multi-82efbbaf-d6e3-498d-b06b-f2c7aca0144e', 'processing', 'memory', 'tcp://10.21.252.116:35195', 47268197566208, [['deserialize', 1527358970.664309, 1527358981.180714], ['compute', 1527358981.2135925, 1527361408.9987025]]]
['watershed_multi-02a84e4e-a534-455d-a222-0c049fcb70b4', 'processing', 'memory', 'tcp://10.21.252.116:34121', 47266586953472, [['deserialize', 1527358970.659991, 1527358979.091754], ['compute', 1527358979.0925198, 1527361409.924193]]]
['watershed_multi-15abb923-671b-466f-9702-ebd1d93c19c0', 'processing', 'memory', 'tcp://10.21.252.116:42661', 47267593586432, [['deserialize', 1527358970.661188, 1527358981.911475], ['compute', 1527358982.0185304, 1527361411.9471185]]]
['watershed_multi-5f227fbe-9b1b-43ad-9a1f-58cf57d4aa9f', 'processing', 'memory', 'tcp://10.21.252.87:40167', 47381278127872, [['deserialize', 1527358970.662421, 1527358973.77122], ['compute', 1527358973.7723613, 1527361413.6724763]]]
['watershed_multi-3e5f32e9-8647-462d-92c6-5d381a30c087', 'processing', 'memory', 'tcp://10.21.252.87:34644', 47382284760832, [['deserialize', 1527358970.661415, 1527358973.771289], ['compute', 1527358973.7734344, 1527361413.7218466]]]
['watershed_multi-fae2baf3-2693-4e4e-9798-23742217a866', 'processing', 'memory', 'tcp://10.21.252.87:40647', 47382687418112, [['deserialize', 1527358970.667172, 1527358973.771222], ['compute', 1527358973.775173, 1527361414.561565]]]
