['watershed_multi-2dcf02e2-3a4a-42e4-bd4b-1ef43d16676c', 'processing', 'memory', 'tcp://10.21.255.148:42670', 47519321061120, [['deserialize', 1527410485.528783, 1527410489.049582], ['compute', 1527410489.05008, 1527412846.232821]]]
['watershed_multi-00e72d59-4c00-4980-a789-7eb53477817b', 'processing', 'memory', 'tcp://10.21.255.148:34544', 47520529020672, [['deserialize', 1527410485.527209, 1527410489.037009], ['compute', 1527410489.0373228, 1527412847.1109176]]]
['watershed_multi-aa22dc0c-cdbf-439d-9540-21729f051f77', 'processing', 'memory', 'tcp://10.21.255.148:40067', 47522944947968, [['deserialize', 1527410485.532071, 1527410488.984861], ['compute', 1527410488.9881759, 1527412848.511263]]]
['watershed_multi-24f03dac-6a50-4140-8656-95a23ac19c11', 'processing', 'memory', 'tcp://10.21.255.148:39536', 47521134049024, [['deserialize', 1527410485.528237, 1527410488.986518], ['compute', 1527410488.9868202, 1527412855.4243102]]]
['watershed_multi-fa506e4c-abfc-4f60-8612-327c4f7a9246', 'processing', 'memory', 'tcp://10.21.255.149:46062', 47953716987648, [['deserialize', 1527410485.535442, 1527410492.317549], ['compute', 1527410492.3180099, 1527412855.5760489]]]
['watershed_multi-3806abc9-cd8b-4de4-bb21-911d15c4fe42', 'processing', 'memory', 'tcp://10.21.255.148:43711', 47519723714304, [['deserialize', 1527410485.529174, 1527410489.062768], ['compute', 1527410489.0630155, 1527412857.0125716]]]
['watershed_multi-a33f4a29-7c37-45dd-89be-4d95051d0f95', 'processing', 'memory', 'tcp://10.21.255.148:34330', 47523146278656, [['deserialize', 1527410485.53165, 1527410488.984835], ['compute', 1527410488.9871984, 1527412860.7616265]]]
['watershed_multi-ccdb7415-63f9-4238-98a0-333d2f684e86', 'processing', 'memory', 'tcp://10.21.255.148:39194', 47522542294784, [['deserialize', 1527410485.533026, 1527410488.984869], ['compute', 1527410488.9868226, 1527412861.5013077]]]
['watershed_multi-d2692f3a-941b-4f08-8ee0-7c664df4b266', 'processing', 'memory', 'tcp://10.21.255.148:45442', 47522139637504, [['deserialize', 1527410485.53372, 1527410488.984853], ['compute', 1527410488.9871573, 1527412862.9563293]]]
['watershed_multi-00c61b14-17e4-484e-b3a2-2bb62f30764f', 'processing', 'memory', 'tcp://10.21.255.148:33840', 47522340960000, [['deserialize', 1527410485.527061, 1527410488.984992], ['compute', 1527410488.9853325, 1527412869.9926944]]]
['watershed_multi-baa67500-1dfe-487f-aed0-fea18644762e', 'processing', 'memory', 'tcp://10.21.255.148:35050', 47521334327040, [['deserialize', 1527410485.532574, 1527410488.986561], ['compute', 1527410488.986871, 1527412870.984677]]]
['watershed_multi-5e6cb942-2887-40e0-b25f-3828e3260c87', 'processing', 'memory', 'tcp://10.21.255.149:33216', 47953314092800, [['deserialize', 1527410485.529684, 1527410492.039773], ['compute', 1527410492.0402205, 1527412872.9725754]]]
['watershed_multi-f7a6b947-e6c0-48e2-b423-f1e2e291f070', 'processing', 'memory', 'tcp://10.21.255.149:43127', 47951703471872, [['deserialize', 1527410485.53521, 1527410493.189289], ['compute', 1527410493.2138724, 1527412876.0422783]]]
['watershed_multi-e31e8253-5c5b-4dbc-82ad-f3fdb23fffee', 'processing', 'memory', 'tcp://10.21.255.149:41096', 47950090733312, [['deserialize', 1527410485.534691, 1527410492.005394], ['compute', 1527410492.0059476, 1527412876.3740544]]]
