['watershed_multi-da57b40d-b8ad-4f80-82b6-63368b39a2f0', 'processing', 'memory', 'tcp://10.21.248.177:41909', 47420268377856, [['deserialize', 1527443498.629238, 1527443502.531102], ['compute', 1527443502.53223, 1527445918.740028]]]
['watershed_multi-6d42c004-feea-4e8b-a1b8-e56cd65173f1', 'processing', 'memory', 'tcp://10.21.248.177:33294', 47419060680448, [['deserialize', 1527443498.624723, 1527443502.477163], ['compute', 1527443502.4775665, 1527445922.9726493]]]
['watershed_multi-76f2d192-2b0f-4428-a9b1-50f4ac3747b9', 'processing', 'memory', 'tcp://10.21.248.177:40175', 47418051659520, [['deserialize', 1527443498.62539, 1527443502.449236], ['compute', 1527443502.4504566, 1527445927.7575548]]]
['watershed_multi-7ba8ec19-0ba6-4c98-bfd4-333d8a19c604', 'processing', 'memory', 'tcp://10.21.248.177:45700', 47417877858048, [['deserialize', 1527443498.625863, 1527443502.524949], ['compute', 1527443502.5263839, 1527445928.2472878]]]
['watershed_multi-2c9db8e6-cd0e-4cdf-8df5-28f179c5b4dd', 'processing', 'memory', 'tcp://10.21.248.176:42183', 47934189106944, [['deserialize', 1527443498.621653, 1527443501.784839], ['compute', 1527443501.7878165, 1527445931.7073965]]]
['watershed_multi-ff7408b1-72fd-40ea-9cb2-03692283ed7a', 'processing', 'memory', 'tcp://10.21.248.177:42221', 47420671031040, [['deserialize', 1527443581.244865, 1527443594.103985], ['compute', 1527443594.1110055, 1527445931.7105315]]]
['watershed_multi-704f184a-7ad5-49d5-805d-35050b9809a1', 'processing', 'memory', 'tcp://10.21.248.177:34850', 47419463071488, [['deserialize', 1527443498.624955, 1527443502.490202], ['compute', 1527443502.49099, 1527445932.06323]]]
['watershed_multi-c11a4dc4-4d9e-44ed-9852-22732800d9ae', 'processing', 'memory', 'tcp://10.21.248.176:46523', 47933584078592, [['deserialize', 1527443498.626022, 1527443501.799687], ['compute', 1527443501.8027525, 1527445933.6560867]]]
['watershed_multi-26a10f85-9814-42df-863b-b782a13df3c1', 'processing', 'memory', 'tcp://10.21.248.176:41440', 47934389384960, [['deserialize', 1527443498.621081, 1527443501.782545], ['compute', 1527443501.7873664, 1527445938.7171805]]]
['watershed_multi-2f0df2f1-8c9c-47fd-808d-01ea0e272453', 'processing', 'memory', 'tcp://10.21.248.176:42467', 47932577445632, [['deserialize', 1527443498.621878, 1527443501.859584], ['compute', 1527443501.862547, 1527445942.835748]]]
['watershed_multi-15bdffba-8056-46b7-8425-0d7857515b0a', 'processing', 'memory', 'tcp://10.21.248.176:39903', 47934792038144, [['deserialize', 1527443498.620753, 1527443501.78248], ['compute', 1527443501.7850654, 1527445947.4932303]]]
['watershed_multi-0d21086d-d770-4df7-be36-3a846d88c15c', 'processing', 'memory', 'tcp://10.21.248.176:36877', 47932980098816, [['deserialize', 1527443498.620414, 1527443501.873711], ['compute', 1527443501.876453, 1527445948.768068]]]
['watershed_multi-0c1683ab-b01b-4265-86c6-76e775411f3b', 'processing', 'memory', 'tcp://10.21.248.176:35582', 47932172666624, [['deserialize', 1527443498.620301, 1527443501.782589], ['compute', 1527443501.7873766, 1527445949.4989505]]]
['watershed_multi-9d8667e2-6c7e-414f-9734-88a256b136ea', 'processing', 'memory', 'tcp://10.21.248.176:41162', 47933181687552, [['deserialize', 1527443498.625081, 1527443501.834586], ['compute', 1527443501.8371997, 1527445950.3779156]]]
