['watershed_multi-4dcb48ff-211a-437d-b6c1-4a92dd44a674', 'processing', 'memory', 'tcp://10.21.249.48:44329', 47220753987328, [['deserialize', 1527374847.226787, 1527374850.579057], ['compute', 1527374850.5793545, 1527377213.5037327]]]
['watershed_multi-00a9b81b-e528-4390-817b-717b2529a1ac', 'processing', 'memory', 'tcp://10.21.249.40:33650', 47404699121408, [['deserialize', 1527374847.215587, 1527374850.688965], ['compute', 1527374850.6898825, 1527377213.3754485]]]
['watershed_multi-1510be40-88e0-44ac-9042-9f8b349c0e7e', 'processing', 'memory', 'tcp://10.21.249.40:45091', 47405907068672, [['deserialize', 1527374847.217799, 1527374850.688924], ['compute', 1527374850.6899784, 1527377213.3031945]]]
['watershed_multi-fa15a27d-2dc5-4a2a-8a30-c8a82a6113b0', 'processing', 'memory', 'tcp://10.21.249.53:44111', 47851711264512, [['deserialize', 1527374855.138876, 1527374863.006276], ['compute', 1527374863.0435266, 1527377213.6940126]]]
['watershed_multi-16842be5-857f-435c-8cde-5c5831dd4f7c', 'processing', 'memory', 'tcp://10.21.249.40:46112', 47403692488448, [['deserialize', 1527374847.217901, 1527374850.691603], ['compute', 1527374850.6950467, 1527377214.0966136]]]
['watershed_multi-cac07fa6-3541-42b7-b8c3-db57730bd338', 'processing', 'memory', 'tcp://10.21.249.48:46623', 47219545765632, [['deserialize', 1527374847.245277, 1527374850.668272], ['compute', 1527374850.6689703, 1527377214.6232493]]]
['watershed_multi-cfc628d6-bc26-4511-ac49-fb03462f7e3d', 'processing', 'memory', 'tcp://10.21.249.42:45782', 47653295675136, [['deserialize', 1527374847.246413, 1527374850.330263], ['compute', 1527374850.3304365, 1527377214.8973637]]]
['watershed_multi-dd3fb4ae-29ea-4d67-a569-40408d2cc018', 'processing', 'memory', 'tcp://10.21.249.40:34305', 47404497794816, [['deserialize', 1527374847.249031, 1527374850.688908], ['compute', 1527374850.6901746, 1527377215.2837055]]]
['watershed_multi-e6cbf3f5-932b-4346-90d2-6d621be3131e', 'processing', 'memory', 'tcp://10.21.249.46:38567', 47047814182656, [['deserialize', 1527374847.2509, 1527374850.653845], ['compute', 1527374850.653886, 1527377215.4483402]]]
['watershed_multi-2aed7f99-21ec-4a96-a601-7ffc83fe05cf', 'processing', 'memory', 'tcp://10.21.249.44:42430', 47225318176512, [['deserialize', 1527374847.222658, 1527374850.400658], ['compute', 1527374850.402589, 1527377215.9891572]]]
