t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1508280415,4,6.755995,1.692380,0.004403,2.923479,0.004687,6.755995,6.755995,6.755995,6.755995,6.755995,0.385713,0.736036,0.786777,0.795568,calls/second,milliseconds
1508280425,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,29.030015,7.691114,2.222107,1.276527,calls/second,milliseconds
1508280435,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,19.458932,8.628993,2.617412,1.421094,calls/second,milliseconds
1508280445,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,14.633372,7.304285,2.531603,1.405391,calls/second,milliseconds
1508280455,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,11.724766,6.182944,2.448607,1.389862,calls/second,milliseconds
1508280465,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,9.780818,5.233749,2.368332,1.374505,calls/second,milliseconds
1508280475,590,97.450814,0.490799,0.002936,4.248645,0.088922,0.243965,0.462878,3.768318,7.674081,97.450814,8.390392,4.430273,2.290689,1.359317,calls/second,milliseconds
1508280485,640,97.450814,0.427778,0.001953,3.894477,0.012885,0.224429,0.414212,3.768318,6.782547,97.450814,7.968359,4.487050,2.378199,1.399398,calls/second,milliseconds
1508280495,838,97.450814,0.346341,0.001105,2.941278,0.013058,0.261860,0.426869,3.807290,5.514304,22.689715,9.269327,6.136763,2.788276,1.547789,calls/second,milliseconds
1508280505,847,97.450814,0.344923,0.001105,2.907454,0.014027,0.266120,0.426869,3.768318,5.514304,22.689715,8.443061,6.058213,2.885864,1.594645,calls/second,milliseconds
1508280515,935,97.450814,0.315756,0.001105,2.620669,0.012471,0.266919,0.411060,2.019290,6.249433,22.689715,8.475517,6.510462,3.083714,1.675443,calls/second,milliseconds
1508280525,953,97.450814,0.314818,0.001105,2.558261,0.020154,0.280565,0.406863,0.839616,5.514304,22.689715,7.920622,5.749575,3.032149,1.673544,calls/second,milliseconds
1508280535,1079,97.450814,0.281122,0.001105,2.259928,0.105295,0.253887,0.379656,0.664236,4.609095,21.041289,8.279813,6.897800,3.357814,1.797835,calls/second,milliseconds
1508280545,1128,97.450814,0.262000,0.001105,2.161585,0.010227,0.237814,0.368900,0.696252,4.287691,21.041289,8.038995,6.559776,3.407034,1.831962,calls/second,milliseconds
1508280555,1157,97.450814,0.262235,0.001105,2.086586,0.097580,0.266120,0.373527,0.604882,4.081693,21.041289,7.697139,5.948673,3.377817,1.839402,calls/second,milliseconds
1508280565,1327,97.450814,0.245822,0.001105,1.758488,0.008163,0.270960,0.387371,0.774582,4.081693,14.819525,8.277366,7.791047,3.841125,2.011746,calls/second,milliseconds
1508280575,1329,97.450814,0.245969,0.001105,1.754731,0.008773,0.270505,0.387371,0.774582,4.081693,14.819525,7.803031,6.626961,3.721809,1.991733,calls/second,milliseconds
1508280585,1368,97.450814,0.248647,0.001105,1.676164,0.131687,0.272708,0.373527,0.664236,3.849393,14.819525,7.586625,6.215355,3.727952,2.012852,calls/second,milliseconds
1508280595,1424,97.450814,0.227014,0.000549,1.556447,0.007096,0.264498,0.368648,0.664236,4.243112,14.819525,7.482123,6.085086,3.787795,2.052317,calls/second,milliseconds
1508280605,1477,97.450814,0.215519,0.000549,1.483417,0.013394,0.255857,0.367019,0.645230,4.243112,14.819525,7.373231,5.934515,3.836087,2.088058,calls/second,milliseconds
1508280615,1513,14.819525,0.209575,0.000549,0.714637,0.024745,0.274050,0.371159,0.570644,4.081693,7.674081,7.193871,5.556928,3.822282,2.102610,calls/second,milliseconds
1508280625,1662,14.819525,0.206742,0.000549,0.742457,0.115990,0.262068,0.345780,0.440840,3.237605,9.548581,7.543665,7.073098,4.191572,2.245440,calls/second,milliseconds
1508280635,1816,14.819525,0.209406,0.000549,0.758102,0.080625,0.251722,0.361372,0.570644,4.243112,9.548581,7.884856,8.267691,4.558072,2.391422,calls/second,milliseconds
1508280645,1818,14.819525,0.209617,0.000549,0.756684,0.085933,0.251998,0.361372,0.570644,4.243112,9.548581,7.565059,7.014441,4.411947,2.366106,calls/second,milliseconds
1508280655,1852,14.819525,0.215042,0.000549,0.728886,0.125723,0.258370,0.351846,0.492033,3.940307,9.548581,7.398618,6.484499,4.382459,2.378681,calls/second,milliseconds
1508280665,1962,9.548581,0.180379,0.000549,0.631461,0.006422,0.245998,0.335808,0.480517,3.940307,9.548581,7.536747,7.172597,4.599189,2.473919,calls/second,milliseconds
1508280675,1962,9.548581,0.180379,0.000549,0.631461,0.006422,0.245998,0.335808,0.480517,3.940307,9.548581,7.258154,6.071472,4.448410,2.446583,calls/second,milliseconds
1508280685,1988,9.548581,0.188401,0.000549,0.609973,0.022835,0.257379,0.337387,0.469316,3.424059,9.548581,7.092043,5.535332,4.385053,2.447231,calls/second,milliseconds
1508280695,2055,9.548581,0.198327,0.000549,0.548969,0.179244,0.261848,0.321235,0.432452,3.353557,6.789398,7.078541,5.720532,4.463842,2.495285,calls/second,milliseconds
1508280705,2305,9.548581,0.177606,0.000549,0.564068,0.068869,0.244168,0.353304,0.449831,3.424059,6.789398,7.675327,8.520460,5.130267,2.743186,calls/second,milliseconds
1508280715,2305,9.548581,0.177606,0.000549,0.564068,0.068869,0.244168,0.353304,0.449831,3.424059,6.789398,7.427991,7.212414,4.962077,2.712875,calls/second,milliseconds
1508280725,2369,9.548581,0.171331,0.000875,0.563246,0.006344,0.241247,0.339485,0.449831,3.806258,6.789398,7.395868,7.033975,5.001677,2.751296,calls/second,milliseconds
1508280735,2451,9.548581,0.164780,0.000875,0.534449,0.005202,0.241567,0.328036,0.446789,3.806258,6.230614,7.420156,6.481856,4.952037,2.759523,calls/second,milliseconds
