Index,Cores,Try,Overhead,AdjMatrix,ConnComp,SessionName,JsonName
0,16,1,5.3997900486,6389.394654,46.240387,splfco_16_1,app-20161221171813-0000
1,16,2,5.4020161629,6615.699832,46.607379,splfco_16_2,app-20161221190830-0000
2,16,3,5.3900828362,6523.885247,45.23158, splfco_16_3,app-20161221210103-0000
3,64,1,5.3918600082,1586.625321,46.854075,splfco_64_1,app-20161221150746-0000
4,64,2,5.3961069584,1623.511578,48.236911,splfco_64_2,app-20161221154429-0000
5,64,3,5.401252985,1754.883906,47.583595,splfco_64_3,app-20161221162911-0000
6,256,1,5.396451654,470.742735,46.692813,splfco_256_1,app-20161221143226-0000
7,256,2,5.394619989,493.009132,46.465705,splfco_256_2,app-20161221144333-0000
8,256,3,5.406138494,459.824919,46.501527,splfco_256_3,app-20161221145435-0000
