Cores,partitions,AdjMatrix,ConnComp,Run
48,96,1842,55,1
48,96,1841,56,2
48,96,1720,55,3
96,192,754,54,1
96,192,797,54,2
96,192,781,55,3
192,384,393,54,1
192,384,408,54,2
192,384,388,54,3
384,768,273,54,1
384,768,452,54,2
384,768,419,54,3
