Number_Clusters,Number_Points_per_Cluster,Number_Dim,Number_Points_per_Message,Interval,Number_Partitions, Time
100,100,3,5000,120,48,0.10362
100,1000,3,5000,120,48,0.63535
100,10000,3,5000,120,48,12.00804
100,100000,3,5000,120,48,101.22976
100,1000000,3,5000,120,48,1017.34344
