CU,New,StageIn,Allocate,Exec,StageOut,Done
unit.000149,N/A,1.169,N/A,3.55,76.808,87.161
unit.000150,N/A,1.214,N/A,28.737,99.308,111.044
unit.000151,N/A,1.257,N/A,55.844,124.988,133.975
unit.000152,N/A,1.298,N/A,88.967,158.651,160.458
unit.000153,N/A,1.343,N/A,113.49,183.092,187.242
unit.000154,N/A,1.557,N/A,253.667,324.039,329.018
unit.000155,N/A,1.412,N/A,162.618,232.974,236.866
unit.000156,N/A,1.449,N/A,186.882,255.945,258.862
unit.000157,N/A,1.488,N/A,214.211,286.973,288.488
unit.000158,N/A,1.52,N/A,231.584,299.944,303.737
unit.000159,N/A,1.376,N/A,135.538,205.728,206.647
unit.000160,N/A,1.559,N/A,254.285,323.069,326.941
unit.000161,N/A,1.469,N/A,194.959,263.991,265.804
unit.000162,N/A,1.528,N/A,235.09,304.66,310.448
unit.000163,N/A,1.534,N/A,238.138,308.539,314.464
unit.000164,N/A,1.382,N/A,145.176,214.101,215.622
unit.000165,N/A,1.294,N/A,85.698,156.1,157.643
unit.000166,N/A,1.485,N/A,208.659,278.498,279.428
unit.000167,N/A,1.266,N/A,61.937,132.14,142.924
unit.000168,N/A,1.462,N/A,193.847,264.554,266.764
unit.000169,N/A,1.539,N/A,240.921,310.45,316.393
unit.000170,N/A,1.456,N/A,190.515,259.535,261.883
unit.000171,N/A,1.346,N/A,114.498,184.008,188.279
unit.000172,N/A,1.221,N/A,31.797,101.874,112.872
unit.000173,N/A,1.182,N/A,10.52,84.959,88.97
unit.000174,N/A,1.392,N/A,150.692,223.387,224.371
unit.000175,N/A,1.584,N/A,265.977,335.183,340.726
unit.000176,N/A,1.403,N/A,158.023,228.318,230.168
unit.000177,N/A,1.576,N/A,264.749,332.983,336.812
unit.000178,N/A,1.549,N/A,248.972,318.232,323.064
unit.000179,N/A,1.552,N/A,249.699,318.655,324.037
unit.000180,N/A,1.424,N/A,170.918,241.689,245.623
unit.000181,N/A,1.565,N/A,258.101,330.027,332.98
unit.000182,N/A,1.344,N/A,113.894,182.293,186.225
unit.000183,N/A,1.541,N/A,245.191,316.816,320.04
unit.000184,N/A,1.321,N/A,103.482,171.853,175.692
unit.000185,N/A,1.496,N/A,219.673,289.93,291.382
