t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1504728486,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,48.148144,16.380456,11.318978,10.442104,calls/second,milliseconds
1504728496,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,24.561115,13.865756,10.947898,10.326723,calls/second,milliseconds
1504728506,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,16.459551,11.737109,10.588983,10.212617,calls/second,milliseconds
1504728516,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,12.377271,9.935249,10.241835,10.099771,calls/second,milliseconds
1504728526,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,9.917103,8.410006,9.906068,9.988173,calls/second,milliseconds
1504728536,499,94.998798,0.571888,0.004292,4.533976,0.163228,0.310252,0.606558,4.542301,9.949119,94.998798,8.272983,7.118917,9.581308,9.877807,calls/second,milliseconds
1504728546,748,94.998798,0.403939,0.001512,3.213365,0.014751,0.255311,0.455752,4.542301,6.626771,32.422329,10.638034,9.943892,10.087585,10.044254,calls/second,milliseconds
1504728556,988,94.998798,0.319814,0.001336,2.574623,0.096603,0.236139,0.376994,0.878451,5.733135,32.422329,12.301300,12.131169,10.544945,10.198601,calls/second,milliseconds
1504728566,988,94.998798,0.319814,0.001336,2.574623,0.096603,0.236139,0.376994,0.878451,5.733135,32.422329,10.939486,10.268813,10.199241,10.085910,calls/second,milliseconds
1504728576,988,94.998798,0.319814,0.001336,2.574623,0.096603,0.236139,0.376994,0.878451,5.733135,32.422329,9.848992,8.692362,9.864870,9.974465,calls/second,milliseconds
1504728586,988,94.998798,0.319814,0.001336,2.574623,0.096603,0.236139,0.376994,0.878451,5.733135,32.422329,8.956181,7.357926,9.541461,9.864251,calls/second,milliseconds
1504728596,988,94.998798,0.319814,0.001336,2.574623,0.096603,0.236139,0.376994,0.878451,5.733135,32.422329,8.211743,6.228350,9.228654,9.755255,calls/second,milliseconds
1504728606,1237,32.422329,0.204853,0.001336,1.032645,0.009736,0.176946,0.334797,0.617888,5.084259,17.521581,9.492308,9.174052,9.743187,9.921948,calls/second,milliseconds
1504728616,1379,32.422329,0.206031,0.001336,0.954713,0.097416,0.218759,0.308012,0.586490,5.084259,9.685015,9.827873,9.896393,9.884573,9.967951,calls/second,milliseconds
1504728626,1477,32.422329,0.190294,0.001336,0.832160,0.097416,0.212778,0.296894,0.563450,5.084259,8.473661,9.825907,9.848370,9.885625,9.967998,calls/second,milliseconds
1504728636,1477,32.422329,0.190294,0.001336,0.832160,0.097416,0.212778,0.296894,0.563450,5.084259,8.473661,9.213094,8.336465,9.561535,9.857855,calls/second,milliseconds
1504728646,1477,32.422329,0.190294,0.001336,0.832160,0.097416,0.212778,0.296894,0.563450,5.084259,8.473661,8.672110,7.056665,9.248071,9.748930,calls/second,milliseconds
1504728656,1477,32.422329,0.190294,0.001336,0.832160,0.097416,0.212778,0.296894,0.563450,5.084259,8.473661,8.191215,5.973338,8.944883,9.641208,calls/second,milliseconds
1504728666,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,10.377576,12.636324,10.281487,10.084634,calls/second,milliseconds
1504728676,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,9.859474,10.696417,9.944419,9.973203,calls/second,milliseconds
1504728686,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,9.390657,9.054322,9.618403,9.863003,calls/second,milliseconds
1504728696,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,8.964456,7.664318,9.303074,9.754020,calls/second,milliseconds
1504728706,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,8.575264,6.487705,8.998083,9.646242,calls/second,milliseconds
1504728716,1975,8.473661,0.159703,0.001545,0.559325,0.075656,0.202987,0.256894,0.402844,4.026736,6.292122,8.218432,5.491724,8.703091,9.539655,calls/second,milliseconds
1504728726,2232,8.473661,0.160642,0.001161,0.569731,0.005992,0.187199,0.250686,0.450213,4.189513,5.356381,8.916815,8.611919,9.247967,9.713150,calls/second,milliseconds
1504728736,2464,8.473661,0.164029,0.000961,0.600776,0.079844,0.191335,0.237066,0.403472,4.189513,7.635621,9.465478,10.954426,9.722881,9.867825,calls/second,milliseconds
1504728746,2464,8.473661,0.164029,0.000961,0.600776,0.079844,0.191335,0.237066,0.403472,4.189513,7.635621,9.115347,9.272722,9.404127,9.758789,calls/second,milliseconds
1504728756,2464,8.473661,0.164029,0.000961,0.600776,0.079844,0.191335,0.237066,0.403472,4.189513,7.635621,8.790104,7.849189,9.095823,9.650959,calls/second,milliseconds
1504728766,2464,8.473661,0.164029,0.000961,0.600776,0.079844,0.191335,0.237066,0.403472,4.189513,7.635621,8.487045,6.644195,8.797626,9.544319,calls/second,milliseconds
1504728776,2464,8.473661,0.164029,0.000961,0.600776,0.079844,0.191335,0.237066,0.403472,4.189513,7.635621,8.204724,5.624190,8.509206,9.438858,calls/second,milliseconds
1504728786,2716,7.635621,0.157099,0.000961,0.540781,0.006450,0.195927,0.244490,0.450213,3.621047,5.400399,8.752445,8.710615,9.057242,9.612371,calls/second,milliseconds
1504728796,2953,8.333937,0.162649,0.001009,0.569028,0.077941,0.207517,0.257582,0.396476,3.621047,8.333937,9.219074,11.057798,9.541879,9.769286,calls/second,milliseconds
1504728806,2953,8.333937,0.162649,0.001009,0.569028,0.077941,0.207517,0.257582,0.396476,3.621047,8.333937,8.939997,9.360224,9.229059,9.661340,calls/second,milliseconds
1504728816,2953,8.333937,0.162649,0.001009,0.569028,0.077941,0.207517,0.257582,0.396476,3.621047,8.333937,8.677295,7.923258,8.926494,9.554586,calls/second,milliseconds
1504728826,2953,8.333937,0.162649,0.001009,0.569028,0.077941,0.207517,0.257582,0.396476,3.621047,8.333937,8.429614,6.706893,8.633849,9.449011,calls/second,milliseconds
1504728836,2953,8.333937,0.162649,0.001009,0.569028,0.077941,0.207517,0.257582,0.396476,3.621047,8.333937,8.195636,5.677263,8.350798,9.344603,calls/second,milliseconds
1504728846,3203,8.333937,0.162423,0.001042,0.569304,0.006417,0.194796,0.265385,0.452108,3.663061,5.658577,8.649430,8.723558,8.897415,9.516942,calls/second,milliseconds
1504728856,3442,8.333937,0.158517,0.000905,0.535489,0.071219,0.197843,0.251009,0.394715,3.446306,5.658577,9.050426,11.099457,9.393848,9.677121,calls/second,milliseconds
1504728866,3442,8.333937,0.158517,0.000905,0.535489,0.071219,0.197843,0.251009,0.394715,3.446306,5.658577,8.818569,9.395488,9.085881,9.570193,calls/second,milliseconds
1504728876,3442,8.333937,0.158517,0.000905,0.535489,0.071219,0.197843,0.251009,0.394715,3.446306,5.658577,8.598266,7.953109,8.788011,9.464446,calls/second,milliseconds
1504728886,3442,8.333937,0.158517,0.000905,0.535489,0.071219,0.197843,0.251009,0.394715,3.446306,5.658577,8.388695,6.732161,8.499906,9.359867,calls/second,milliseconds
1504728896,3442,8.333937,0.158517,0.000905,0.535489,0.071219,0.197843,0.251009,0.394715,3.446306,5.658577,8.189124,5.698651,8.221245,9.256444,calls/second,milliseconds
1504728906,3691,5.947752,0.156402,0.000905,0.524707,0.005950,0.197111,0.259501,0.440860,3.380143,5.947752,8.577452,8.741663,8.772111,9.429757,calls/second,milliseconds
1504728916,3931,5.947752,0.148757,0.000905,0.466208,0.074840,0.216074,0.250834,0.370110,3.096905,5.947752,8.927750,11.114783,9.272652,9.590900,calls/second,milliseconds
