Produce_batch,Num_Messages,Number_APoints/Msg,KB_Transfered,KB/sec,TimeStamp
0,5000,0,5000,0.0,0.0,20171027-153752
5000,10000,1,5000,309.0,3716.16895431,20171027-153752
0,5000,2,5000,619.0,3390.59141811,20171027-153752
5000,10000,3,5000,931.0,4588.35012914,20171027-153752
10000,15000,4,5000,1243.0,5565.0769106,20171027-153752
15000,20000,5,5000,1556.0,6268.15184933,20171027-153752
20000,25000,6,5000,1865.0,6835.97932351,20171027-153752
25000,30000,7,5000,2171.0,7294.53523447,20171027-153752
30000,35000,8,5000,2483.0,7706.46054257,20171027-153752
35000,40000,9,5000,2800.0,7914.3837772,20171027-153752
40000,45000,10,5000,3114.0,8323.86150884,20171027-153752
45000,50000,11,5000,3423.0,8672.31926374,20171027-153752
50000,55000,12,5000,3733.0,8902.48631536,20171027-153752
55000,60000,13,5000,4048.0,9198.70285639,20171027-153752
60000,65000,14,5000,4360.0,9394.46182298,20171027-153752
65000,70000,15,5000,4668.0,9557.95452957,20171027-153752
70000,75000,16,5000,4976.0,9770.53833316,20171027-153752
75000,80000,17,5000,5287.0,9909.76764206,20171027-153752
80000,85000,18,5000,5600.0,10118.7650404,20171027-153752
85000,90000,19,5000,5909.0,10298.4609889,20171027-153752
90000,95000,20,5000,6221.0,10390.7053398,20171027-153752
95000,100000,21,5000,6535.0,10479.6061379,20171027-153752
0,5000,22,5000,6846.0,8387.29955187,20171027-153752
5000,10000,23,5000,7163.0,7565.59428412,20171027-153753
10000,15000,24,5000,7479.0,7276.57190629,20171027-153753
15000,20000,25,5000,7794.0,7406.39329341,20171027-153753
20000,25000,26,5000,8108.0,7529.60522742,20171027-153753
25000,30000,27,5000,8411.0,7663.92723261,20171027-153753
30000,35000,28,5000,8714.0,7718.77200845,20171027-153753
35000,40000,29,5000,9028.0,7828.76461364,20171027-153753
40000,45000,30,5000,9342.0,7960.19575206,20171027-153753
45000,50000,31,5000,9650.0,8047.29271205,20171027-153753
50000,55000,32,5000,9958.0,8135.70664233,20171027-153753
55000,60000,33,5000,10275.0,8252.56714137,20171027-153753
60000,65000,34,5000,10591.0,8360.14514346,20171027-153753
65000,70000,35,5000,10910.0,8469.46303695,20171027-153753
70000,75000,36,5000,11228.0,8552.64542358,20171027-153753
75000,80000,37,5000,11557.0,8646.65649099,20171027-153753
80000,85000,38,5000,11886.0,8583.50394581,20171027-153753
85000,90000,39,5000,12215.0,8617.66649252,20171027-153753
90000,95000,40,5000,12544.0,8650.06134494,20171027-153753
95000,100000,41,5000,12855.0,8575.85995069,20171027-153753
100000,105000,42,5000,13165.0,8664.30194155,20171027-153753
105000,110000,43,5000,13480.0,8756.93589738,20171027-153753
110000,115000,44,5000,13795.0,8826.24650827,20171027-153753
115000,120000,45,5000,14102.0,8908.46916613,20171027-153753
120000,125000,46,5000,14409.0,8995.42625782,20171027-153753
125000,130000,47,5000,14729.0,9019.73862836,20171027-153753
130000,135000,48,5000,15049.0,9034.66100541,20171027-153753
135000,140000,49,5000,15353.0,9108.53399719,20171027-153753
140000,145000,50,5000,15658.0,9186.04442127,20171027-153753
145000,150000,51,5000,15963.0,9235.50043968,20171027-153753
150000,155000,52,5000,16269.0,9235.98288997,20171027-153753
155000,160000,53,5000,16589.0,9314.62265109,20171027-153753
160000,165000,54,5000,16910.0,9387.03800996,20171027-153753
165000,170000,55,5000,17220.0,9433.0627869,20171027-153753
170000,175000,56,5000,17529.0,9493.22783838,20171027-153753
175000,180000,57,5000,17845.0,9563.26163083,20171027-153753
180000,185000,58,5000,18162.0,9610.20943955,20171027-153753
185000,190000,59,5000,18477.0,9607.34467473,20171027-153753
190000,195000,60,5000,18792.0,9531.57650773,20171027-153754
195000,200000,61,5000,19102.0,9534.55669597,20171027-153754
200000,205000,62,5000,19412.0,9601.91015532,20171027-153754
205000,210000,63,5000,19712.0,9636.72974175,20171027-153754
210000,215000,64,5000,20011.0,9633.9745763,20171027-153754
215000,220000,65,5000,20319.0,9631.28177253,20171027-153754
220000,225000,66,5000,20628.0,9597.82827895,20171027-153754
225000,230000,67,5000,20944.0,9530.8470754,20171027-153754
230000,235000,68,5000,21260.0,9466.92153311,20171027-153754
235000,240000,69,5000,21571.0,9468.58107477,20171027-153754
