,Atom,Style,Cores,Run,Overhead,DataInit,AdjList,ConnComp,TotalTime,SessionName,JsonName
0,131.0,Br,64.0,1.0,5.44129395485,2.29075789452,9.1476418972,3.86240100861,15.3008008003,WraSpBrAlO_131Kn_64_1024_1,app-20170518235145-0000
1,131.0,Br,64.0,2.0,5.45380496979,2.31489610672,9.13226699829,3.80646800995,15.253631115,WraSpBrAlO_131Kn_64_1024_2,app-20170518235325-0000
2,131.0,Br,64.0,3.0,5.43460893631,2.21722912788,9.22386002541,4.03092002869,15.472009182,WraSpBrAlO_131Kn_64_1024_3,app-20170518235505-0000
3,131.0,Br,256.0,1.0,5.43830895424,2.30756402016,5.96811413765,3.76845002174,12.0441281796,WraSpBrAlO_131Kn_256_1024_1,app-20170519011052-0000
4,131.0,Br,256.0,2.0,5.42953300476,2.2942969799,6.0905251503,4.01532697678,12.400149107,WraSpBrAlO_131Kn_256_1024_2,app-20170519011236-0000
5,131.0,Br,256.0,3.0,5.43911409378,2.26901197433,5.90456199646,3.89952301979,12.0730969906,WraSpBrAlO_131Kn_256_1024_3,app-20170519011418-0000
6,131.0,Col,64.0,1.0,5.43625307083,2.14080786705,8.33363008499,3.98224306107,14.4566810131,WraSpColAlO_131Kn_64_1024_1,app-20170519152719-0000
7,131.0,Col,64.0,2.0,5.43875312805,2.67489910126,8.24192690849,3.84434700012,14.7611730099,WraSpColAlO_131Kn_64_1024_2,app-20170519013217-0000
8,131.0,Col,64.0,3.0,5.43014597893,2.21612596512,8.15345311165,3.66204595566,14.0316250324,WraSpColAlO_131Kn_64_1024_3,app-20170519013356-0000
9,131.0,Col,256.0,1.0,5.43670296669,2.367800951,5.41515111923,3.65721487999,11.4401669502,WraSpColAlO_131Kn_256_1024_1,app-20170519015033-0000
10,131.0,Col,256.0,2.0,5.42896604538,2.27978801727,5.58200478554,3.66804003716,11.52983284,WraSpColAlO_131Kn_256_1024_2,app-20170519015216-0000
11,131.0,Col,256.0,3.0,5.42613983154,2.26211500168,5.52063083649,3.69261312485,11.475358963,WraSpColAlO_131Kn_256_1024_3,app-20170519015356-0000
12,131.0,Pcc,64.0,1.0,5.43151402473,0.00831007957458,11.1219229698,0.00581097602844,11.1360440254,WraSpPccAlO_131Kn_64_1024_1,app-20170519021134-0000
13,131.0,Pcc,64.0,2.0,5.43191790581,0.00924801826477,11.2203829288,0.00569319725037,11.2353241444,WraSpPccAlO_131Kn_64_1024_2,app-20170519021313-0000
14,131.0,Pcc,64.0,3.0,5.42966389656,0.00849604606628,11.0599038601,0.00554299354553,11.0739428997,WraSpPccAlO_131Kn_64_1024_3,app-20170519021443-0000
15,131.0,Pcc,256.0,1.0,5.43755412102,0.0075159072876,9.26107192039,0.00663018226624,9.27521800995,WraSpPccAlO_131Kn_256_1024_1,app-20170519022957-0000
16,131.0,Pcc,256.0,2.0,5.44061994553,0.00803589820862,8.81075811386,0.00550103187561,8.82429504395,WraSpPccAlO_131Kn_256_1024_2,app-20170519023128-0000
17,131.0,Pcc,256.0,3.0,5.4260571003,0.00808596611023,8.8794939518,0.00636196136475,8.89394187927,WraSpPccAlO_131Kn_256_1024_3,app-20170519023303-0000
18,262.0,Br,64.0,1.0,5.45078992844,2.28312087059,26.0086779594,7.52820611,35.82000494,WraSpBrAlO_262Kn_64_1024_1,app-20170518235645-0000
19,262.0,Br,64.0,2.0,5.43261599541,2.33201599121,26.347878933,8.40461611748,37.0845110416,WraSpBrAlO_262Kn_64_1024_2,app-20170518235846-0000
20,262.0,Br,64.0,3.0,5.44343495369,2.43450903893,26.0576238632,8.02541518211,36.5175480843,WraSpBrAlO_262Kn_64_1024_3,app-20170519000049-0000
21,262.0,Br,256.0,1.0,5.81367301941,2.24595499039,13.6012849808,7.57588195801,23.4231219292,WraSpBrAlO_262Kn_256_1024_1,app-20170519011600-0000
22,262.0,Br,256.0,2.0,5.43108606339,2.39456391335,13.4719090462,7.51885700226,23.3853299618,WraSpBrAlO_262Kn_256_1024_2,app-20170519011752-0000
23,262.0,Br,256.0,3.0,5.42895293236,2.28329491615,13.663916111,7.67830109596,23.6255121231,WraSpBrAlO_262Kn_256_1024_3,app-20170519011945-0000
24,262.0,Col,64.0,1.0,5.42875289917,2.3065559864,21.9901399612,8.14746618271,32.4441621304,WraSpColAlO_262Kn_64_1024_1,app-20170519013535-0000
25,262.0,Col,64.0,2.0,5.42984509468,2.35689997673,21.8739528656,8.29888796806,32.5297408104,WraSpColAlO_262Kn_64_1024_2,app-20170519013734-0000
26,262.0,Col,64.0,3.0,5.43174791336,2.35897707939,21.8906490803,8.26680588722,32.5164320469,WraSpColAlO_262Kn_64_1024_3,app-20170519013934-0000
27,262.0,Col,256.0,1.0,5.43099498749,2.69380807877,11.5049779415,8.27051401138,22.4693000317,WraSpColAlO_262Kn_256_1024_1,app-20170519015538-0000
28,262.0,Col,256.0,2.0,5.43830299377,2.37298202515,11.4772570133,8.20383095741,22.0540699959,WraSpColAlO_262Kn_256_1024_2,app-20170519015731-0000
29,262.0,Col,256.0,3.0,5.44000911713,2.34941697121,11.4259679317,7.85713195801,21.632516861,WraSpColAlO_262Kn_256_1024_3,app-20170519015922-0000
30,262.0,Pcc,64.0,1.0,5.43631410599,0.0114459991455,24.3885719776,0.00856494903564,24.4085829258,WraSpPccAlO_262Kn_64_1024_1,app-20170519021622-0000
31,262.0,Pcc,64.0,2.0,5.44024205208,0.0104219913483,24.4474499226,0.00868606567383,24.4665579796,WraSpPccAlO_262Kn_64_1024_2,app-20170519021810-0000
32,262.0,Pcc,64.0,3.0,5.43380594254,0.0113079547882,24.5075581074,0.0084331035614,24.5272991657,WraSpPccAlO_262Kn_64_1024_3,app-20170519021959-0000
33,262.0,Pcc,256.0,1.0,5.43339514732,0.0120809078217,14.5889189243,0.00840902328491,14.6094088554,WraSpPccAlO_262Kn_256_1024_1,app-20170519023434-0000
34,262.0,Pcc,256.0,2.0,5.43225884438,0.0125069618225,14.2042500973,0.00815582275391,14.2249128819,WraSpPccAlO_262Kn_256_1024_2,app-20170519023617-0000
35,262.0,Pcc,256.0,3.0,5.43275904655,0.0125660896301,14.0846369267,0.008385181427,14.1055881977,WraSpPccAlO_262Kn_256_1024_3,app-20170519023759-0000
36,524.0,Br,64.0,1.0,5.44348597527,2.3534040451,93.4424879551,16.0202150345,111.816107035,WraSpBrAlO_524Kn_64_1024_1,app-20170519000252-0000
37,524.0,Br,64.0,2.0,5.45311403275,2.26096391678,93.5370988846,15.9338521957,111.731914997,WraSpBrAlO_524Kn_64_1024_2,app-20170519000613-0000
38,524.0,Br,64.0,3.0,5.44203495979,2.36237502098,93.3844897747,16.4641470909,112.211011887,WraSpBrAlO_524Kn_64_1024_3,app-20170519000933-0000
39,524.0,Br,256.0,1.0,5.43004918098,2.31442904472,112.209113121,16.4016058445,130.92514801,WraSpBrAlO_524Kn_256_1024_1,app-20170519012138-0000
40,524.0,Br,256.0,2.0,5.4363360405,2.34959506989,106.928428888,16.1163492203,125.394373178,WraSpBrAlO_524Kn_256_1024_2,app-20170519012511-0000
41,524.0,Br,256.0,3.0,5.43088412285,2.28133606911,108.112636805,15.8861579895,126.280130863,WraSpBrAlO_524Kn_256_1024_3,app-20170519012845-0000
42,524.0,Col,64.0,1.0,5.42651700974,2.54257106781,78.3034698963,16.4654769897,97.3115179539,WraSpColAlO_524Kn_64_1024_1,app-20170519014134-0000
43,524.0,Col,64.0,2.0,5.42267990112,2.66711902618,79.2124040127,16.5400941372,98.4196171761,WraSpColAlO_524Kn_64_1024_2,app-20170519014434-0000
44,524.0,Col,64.0,3.0,5.43975710869,2.65030002594,78.0413880348,16.2571730614,96.9488611221,WraSpColAlO_524Kn_64_1024_3,app-20170519014733-0000
45,524.0,Col,256.0,1.0,5.43785309792,2.65676212311,91.5090739727,16.9370968342,111.10293293,WraSpColAlO_524Kn_256_1024_1,app-20170519020115-0000
46,524.0,Col,256.0,2.0,5.44822001457,2.65586709976,103.542875051,16.5341858864,122.732928038,WraSpColAlO_524Kn_256_1024_2,app-20170519020440-0000
47,524.0,Col,256.0,3.0,5.43354201317,2.56814002991,94.4663479328,16.404127121,113.438615084,WraSpColAlO_524Kn_256_1024_3,app-20170519020812-0000
48,524.0,Pcc,64.0,1.0,5.42702293396,0.050409078598,80.3271000385,0.0361390113831,80.4136481285,WraSpPccAlO_524Kn_64_1024_1,app-20170519022148-0000
49,524.0,Pcc,64.0,2.0,5.42773509026,0.0196301937103,80.689209938,0.0354449748993,80.7442851067,WraSpPccAlO_524Kn_64_1024_2,app-20170519022426-0000
50,524.0,Pcc,64.0,3.0,5.42701196671,0.0160329341888,79.9517009258,0.0356311798096,80.0033650398,WraSpPccAlO_524Kn_64_1024_3,app-20170519022705-0000
51,524.0,Pcc,256.0,1.0,5.44132900238,0.0181660652161,109.341564894,0.0351459980011,109.394876957,WraSpPccAlO_524Kn_256_1024_1,app-20170519023942-0000
52,524.0,Pcc,256.0,2.0,5.80890798569,0.016214132309,102.694406986,0.0356340408325,102.746255159,WraSpPccAlO_524Kn_256_1024_2,app-20170519024255-0000
53,524.0,Pcc,256.0,3.0,5.43534517288,0.0195410251617,102.301396847,0.0348551273346,102.355792999,WraSpPccAlO_524Kn_256_1024_3,app-20170519024607-0000
