BatchTime, SubmissionTime, SchedulingDelay, TotalDelay, NumberRecords, Scenario
1507677780000 ms, 2017-10-10T18:23:02, 5, 2640, 0,1_Producer_Count
1507677840000 ms, 2017-10-10T18:24:12, 0, 36718, 3482,1_Producer_Count
1507677900000 ms, 2017-10-10T18:25:12, 0, 40401, 3885,1_Producer_Count
1507677960000 ms, 2017-10-10T18:26:17, 1, 64117, 5544,1_Producer_Count
1507678020000 ms, 2017-10-10T18:27:32, 0, 60176, 5345,1_Producer_Count
1507678080000 ms, 2017-10-10T18:28:42, 0, 68352, 5334,1_Producer_Count
1507678140000 ms, 2017-10-10T18:29:31, 19226, 100298, 5501,1_Producer_Count
1507678200000 ms, 2017-10-10T18:30:39, 31943, 98583, 5531,1_Producer_Count
1507678260000 ms, 2017-10-10T18:31:23, 55231, 127006, 5579,1_Producer_Count
1507678320000 ms, 2017-10-10T18:32:40, 49923, 133414, 5540,1_Producer_Count
1507678380000 ms, 2017-10-10T18:33:52, 60983, 142541, 5847,1_Producer_Count
1507678440000 ms, 2017-10-10T18:34:35, 99961, 157896, 5577,1_Producer_Count
1507678500000 ms, 2017-10-10T18:35:47, 85764, 143385, 5725,1_Producer_Count
1507678560000 ms, 2017-10-10T18:36:19, 111335, 145305, 3386,1_Producer_Count
1507678620000 ms, 2017-10-10T18:37:10, 93971, 98502, 390,1_Producer_Count
1507678680000 ms, 2017-10-10T18:38:02, 46489, 47759, 0,1_Producer_Count
1507678740000 ms, 2017-10-10T18:39:00, 0, 1317, 0,1_Producer_Count
1507678800000 ms, 2017-10-10T18:40:00, 1, 1322, 0,1_Producer_Count
1507678860000 ms, 2017-10-10T18:41:00, 1, 1312, 0,1_Producer_Count
1507678920000 ms, 2017-10-10T18:42:00, 0, 1322, 0,1_Producer_Count
1507678980000 ms, 2017-10-10T18:43:00, 1, 1289, 0,1_Producer_Count
1507679040000 ms, 2017-10-10T18:44:00, 1, 1292, 0,1_Producer_Count
1507679100000 ms, 2017-10-10T18:45:00, 2, 1269, 0,1_Producer_Count
1507679160000 ms, 2017-10-10T18:46:00, 1, 1303, 0,1_Producer_Count
1507679220000 ms, 2017-10-10T18:47:00, 1, 1288, 0,1_Producer_Count
1507679280000 ms, 2017-10-10T18:48:00, 1, 1297, 0,1_Producer_Count
1507679340000 ms, 2017-10-10T18:49:00, 1, 1258, 0,1_Producer_Count
1507679400000 ms, 2017-10-10T18:50:00, 1, 1308, 0,1_Producer_Count
1507679460000 ms, 2017-10-10T18:51:00, 0, 1293, 0,1_Producer_Count
1507679520000 ms, 2017-10-10T18:52:00, 0, 1306, 0,1_Producer_Count
1507679580000 ms, 2017-10-10T18:53:00, 1, 1278, 0,1_Producer_Count
1507679640000 ms, 2017-10-10T18:54:00, 1, 1276, 0,1_Producer_Count
1507679700000 ms, 2017-10-10T18:55:00, 1, 1315, 0,1_Producer_Count
1507679760000 ms, 2017-10-10T18:56:00, 2, 1280, 0,1_Producer_Count
