,Atoms,Cores,Framework,Approach,Type,Time
0,131,32.0,Spark,1,Overhead,1.90197364489
1,131,64.0,Spark,1,Overhead,1.9595764478
2,131,128.0,Spark,1,Overhead,1.8845791022
3,131,256.0,Spark,1,Overhead,2.07307346662
4,131,32.0,Spark,1,Edge Disc,13.2453230222
5,131,64.0,Spark,1,Edge Disc,11.2246538798
6,131,128.0,Spark,1,Edge Disc,11.7369986375
7,131,256.0,Spark,1,Edge Disc,11.8915856679
8,131,32.0,Spark,1,ConnComp,3.4571296374
9,131,64.0,Spark,1,ConnComp,3.50736665726
10,131,128.0,Spark,1,ConnComp,3.52456037203
11,131,256.0,Spark,1,ConnComp,3.59219233195
12,131,32.0,Spark,1,TotalTime,18.6090315978
13,131,64.0,Spark,1,TotalTime,16.6962204774
14,131,128.0,Spark,1,TotalTime,17.1507687569
15,131,256.0,Spark,1,TotalTime,17.5614700317
0,262,32.0,Spark,1,Overhead,1.93398006757
1,262,64.0,Spark,1,Overhead,1.89579232534
2,262,128.0,Spark,1,Overhead,2.02632904053
3,262,256.0,Spark,1,Overhead,1.97263439496
4,262,32.0,Spark,1,Edge Disc,67.3443055153
5,262,64.0,Spark,1,Edge Disc,37.8644523621
6,262,128.0,Spark,1,Edge Disc,23.1839884122
7,262,256.0,Spark,1,Edge Disc,15.7778416475
8,262,32.0,Spark,1,ConnComp,7.28622468313
9,262,64.0,Spark,1,ConnComp,7.53222235044
10,262,128.0,Spark,1,ConnComp,7.37111314138
11,262,256.0,Spark,1,ConnComp,7.32596675555
12,262,32.0,Spark,1,TotalTime,76.5709555944
13,262,64.0,Spark,1,TotalTime,47.2987109025
14,262,128.0,Spark,1,TotalTime,32.5877314409
15,262,256.0,Spark,1,TotalTime,25.1169171333
0,524,32.0,Spark,1,Overhead,1.92686859767
1,524,64.0,Spark,1,Overhead,1.99386668205
2,524,128.0,Spark,1,Overhead,1.91279379527
3,524,256.0,Spark,1,Overhead,1.96482992172
4,524,32.0,Spark,1,Edge Disc,823.909337759
5,524,64.0,Spark,1,Edge Disc,413.229895035
6,524,128.0,Spark,1,Edge Disc,213.328793923
7,524,256.0,Spark,1,Edge Disc,113.655202707
8,524,32.0,Spark,1,ConnComp,14.8206592401
9,524,64.0,Spark,1,ConnComp,15.3301716646
10,524,128.0,Spark,1,ConnComp,15.8154780865
11,524,256.0,Spark,1,ConnComp,15.1792093913
12,524,32.0,Spark,1,TotalTime,840.66833504
13,524,64.0,Spark,1,TotalTime,430.564037879
14,524,128.0,Spark,1,TotalTime,231.067815383
15,524,256.0,Spark,1,TotalTime,130.808471282
0,131,32.0,Spark,2,Overhead,1.91667890549
1,131,64.0,Spark,2,Overhead,1.9078087012
2,131,128.0,Spark,2,Overhead,1.98447871208
3,131,256.0,Spark,2,Overhead,2.0475815932
4,131,32.0,Spark,2,Edge Disc,33.4670600891
5,131,64.0,Spark,2,Edge Disc,26.7823564212
6,131,128.0,Spark,2,Edge Disc,23.6454520226
7,131,256.0,Spark,2,Edge Disc,25.1833553314
8,131,32.0,Spark,2,ConnComp,3.75706998507
9,131,64.0,Spark,2,ConnComp,3.68593811989
10,131,128.0,Spark,2,ConnComp,3.83966437976
11,131,256.0,Spark,2,ConnComp,3.77796705564
12,131,32.0,Spark,2,TotalTime,39.1454886595
13,131,64.0,Spark,2,TotalTime,32.4017813206
14,131,128.0,Spark,2,TotalTime,29.4743638039
15,131,256.0,Spark,2,TotalTime,31.0134036541
0,262,32.0,Spark,2,Overhead,2.02217102051
1,262,64.0,Spark,2,Overhead,2.07535759608
2,262,128.0,Spark,2,Overhead,2.13539298375
3,262,256.0,Spark,2,Overhead,2.07869195938
4,262,32.0,Spark,2,Edge Disc,52.4897888501
5,262,64.0,Spark,2,Edge Disc,35.9336644808
6,262,128.0,Spark,2,Edge Disc,27.9442102909
7,262,256.0,Spark,2,Edge Disc,25.3317886988
8,262,32.0,Spark,2,ConnComp,8.00538086891
9,262,64.0,Spark,2,ConnComp,7.91942032178
10,262,128.0,Spark,2,ConnComp,7.81499608358
11,262,256.0,Spark,2,ConnComp,7.77026255925
12,262,32.0,Spark,2,TotalTime,62.5239940484
13,262,64.0,Spark,2,TotalTime,45.9347852866
14,262,128.0,Spark,2,TotalTime,37.9006759326
15,262,256.0,Spark,2,TotalTime,35.1903552214
0,524,32.0,Spark,2,Overhead,2.24233063062
1,524,64.0,Spark,2,Overhead,2.2554526329
2,524,128.0,Spark,2,Overhead,2.3119986852
3,524,256.0,Spark,2,Overhead,2.2931265831
4,524,32.0,Spark,2,Edge Disc,98.4553085168
5,524,64.0,Spark,2,Edge Disc,59.4729684194
6,524,128.0,Spark,2,Edge Disc,40.4241696994
7,524,256.0,Spark,2,Edge Disc,30.9853653908
8,524,32.0,Spark,2,ConnComp,15.1382362843
9,524,64.0,Spark,2,ConnComp,15.3419889609
10,524,128.0,Spark,2,ConnComp,16.386441946
11,524,256.0,Spark,2,ConnComp,15.602975289
12,524,32.0,Spark,2,TotalTime,115.844343344
13,524,64.0,Spark,2,TotalTime,77.079256773
14,524,128.0,Spark,2,TotalTime,59.13139534
15,524,256.0,Spark,2,TotalTime,48.8905125459
0,131,32.0,Spark,3,Overhead,1.62938968341
1,131,64.0,Spark,3,Overhead,1.68336876233
2,131,128.0,Spark,3,Overhead,1.64240463575
3,131,256.0,Spark,3,Overhead,1.62331859271
4,131,32.0,Spark,3,Execution,33.4712382952
5,131,64.0,Spark,3,Execution,27.0626216729
6,131,128.0,Spark,3,Execution,22.9239586989
7,131,256.0,Spark,3,Execution,24.1374957561
8,131,32.0,Spark,3,Write,0.00337338447571
9,131,64.0,Spark,3,Write,0.00348854064941
10,131,128.0,Spark,3,Write,0.00379840532939
11,131,256.0,Spark,3,Write,0.00351532300313
12,131,32.0,Spark,3,TotalTime,35.1040013631
13,131,64.0,Spark,3,TotalTime,28.7494789759
14,131,128.0,Spark,3,TotalTime,24.57016174
15,131,256.0,Spark,3,TotalTime,25.7643296719
0,262,32.0,Spark,3,Overhead,1.64393766721
1,262,64.0,Spark,3,Overhead,1.82049838702
2,262,128.0,Spark,3,Overhead,1.63116868337
3,262,256.0,Spark,3,Overhead,1.63504131635
4,262,32.0,Spark,3,Execution,51.9759936333
5,262,64.0,Spark,3,Execution,35.7425614198
6,262,128.0,Spark,3,Execution,26.6533833345
7,262,256.0,Spark,3,Execution,24.2996771336
8,262,32.0,Spark,3,Write,0.00465679168701
9,262,64.0,Spark,3,Write,0.0047972202301
10,262,128.0,Spark,3,Write,0.00471727053324
11,262,256.0,Spark,3,Write,0.00449093182882
12,262,32.0,Spark,3,TotalTime,53.6245880922
13,262,64.0,Spark,3,TotalTime,37.5678570271
14,262,128.0,Spark,3,TotalTime,28.2892692884
15,262,256.0,Spark,3,TotalTime,25.9392093817
0,524,32.0,Spark,3,Overhead,1.71244843801
1,524,64.0,Spark,3,Overhead,1.6944697698
2,524,128.0,Spark,3,Overhead,1.7510989507
3,524,256.0,Spark,3,Overhead,1.6776843071
4,524,32.0,Spark,3,Execution,97.6768935521
5,524,64.0,Spark,3,Execution,57.7878053188
6,524,128.0,Spark,3,Execution,38.964700381
7,524,256.0,Spark,3,Execution,30.0000945727
8,524,32.0,Spark,3,Write,0.0207977294922
9,524,64.0,Spark,3,Write,0.0213136672974
10,524,128.0,Spark,3,Write,0.0209742387136
11,524,256.0,Spark,3,Write,0.021361430486
12,524,32.0,Spark,3,TotalTime,99.4101397196
13,524,64.0,Spark,3,TotalTime,59.5035887559
14,524,128.0,Spark,3,TotalTime,40.7367735704
15,524,256.0,Spark,3,TotalTime,31.6991403103
