CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000000,Mapper-0-1,N/A,0.634,N/A,41.909,5445.724
unit.000001,Mapper-0-2,N/A,0.637,N/A,43.797,5442.702
unit.000002,Mapper-0-3,N/A,0.642,N/A,46.8,5528.842
unit.000003,Mapper-0-4,N/A,0.646,N/A,49.876,5514.781
unit.000004,Mapper-0-5,N/A,0.649,N/A,51.987,5421.967
unit.000005,Mapper-0-6,N/A,0.652,N/A,53.877,5462.923
unit.000006,Mapper-0-7,N/A,0.655,N/A,55.967,5450.553
unit.000007,Mapper-0-8,N/A,0.657,N/A,57.871,5508.756
unit.000008,Mapper-0-9,N/A,0.661,N/A,60.92,5440.284
unit.000009,Mapper-0-10,N/A,0.664,N/A,63.93,6444.773
unit.000010,Mapper-0-11,N/A,0.666,N/A,66.0,5561.149
unit.000011,Mapper-0-12,N/A,0.684,N/A,81.046,5440.286
unit.000012,Mapper-0-13,N/A,0.689,N/A,86.117,5538.379
unit.000013,Mapper-0-14,N/A,0.693,N/A,90.061,5736.78
unit.000014,Mapper-0-15,N/A,0.697,N/A,93.066,5531.052
unit.000015,Mapper-0-16,N/A,0.62,N/A,32.699,5635.858
unit.000016,Mapper-0-17,N/A,0.566,N/A,2.603,5581.108
unit.000017,Mapper-0-18,N/A,0.57,N/A,4.673,5515.184
unit.000018,Mapper-0-19,N/A,0.575,N/A,7.684,5533.16
unit.000019,Mapper-0-20,N/A,0.579,N/A,9.753,5493.383
unit.000020,Mapper-0-21,N/A,0.584,N/A,12.758,5540.587
unit.000021,Mapper-0-22,N/A,0.588,N/A,14.639,5533.463
unit.000022,Mapper-0-23,N/A,0.593,N/A,17.66,5518.499
unit.000023,Mapper-0-24,N/A,0.596,N/A,19.742,5472.583
unit.000024,Mapper-0-25,N/A,0.695,N/A,92.128,5424.183
unit.000025,Mapper-0-26,N/A,0.701,N/A,96.075,5589.529
unit.000026,Mapper-0-27,N/A,0.703,N/A,98.142,6043.562
unit.000027,Mapper-0-28,N/A,0.589,N/A,15.775,5567.671
unit.000028,Mapper-0-29,N/A,0.617,N/A,30.821,5688.577
unit.000029,Mapper-0-30,N/A,0.625,N/A,35.704,5621.218
unit.000030,Mapper-0-31,N/A,0.66,N/A,59.982,5500.619
unit.000031,Mapper-0-32,N/A,0.676,N/A,75.025,5472.179
unit.000032,Mapper-0-33,N/A,0.636,N/A,42.858,5519.504
unit.000033,Mapper-0-34,N/A,0.69,N/A,87.056,5529.847
unit.000034,Mapper-0-35,N/A,0.694,N/A,90.999,5498.81
unit.000035,Mapper-0-36,N/A,0.698,N/A,94.007,5425.996
unit.000036,Mapper-0-37,N/A,0.702,N/A,97.014,5932.357
unit.000037,Mapper-0-38,N/A,0.653,N/A,54.826,5407.275
unit.000038,Mapper-0-39,N/A,0.623,N/A,34.764,5603.868
unit.000039,Mapper-0-40,N/A,0.656,N/A,56.912,5481.83
unit.000040,Mapper-0-41,N/A,0.612,N/A,27.818,5477.611
unit.000041,Mapper-0-42,N/A,0.673,N/A,72.02,5506.745
unit.000042,Mapper-0-43,N/A,0.669,N/A,67.89,5431.934
unit.000043,Mapper-0-44,N/A,0.671,N/A,69.949,5471.273
unit.000044,Mapper-0-45,N/A,0.674,N/A,72.96,5456.991
unit.000045,Mapper-0-46,N/A,0.677,N/A,75.965,5606.377
unit.000046,Mapper-0-47,N/A,0.699,N/A,95.136,5397.612
unit.000047,Mapper-0-48,N/A,0.687,N/A,84.052,5760.531
unit.000048,Mapper-0-49,N/A,0.577,N/A,8.625,5459.103
unit.000049,Mapper-0-50,N/A,0.582,N/A,11.63,5523.619
unit.000050,Mapper-0-51,N/A,0.573,N/A,6.744,5623.025
unit.000051,Mapper-0-52,N/A,0.682,N/A,79.927,5969.827
unit.000052,Mapper-0-53,N/A,0.688,N/A,84.989,5464.533
unit.000053,Mapper-0-54,N/A,0.692,N/A,89.122,5493.987
unit.000054,Mapper-0-55,N/A,0.602,N/A,22.748,5562.757
unit.000055,Mapper-0-56,N/A,0.606,N/A,24.81,5403.953
unit.000056,Mapper-0-57,N/A,0.61,N/A,26.689,5553.724
unit.000057,Mapper-0-58,N/A,0.615,N/A,29.694,5663.623
unit.000058,Mapper-0-59,N/A,0.622,N/A,33.825,5474.496
unit.000059,Mapper-0-60,N/A,0.64,N/A,45.863,5705.615
unit.000060,Mapper-0-61,N/A,0.628,N/A,37.773,5427.406
unit.000061,Mapper-0-62,N/A,0.632,N/A,40.78,5419.249
unit.000062,Mapper-0-63,N/A,0.685,N/A,81.985,5562.555
unit.000063,Mapper-0-64,N/A,0.639,N/A,44.915,5351.103
unit.000064,Mapper-0-65,N/A,0.643,N/A,47.773,5473.59
unit.000065,Mapper-0-66,N/A,0.648,N/A,50.836,5468.052
unit.000066,Mapper-0-67,N/A,0.65,N/A,52.942,5620.815
unit.000067,Mapper-0-68,N/A,0.571,N/A,5.615,5516.791
unit.000068,Mapper-0-69,N/A,0.598,N/A,20.671,5607.983
unit.000069,Mapper-0-70,N/A,0.658,N/A,58.837,5557.638
unit.000070,Mapper-0-71,N/A,0.662,N/A,61.868,5496.7
unit.000071,Mapper-0-72,N/A,0.665,N/A,64.87,5749.207
unit.000072,Mapper-0-73,N/A,0.667,N/A,66.941,5528.037
unit.000073,Mapper-0-74,N/A,0.67,N/A,69.01,5644.88
unit.000074,Mapper-0-75,N/A,0.672,N/A,70.893,5711.128
unit.000075,Mapper-0-76,N/A,0.675,N/A,73.897,5557.536
unit.000076,Mapper-0-77,N/A,0.678,N/A,76.907,5786.483
unit.000077,Mapper-0-78,N/A,0.68,N/A,78.038,5527.434
unit.000078,Mapper-0-79,N/A,0.568,N/A,3.543,5599.255
unit.000079,Mapper-0-80,N/A,0.58,N/A,10.691,5455.078
unit.000080,Mapper-0-81,N/A,0.645,N/A,48.905,5501.022
unit.000081,Mapper-0-82,N/A,0.663,N/A,62.989,5469.764
unit.000082,Mapper-0-83,N/A,0.586,N/A,13.7,5445.217
unit.000083,Mapper-0-84,N/A,0.591,N/A,16.721,5574.691
unit.000084,Mapper-0-85,N/A,0.595,N/A,18.781,5447.335
unit.000085,Mapper-0-86,N/A,0.6,N/A,21.808,5591.135
unit.000086,Mapper-0-87,N/A,0.604,N/A,23.68,5492.377
unit.000087,Mapper-0-88,N/A,0.608,N/A,25.75,5469.36
unit.000088,Mapper-0-89,N/A,0.614,N/A,28.756,5380.502
unit.000089,Mapper-0-90,N/A,0.619,N/A,31.77,5508.553
unit.000090,Mapper-0-91,N/A,0.629,N/A,38.902,5357.557
unit.000091,Mapper-0-92,N/A,0.626,N/A,36.836,5569.778
unit.000092,Mapper-0-93,N/A,0.631,N/A,39.845,5445.42
unit.000093,Mapper-0-94,N/A,0.681,N/A,78.982,5512.27
unit.000094,Mapper-0-95,N/A,0.686,N/A,83.113,5624.932
unit.000095,Mapper-0-96,N/A,0.691,N/A,87.993,5490.266
unit.000096,Reducer-0,N/A,6446.278,N/A,6452.827,6464.259
