CU,Name,New,StageIn,Allocate,Exec,StageOut,Done
unit.000076,Mapper-0-77,N/A,0.698,N/A,88.674,5333.755
unit.000077,Mapper-0-78,N/A,0.702,N/A,90.744,5413.327
unit.000078,Mapper-0-79,N/A,0.705,N/A,92.629,5572.482
unit.000079,Mapper-0-80,N/A,0.709,N/A,94.694,5460.354
unit.000080,Mapper-0-81,N/A,0.71,N/A,95.637,5485.563
unit.000081,Mapper-0-82,N/A,0.562,N/A,5.258,5754.459
unit.000082,Mapper-0-83,N/A,0.574,N/A,13.156,5741.337
unit.000083,Mapper-0-84,N/A,0.608,N/A,30.317,5608.569
unit.000084,Mapper-0-85,N/A,0.637,N/A,48.406,5413.124
unit.000085,Mapper-0-86,N/A,0.64,N/A,50.465,5433.232
unit.000086,Mapper-0-87,N/A,0.634,N/A,46.52,5401.15
unit.000087,Mapper-0-88,N/A,0.646,N/A,54.431,5380.032
unit.000088,Mapper-0-89,N/A,0.662,N/A,65.529,5469.693
unit.000089,Mapper-0-90,N/A,0.649,N/A,56.487,5405.879
unit.000090,Mapper-0-91,N/A,0.652,N/A,58.569,5300.938
unit.000091,Mapper-0-92,N/A,0.655,N/A,60.446,5558.44
unit.000092,Mapper-0-93,N/A,0.593,N/A,23.354,5543.892
unit.000093,Mapper-0-94,N/A,0.648,N/A,55.55,5524.219
unit.000094,Mapper-0-95,N/A,0.661,N/A,64.597,5536.164
unit.000095,Mapper-0-96,N/A,0.665,N/A,67.606,5693.548
unit.000096,Reducer-0,N/A,6165.475,N/A,6172.741,6184.69
