Image_Dimensions,Image_size(MB),TTC,system
400,1,0.378201,wrangler
600,2,0.856966,wrangler
800,4,1.604553,wrangler
1050,8,2.872988,wrangler
1450,16,6.084426,wrangler
2050,32,15.216832,wrangler
2900,64,31.147465,wrangler
4100,128,61.538121,wrangler
5800,256,124.415879,wrangler
