Cores,partitions,AdjMatrix,ConnComp,Run
48,378,1421,54,1
48,378,1355,53,2
48,378,1392,54,3
96,378,757,54,1
96,378,756,54,2
96,378,712,54,3
192,378,417,53,1
192,378,393,54,2
192,378,396,54,3
384,378,393,54,1
384,378,370,53,2
384,378,367,53,3
