Cores,partitions,AdjMatrix,ConnComp,Run
48,378,1371,57,1
48,378,1285,57,2
48,378,1262,57,3
96,378,709,57,1
96,378,822,57,2
96,378,661,57,3
192,378,368,57,1
192,378,373,56,2
192,378,357,57,3
384,378,203,56,1
384,378,201,56,2
384,378,198,57,3
